# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
0.314159 41.5729 6 893.302
0.444288 22.0458 12 473.711
0.54414 14.5815 8 313.321
0.628319 10.0908 6 216.827
0.702481 7.01632 24 150.764
0.76953 6.68885 24 143.728
0.888577 4.59834 12 98.8074
0.942478 4.89331 30 105.145
0.993459 3.13999 24 67.4708
1.04195 3.48064 24 74.7907
1.08828 3.44294 8 73.9806
1.13272 2.47611 24 53.2057
1.17548 2.74405 48 58.9631
1.25664 2.27084 6 48.795
1.29531 2.17579 48 46.7526
1.33286 1.69848 36 36.4962
1.36939 1.93356 24 41.5476
1.40496 2.53873 24 54.5513
1.43966 1.50478 48 32.3341
1.47354 1.79306 24 38.5287
1.53906 1.71692 24 36.8926
1.5708 1.58955 30 34.1557
1.6019 1.39395 72 29.9526
1.63242 1.23779 32 26.5972
1.6918 0.993431 72 21.3465
1.72072 1.78497 48 38.3548
1.77715 1.6582 12 35.6307
1.80471 1.2842 48 27.5944
1.83185 1.04134 48 22.3758
1.85859 1.02999 48 22.132
1.88496 0.672055 30 14.4409
1.91096 0.600097 24 12.8946
1.93661 0.967248 72 20.7838
1.98692 0.79324 24 17.0448
2.0116 1.05291 96 22.6244
2.03598 0.916896 48 19.7019
2.06008 0.807018 24 17.3409
2.0839 0.673082 24 14.4629
2.10744 0.842819 72 18.1102
2.13073 0.849651 48 18.257
2.17656 0.460283 8 9.89039
2.19911 0.676608 54 14.5387
2.22144 0.646335 84 13.8882
2.24355 0.649351 48 13.953
2.26543 0.766565 24 16.4717
2.28711 0.711954 72 15.2982
2.30859 0.804799 96 17.2932
2.35095 0.497452 48 10.6891
2.37185 0.841769 48 18.0876
2.39257 0.77255 24 16.6003
2.4131 0.489812 72 10.5249
2.45366 0.644857 72 13.8564
2.47369 0.602372 96 12.9435
2.51327 0.513557 6 11.0351
2.53283 0.584474 96 12.5589
2.55224 0.688368 96 14.7914
2.5715 0.552892 24 11.8803
2.59062 0.613453 48 13.1816
2.6096 0.603563 96 12.9691
2.62844 0.672871 48 14.4584
2.66573 0.592782 36 12.7375
2.68418 0.573815 48 12.3299
2.7025 0.528245 120 11.3507
2.7207 0.421514 56 9.05732
2.73878 0.565462 24 12.1504
2.75674 0.38747 96 8.3258
2.77458 0.519391 48 11.1605
2.80993 0.583078 24 12.5289
2.82743 0.472004 102 10.1422
2.84483 0.500544 48 10.7555
2.86213 0.418085 72 8.98366
2.87932 0.459961 48 9.88346
2.89641 0.350495 48 7.53131
2.91339 0.485814 120 10.439
2.94708 0.331185 24 7.11637
2.96377 0.42974 144 9.23408
2.98038 0.477845 120 10.2678
2.99689 0.404162 48 8.68447
3.02964 0.417947 48 8.98068
3.04589 0.403841 96 8.67759
3.07812 0.363624 24 7.81342
3.09411 0.418695 48 8.99675
3.11002 0.441171 108 9.47971
3.12585 0.334645 72 7.19072
3.14159 0.329376 30 7.07751
3.15726 0.438606 168 9.42459
3.17285 0.529547 48 11.3787
3.20381 0.378607 72 8.13536
3.21917 0.343786 96 7.38714
3.23447 0.393637 72 8.45832
3.24969 0.386703 72 8.30932
3.26484 0.365588 32 7.85562
3.27992 0.319036 72 6.85532
3.29493 0.394322 144 8.47304
3.33956 0.397984 96 8.55173
3.3543 0.278214 96 5.97815
3.36898 0.257489 48 5.53283
3.3836 0.399966 72 8.59431
3.39815 0.416349 120 8.94635
3.41264 0.400877 72 8.61389
3.44144 0.290358 48 6.23911
3.45575 0.328716 78 7.06332
3.47 0.296122 120 6.36295
3.48419 0.349039 48 7.50002
3.51241 0.259906 144 5.58476
3.52643 0.303586 144 6.52333
3.55431 0.254636 12 5.47152
3.56816 0.370559 144 7.96242
3.58197 0.448423 48 9.63554
3.59963 0.310597 168 6.67398
3.62306 0.319582 48 6.86704
3.63666 0.314889 168 6.76622
3.67266 0.31289 144 6.72326
3.69054 0.322815 96 6.93652
3.70388 0.273834 72 5.88405
3.71718 0.243893 48 5.24068
3.73484 0.296984 144 6.38147
3.76991 0.277672 30 5.9665
3.79166 0.27145 288 5.83282
3.80898 0.349265 56 7.50487
3.83319 0.273228 192 5.87103
3.84765 0.310835 120 6.67911
3.8817 0.296925 216 6.38021
3.89861 0.271153 96 5.82643
3.91125 0.222564 96 4.78237
3.9364 0.332593 72 7.14663
3.94892 0.323969 96 6.96131
3.97384 0.251578 24 5.4058
3.99068 0.254415 300 5.46678
4.01092 0.256062 24 5.50216
4.02933 0.298119 192 6.40588
4.04766 0.290626 120 6.24486
4.07197 0.186942 48 4.01694
4.0919 0.235873 222 5.06836
4.10817 0.225308 120 4.84133
4.13063 0.296743 192 6.37629
4.14405 0.245995 144 5.28585
4.16779 0.216818 24 4.65891
4.18748 0.230861 144 4.96066
4.20316 0.278813 120 5.99102
4.2222 0.272503 192 5.85545
4.23824 0.223446 144 4.80133
4.26146 0.215296 48 4.6262
4.27797 0.244266 336 5.24869
4.29606 0.209181 48 4.49481
4.32126 0.233042 240 5.00752
4.35312 0.185349 8 3.98271
4.36444 0.215729 48 4.6355
4.37895 0.217892 336 4.68197
4.40596 0.222318 174 4.77708
4.42061 0.251921 120 5.41317
4.44989 0.220436 228 4.73665
4.47135 0.250224 168 5.37671
4.49441 0.260259 144 5.59235
4.50903 0.210839 240 4.53043
4.53087 0.271949 24 5.84353
4.54485 0.23938 336 5.1437
4.56883 0.206747 144 4.44249
4.58961 0.211791 168 4.55088
4.61718 0.203712 96 4.37727
4.63377 0.203621 216 4.37534
4.66325 0.204172 288 4.38716
4.68087 0.251636 144 5.40706
4.70985 0.208236 198 4.4745
4.72865 0.176298 216 3.78822
4.75112 0.234268 168 5.03385
4.76446 0.207945 240 4.46825
4.79396 0.237131 168 5.09537
4.81157 0.182663 336 3.925
4.8405 0.214931 240 4.61836
4.8819 0.189771 276 4.07773
4.90919 0.218845 344 4.70246
4.9274 0.172406 144 3.7046
4.95336 0.218962 240 4.70497
4.97264 0.211791 312 4.55088
5.0049 0.20179 240 4.33598
5.02655 0.103343 6 2.2206
5.04369 0.213083 384 4.57864
5.0724 0.183453 312 3.94196
5.09618 0.180699 168 3.88278
5.12103 0.224544 336 4.82491
5.14917 0.184791 336 3.97072
5.16216 0.201297 192 4.3254
5.19393 0.184946 288 3.97406
5.21395 0.177243 216 3.80852
5.23525 0.162578 240 3.49341
5.26744 0.168261 384 3.61552
5.28498 0.231726 72 4.97924
5.3076 0.180199 336 3.87205
5.34569 0.164905 378 3.5434
5.36222 0.159473 144 3.4267
5.38155 0.162452 384 3.49071
5.41298 0.154615 384 3.32231
5.43886 0.178817 344 3.84236
5.45951 0.164047 144 3.52497
5.49081 0.160231 456 3.44298
5.51553 0.151373 312 3.25265
5.53728 0.166132 144 3.56979
5.56768 0.180023 552 3.86827
5.59826 0.168538 264 3.62147
5.62783 0.161741 264 3.47542
5.64631 0.159776 294 3.4332
5.66891 0.168559 432 3.62192
5.69929 0.140132 432 3.0111
5.72582 0.139539 264 2.99836
5.74576 0.129864 192 2.79047
5.77837 0.140117 468 3.01079
5.80465 0.165788 552 3.56239
5.83524 0.138706 336 2.98046
5.86196 0.132254 288 2.84182
5.88885 0.146125 456 3.13987
5.91828 0.154416 432 3.31802
5.93942 0.147621 168 3.17202
5.97346 0.136926 566 2.94221
6.00383 0.136411 432 2.93114
6.03753 0.139631 432 3.00035
6.05765 0.146477 360 3.14744
6.08553 0.15227 624 3.27192
6.11016 0.121985 264 2.62118
6.1359 0.135935 360 2.92091
6.17267 0.132244 456 2.8416
6.19846 0.152602 504 3.27906
6.23352 0.127487 564 2.7394
6.26302 0.120796 384 2.59562
6.29378 0.145042 462 3.11661
6.32143 0.137469 624 2.95389
6.35606 0.126367 432 2.71532
6.38387 0.138353 624 2.97289
6.4159 0.143683 312 3.0874
6.44034 0.139998 552 3.00822
6.47521 0.125417 408 2.6949
6.4939 0.141269 600 3.03554
6.53503 0.125423 608 2.69504
6.56485 0.116757 504 2.50884
6.59664 0.117172 510 2.51775
6.62898 0.119532 600 2.56845
6.66071 0.131142 492 2.81793
6.68361 0.117362 552 2.52183
6.72229 0.120936 696 2.59863
6.74598 0.1125 504 2.41735
6.77945 0.116328 528 2.49961
6.80746 0.118547 624 2.54729
6.83939 0.123824 504 2.66068
6.87445 0.106952 552 2.29815
6.90783 0.113691 654 2.44295
6.93959 0.118264 840 2.54121
6.97409 0.11688 744 2.51146
7.00741 0.101934 456 2.19032
7.03677 0.114396 648 2.45809
7.0753 0.10493 896 2.25469
7.10524 0.114987 396 2.4708
7.13632 0.110515 816 2.37469
7.17401 0.0974083 672 2.09307
7.20038 0.115627 552 2.48454
7.23702 0.10898 894 2.34172
7.27234 0.116328 672 2.4996
7.30559 0.100973 624 2.16967
7.33921 0.106899 888 2.297
7.3688 0.106622 720 2.29106
7.40895 0.108364 936 2.32849
7.44885 0.108562 648 2.33274
7.48186 0.104688 936 2.24949
7.51427 0.105445 696 2.26577
7.55531 0.11534 618 2.47839
7.58487 0.0990087 1008 2.12746
7.61849 0.106094 872 2.2797
7.65737 0.104401 960 2.24333
7.69668 0.100707 888 2.16396
7.72847 0.101835 648 2.1882
7.76442 0.0974082 840 2.09307
7.79705 0.100487 912 2.15922
7.83408 0.0960753 774 2.06443
7.87257 0.0988752 1272 2.12459
7.91246 0.100228 912 2.15366
7.95094 0.0988392 864 2.12382
7.98724 0.090458 924 1.94373
8.02142 0.0964647 1080 2.0728
8.06273 0.0957631 1008 2.05772
8.09946 0.08814 1128 1.89392
8.14393 0.0873121 768 1.87613
8.17502 0.0956447 1046 2.05518
8.2152 0.0935014 1152 2.00912
8.25601 0.0917439 1272 1.97136
8.29592 0.0917104 912 1.97064
8.33191 0.0886631 1200 1.90516
8.37325 0.085191 1080 1.83055
8.40498 0.0939583 840 2.01894
8.45084 0.0868581 1332 1.86637
8.48913 0.0915029 1062 1.96618
8.52681 0.0809893 1320 1.74027
8.571 0.0849651 1248 1.8257
8.60833 0.0849104 1104 1.82452
8.65005 0.0872016 1392 1.87375
8.68693 0.0858767 776 1.84528
8.73005 0.078304 1728 1.68257
8.77244 0.0814483 1224 1.75013
8.81651 0.0794888 1254 1.70802
8.85893 0.080571 1368 1.73128
8.89912 0.0776689 1236 1.66892
8.93741 0.0788622 1608 1.69456
8.98308 0.0795618 1008 1.70959
9.01647 0.0782122 1488 1.68059
9.0649 0.0807816 1440 1.7358
9.10803 0.0724734 1158 1.55728
9.14809 0.0761897 1824 1.63714
9.19097 0.0752609 1464 1.61718
9.23816 0.0732786 1448 1.57458
9.27848 0.0785254 1560 1.68732
9.32418 0.0695152 1428 1.49372
9.36737 0.0784575 1680 1.68586
9.41383 0.0702723 1494 1.50998
9.45819 0.0763034 1944 1.63958
9.50417 0.0763623 1368 1.64084
9.54561 0.0704498 1584 1.5138
9.58954 0.0734845 1776 1.57901
9.63134 0.0731308 1440 1.57141
9.67749 0.0720113 1968 1.54735
9.72378 0.0739728 1374 1.5895
9.76914 0.0725792 2100 1.55955
9.81572 0.0716144 1640 1.53882
9.86551 0.0710124 2496 1.52589
9.9123 0.0698103 1248 1.50006
9.94845 0.0672358 1512 1.44474
10.0002 0.0693788 2280 1.49078
10.0491 0.0690721 1926 1.48419
10.0953 0.067084 2064 1.44148
10.1462 0.0658101 1920 1.4141
10.1883 0.0654638 1944 1.40666
10.2408 0.0664124 2172 1.42704
10.2901 0.0678581 2256 1.45811
10.3372 0.0655982 1736 1.40955
10.3847 0.0674916 2094 1.45023
10.433 0.0683047 2328 1.4677
10.4818 0.0663386 2256 1.42546
10.5302 0.067665 1920 1.45396
10.5776 0.061408 2520 1.31951
10.6299 0.0660729 2088 1.41975
10.6858 0.0622111 2634 1.33677
10.7342 0.06115 2328 1.31397
10.7818 0.0657884 2304 1.41364
10.835 0.063912 2568 1.37332
10.8856 0.067935 2024 1.45976
10.928 0.0618025 2352 1.32799
10.982 0.0609293 2718 1.30923
11.0344 0.0608899 2520 1.30838
11.0896 0.0610077 2772 1.31091
11.1403 0.0593628 2640 1.27556
11.1945 0.0585867 2880 1.25889
11.2496 0.0623225 2448 1.33916
11.2983 0.0604995 2478 1.29999
11.3489 0.0593258 2904 1.27477
11.4036 0.0584241 2816 1.2554
11.4546 0.0600113 3024 1.2895
11.5153 0.0593071 2952 1.27437
11.5679 0.0546069 2796 1.17337
11.6203 0.0560976 2982 1.2054
11.6775 0.0545114 3312 1.17132
11.7301 0.0575077 2688 1.2357
11.7844 0.0555876 3144 1.19445
11.8428 0.0550045 3672 1.18192
11.8939 0.0537952 2328 1.15593
11.9543 0.0555901 4046 1.1945
12.0117 0.0551968 2844 1.18605
12.0645 0.0558892 3600 1.20093
12.1216 0.0548858 3264 1.17937
12.1786 0.0529024 3288 1.13675
12.2342 0.0546921 3198 1.1752
12.2899 0.0544284 3864 1.16954
12.3488 0.0555837 3456 1.19436
12.4064 0.0524157 3744 1.12629
12.468 0.0523772 3876 1.12546
12.5262 0.0519415 3392 1.1161
12.5835 0.0523688 3918 1.12528
12.6436 0.0528677 3864 1.136
12.7041 0.0502283 4104 1.07929
12.76 0.0500577 3480 1.07562
12.8193 0.049982 4080 1.07399
12.8832 0.0491113 4170 1.05528
12.9428 0.04995 4176 1.07331
13.004 0.0482586 4560 1.03696
13.0668 0.0493276 3656 1.05993
13.1234 0.0489871 4344 1.05262
13.1905 0.0487642 4830 1.04783
13.2535 0.0474881 4416 1.02041
13.3128 0.0480171 3876 1.03177
13.3711 0.0477956 4752 1.02701
13.438 0.0475784 4968 1.02235
13.505 0.047347 4494 1.01737
13.562 0.0477188 4200 1.02536
13.6284 0.0459852 5792 0.988112
13.6925 0.047763 4224 1.02631
13.7578 0.0467644 5220 1.00485
13.8214 0.0450798 4590 0.968658
13.8828 0.0466564 5328 1.00253
13.951 0.0458636 5304 0.985499
14.0176 0.0452398 5040 0.972095
14.0783 0.0444874 4920 0.955928
14.1459 0.0457189 5750 0.982389
14.2151 0.0432921 5388 0.930244
14.2795 0.042662 5784 0.916704
14.3486 0.0425387 5400 0.914055
14.4152 0.0424757 5640 0.912702
14.4848 0.0446544 5934 0.959517
14.5518 0.0430612 6120 0.925283
14.6213 0.0424469 5544 0.912084
14.6889 0.041405 6164 0.889694
14.7577 0.0416411 5838 0.894767
14.823 0.0423558 6144 0.910125
14.8954 0.0415847 6288 0.893556
14.9629 0.039962 6576 0.858688
15.0374 0.0396437 6504 0.851848
15.1094 0.0405229 6594 0.87074
15.1805 0.0404977 7008 0.870199
15.2501 0.0409284 6200 0.879455
15.3206 0.0394422 6768 0.847519
15.3938 0.0389738 7182 0.837455
15.4649 0.0394254 6864 0.847159
15.5381 0.0386085 7308 0.829605
15.6102 0.0373807 6744 0.803223
15.6826 0.0382928 7686 0.822822
15.7587 0.0385511 7280 0.828371
15.831 0.0379735 7920 0.81596
15.9075 0.0378853 7560 0.814064
15.9799 0.0368042 6948 0.790835
16.0529 0.0371249 8430 0.797725
16.1323 0.0370929 8328 0.797038
16.2083 0.0377811 7824 0.811826
16.284 0.036668 8160 0.787909
16.3583 0.0363653 8030 0.781404
16.4387 0.0358211 9372 0.76971
16.5156 0.0359731 7968 0.772976
16.5913 0.0351452 8568 0.755186
16.6713 0.0355293 8934 0.763441
16.7473 0.0340013 8952 0.730608
16.8262 0.0354893 8880 0.76258
16.9073 0.034478 9548 0.740851
16.987 0.0342634 9126 0.736239
17.0656 0.0346339 9384 0.744199
17.1437 0.0338666 9288 0.727713
17.2234 0.0339929 9792 0.730426
17.3058 0.0332489 9570 0.71444
17.3855 0.0340347 10376 0.731325
17.4681 0.0328835 10152 0.706587
17.5516 0.0329188 9960 0.707347
17.6323 0.0331945 10782 0.71327
17.7188 0.0319406 10992 0.686328
17.8032 0.0310108 10452 0.666348
17.8848 0.0320186 10806 0.688003
17.9713 0.03129 11312 0.672348
18.0539 0.0309938 11112 0.665984
18.1377 0.0312265 10848 0.670984
18.2224 0.031458 11394 0.675958
18.3067 0.0306383 11952 0.658344
18.3923 0.0314548 11352 0.675888
18.4801 0.0303786 12584 0.652763
18.5699 0.0299571 12390 0.643707
18.6572 0.0304363 12252 0.654002
18.7424 0.0303583 12240 0.652328
18.8315 0.0293807 12486 0.631322
18.9182 0.0296645 13080 0.637419
19.007 0.029113 12968 0.62557
19.0958 0.0286066 12612 0.614688
19.1845 0.0285529 13974 0.613534
19.2771 0.0285094 13944 0.612599
19.3664 0.0284219 12840 0.61072
19.455 0.0280803 14358 0.603378
19.5497 0.027581 14588 0.59265
19.6422 0.0275086 14688 0.591095
19.733 0.0281813 13560 0.605549
19.8252 0.0273106 15582 0.586839
19.9184 0.0275469 14544 0.591916
20.0117 0.0269684 15420 0.579487
20.1076 0.0268657 15614 0.577281
20.1995 0.0266611 14880 0.572883
20.2937 0.0268276 16728 0.576461
20.3922 0.026787 15690 0.575588
20.4858 0.0259439 16248 0.557472
20.5801 0.026394 16584 0.567144
20.6798 0.0260324 16904 0.559374
20.7774 0.025582 17430 0.549695
20.875 0.0257454 16908 0.553207
20.9715 0.0260753 17640 0.560296
21.072 0.0251003 17550 0.539346
21.17 0.025099 18696 0.539317
21.2704 0.0249954 17792 0.537092
21.3695 0.0248192 18138 0.533305
21.4685 0.0245503 19392 0.527527
21.5707 0.0246753 18768 0.530213
21.671 0.0243127 19038 0.522423
21.7719 0.0241184 19460 0.518246
21.8722 0.0238218 19992 0.511873
21.98 0.0241153 21174 0.51818
22.0835 0.0233691 20040 0.502147
22.1864 0.0235485 20628 0.506002
22.2901 0.0236111 20798 0.507345
22.3939 0.0231824 21480 0.498134
22.4995 0.0231897 21792 0.498291
22.6057 0.0229738 21414 0.493653
22.7118 0.0226354 23100 0.486381
22.8187 0.0223962 21992 0.481242
22.9267 0.0225172 23406 0.483842
23.0333 0.0221046 22536 0.474974
23.142 0.0219019 24348 0.47062
23.2521 0.0215323 23598 0.462678
23.3607 0.021994 24224 0.472599
23.4703 0.0213092 24648 0.457883
23.5813 0.0216454 24618 0.465107
23.6872 0.0208977 24192 0.449041
23.7989 0.0209755 26208 0.450713
23.9113 0.0207183 25790 0.445187
24.0243 0.0205849 26916 0.442319
24.1376 0.0204766 26214 0.439993
24.251 0.0203949 27528 0.438237
24.3653 0.0202477 27720 0.435074
24.4805 0.020336 27122 0.436972
24.5934 0.0199209 28632 0.428053
24.7099 0.0199844 28680 0.429418
24.8261 0.0198467 28722 0.426459
24.9416 0.0196157 30000 0.421495
25.0602 0.0196135 29408 0.421448
25.1775 0.0194145 30678 0.417172
25.2958 0.0191276 30660 0.411008
25.4157 0.0190512 31494 0.409366
25.5352 0.0190563 31448 0.409475
25.6542 0.0187533 32160 0.402964
25.7771 0.0184426 33090 0.396288
25.8975 0.0183679 32664 0.394682
26.0182 0.0179867 32718 0.386492
26.1396 0.0183217 34472 0.393689
26.263 0.018049 34260 0.387831
26.3857 0.0178323 34302 0.383174
26.5078 0.0177509 35472 0.381424
26.6335 0.017502 36020 0.376075
26.7594 0.017509 36942 0.376227
26.885 0.0173258 36360 0.372289
27.0121 0.0172288 38166 0.370205
27.1378 0.0168949 36804 0.363031
27.2642 0.0173401 38864 0.372597
27.3935 0.0168118 39366 0.361244
27.5233 0.0166493 40068 0.357754
27.6514 0.0164733 38910 0.353972
27.7803 0.0165125 41360 0.354814
27.9112 0.0164377 40782 0.353206
28.0415 0.0161973 42204 0.348042
28.1725 0.01606 41544 0.345091
28.3057 0.0159212 44510 0.34211
28.4397 0.0158987 42948 0.341626
28.5725 0.0157981 44478 0.339464
28.7083 0.0155461 46032 0.334048
28.8439 0.015786 44402 0.339203
28.977 0.015422 46320 0.331382
29.1132 0.0154128 46848 0.331184
29.2508 0.0151741 47814 0.326055
29.3881 0.0150089 48260 0.322504
29.5284 0.0150471 49758 0.323327
29.6664 0.0148342 49032 0.318752
29.8052 0.0146931 49770 0.31572
29.9443 0.0147389 51056 0.316705
30.0844 0.014506 51504 0.3117
30.2265 0.0143966 52866 0.309348
30.3681 0.0144231 52848 0.309919
30.5114 0.0142249 54542 0.305658
30.6547 0.0143399 54276 0.30813
30.7979 0.0139158 55062 0.299017
30.9419 0.0139606 56568 0.29998
31.0885 0.0137642 57266 0.295759
31.2344 0.0136779 58056 0.293905
31.3808 0.0134904 57750 0.289876
31.5277 0.0135717 60380 0.291624
31.6771 0.0133546 60390 0.286958
31.826 0.0131716 61608 0.283026
31.9756 0.0131496 61362 0.282554
32.1255 0.0129089 63752 0.277381
32.277 0.0129041 63528 0.277277
32.4277 0.0128785 64050 0.276728
32.5774 0.0128617 64784 0.276368
32.7324 0.0127015 68814 0.272925
32.8871 0.0125673 66156 0.270041
33.0405 0.0124536 68718 0.267599
33.1949 0.0124771 69104 0.268104
33.3524 0.0122667 71682 0.263582
33.5091 0.0122053 70512 0.262263
33.6653 0.0120659 72278 0.259267
33.8241 0.0119747 74532 0.257308
33.9843 0.0117668 74454 0.25284
34.1435 0.0117422 75540 0.252313
34.3039 0.0117486 76526 0.252449
34.4657 0.0116517 78648 0.250367
34.6274 0.0114869 77370 0.246825
34.7862 0.0112467 78272 0.241665
34.9499 0.0113366 82710 0.243596
35.1157 0.0111562 82146 0.239721
35.2805 0.0110685 83712 0.237835
35.4469 0.0109983 84710 0.236328
35.6137 0.0110167 86172 0.236722
35.7812 0.0108314 86406 0.23274
35.9482 0.0108113 88244 0.23231
36.1176 0.0106735 89670 0.229349
