# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
0.314159 163.632 6 905.06
0.444288 91.915 12 508.389
0.54414 61.3903 8 339.555
0.628319 50.1434 6 277.348
0.702481 31.9792 24 176.879
0.76953 30.6296 24 169.415
0.888577 16.4484 12 90.9776
0.942478 25.7211 30 142.265
0.993459 15.3584 24 84.9487
1.04195 20.2544 24 112.029
1.08828 15.4661 8 85.5443
1.13272 17.4136 24 96.316
1.17548 17.9102 48 99.0626
1.25664 13.2026 6 73.0245
1.29531 13.3059 48 73.596
1.33286 10.1128 36 55.935
1.36939 8.50674 24 47.0515
1.40496 12.297 24 68.0159
1.43966 9.36104 48 51.7767
1.47354 16.6936 24 92.3335
1.53906 9.5192 24 52.6515
1.5708 13.8364 30 76.5302
1.6019 8.10355 72 44.8214
1.63242 8.34298 32 46.1457
1.6918 6.93496 72 38.3578
1.72072 9.77603 48 54.072
1.77715 10.0352 12 55.5054
1.80471 5.55803 48 30.7419
1.83185 7.64531 48 42.2868
1.85859 7.59994 48 42.0359
1.88496 4.53039 30 25.058
1.91096 4.19499 24 23.2028
1.93661 6.52187 72 36.073
1.98692 7.20534 24 39.8533
2.0116 7.02316 96 38.8457
2.03598 7.59972 48 42.0347
2.06008 7.03761 24 38.9256
2.0839 5.69212 24 31.4836
2.10744 5.44739 72 30.13
2.13073 6.40765 48 35.4412
2.17656 7.69745 8 42.5752
2.19911 6.48818 54 35.8867
2.22144 7.33197 84 40.5537
2.24355 4.7112 48 26.058
2.26543 7.43481 24 41.1226
2.28711 5.49235 72 30.3786
2.30859 4.33326 96 23.9676
2.35095 4.7224 48 26.12
2.37185 5.81093 48 32.1407
2.39257 8.69209 24 48.0767
2.4131 6.51266 72 36.0221
2.45366 4.83247 72 26.7288
2.47369 4.82643 96 26.6954
2.51327 2.95563 6 16.3478
2.53283 4.23661 96 23.4331
2.55224 5.22397 96 28.8942
2.5715 4.02063 24 22.2384
2.59062 4.94928 48 27.3749
2.6096 5.54182 96 30.6523
2.62844 3.92526 48 21.711
2.66573 4.25417 36 23.5302
2.68418 4.99147 48 27.6082
2.7025 3.79776 120 21.0058
2.7207 4.2477 56 23.4944
2.73878 7.14769 24 39.5345
2.75674 4.52784 96 25.0439
2.77458 3.97226 48 21.9709
2.80993 5.26326 24 29.1115
2.82743 4.70812 102 26.041
2.84483 2.78503 48 15.4043
2.86213 4.26239 72 23.5757
2.87932 3.49125 48 19.3104
2.89641 3.55321 48 19.6531
2.91339 4.04825 120 22.3912
2.94708 4.74485 24 26.2442
2.96377 4.78018 144 26.4396
2.98038 3.70143 120 20.4729
2.99689 2.40388 48 13.2961
3.02964 4.36221 48 24.1277
3.04589 4.18701 96 23.1587
3.07812 2.86126 24 15.8259
3.09411 4.47641 48 24.7594
3.11002 3.83931 108 21.2355
3.12585 3.20761 72 17.7416
3.14159 4.15628 30 22.9888
3.15726 3.56037 168 19.6927
3.17285 3.50486 48 19.3857
3.20381 3.58939 72 19.8532
3.21917 3.70649 96 20.5009
3.23447 4.17838 72 23.111
3.24969 3.2718 72 18.0966
3.26484 2.98677 32 16.5201
3.27992 3.3608 72 18.5889
3.29493 4.122 144 22.7991
3.33956 3.04018 96 16.8155
3.3543 4.28887 96 23.7221
3.36898 4.74865 48 26.2652
3.3836 2.83719 72 15.6927
3.39815 3.89047 120 21.5185
3.41264 2.78641 72 15.4119
3.44144 4.16651 48 23.0453
3.45575 3.27436 78 18.1107
3.47 2.65125 120 14.6643
3.48419 3.13941 48 17.3644
3.51241 3.23968 144 17.9189
3.52643 3.48659 144 19.2846
3.55431 2.42635 12 13.4204
3.56816 2.87809 144 15.919
3.58197 3.44344 48 19.0459
3.59963 3.50234 168 19.3717
3.62306 2.54715 48 14.0885
3.63666 3.68608 168 20.388
3.67266 3.60602 144 19.9452
3.69054 3.03503 96 16.787
3.70388 2.94531 72 16.2908
3.71718 3.01692 48 16.6869
3.73484 3.45304 144 19.0991
3.76991 2.22716 30 12.3186
3.79166 2.93277 288 16.2214
3.80898 3.74248 56 20.7
3.83319 2.72141 192 15.0524
3.84765 2.65087 120 14.6622
3.8817 2.72698 216 15.0831
3.89861 2.82413 96 15.6205
3.91125 2.46869 96 13.6545
3.9364 3.22837 72 17.8564
3.94892 2.75322 96 15.2283
3.97384 3.50803 24 19.4032
3.99068 2.83528 300 15.6822
4.01092 3.08549 24 17.0661
4.02933 2.69009 192 14.8791
4.04766 2.72064 120 15.0481
4.07197 3.31797 48 18.352
4.0919 3.00152 222 16.6016
4.10817 3.14756 120 17.4094
4.13063 2.8137 192 15.5628
4.14405 3.08464 144 17.0614
4.16779 2.12765 24 11.7682
4.18748 2.63234 144 14.5597
4.20316 3.03869 120 16.8073
4.2222 2.91368 192 16.1158
4.23824 2.396 144 13.2525
4.26146 2.69163 48 14.8876
4.27797 2.40856 336 13.322
4.29606 3.25359 48 17.9959
4.32126 2.47076 240 13.666
4.35312 2.52401 8 13.9605
4.36444 2.44958 48 13.5488
4.37895 2.96811 336 16.4169
4.40596 2.38812 174 13.2089
4.42061 1.96142 120 10.8488
4.44989 2.3437 228 12.9632
4.47135 2.07423 168 11.4727
4.49441 2.41096 144 13.3352
4.50903 2.38029 240 13.1656
4.53087 1.80406 24 9.97839
4.54485 2.6632 336 14.7304
4.56883 3.05779 144 16.9129
4.58961 2.54549 168 14.0793
4.61718 2.18385 96 12.0791
4.63377 2.41356 216 13.3496
4.66325 2.2033 288 12.1866
4.68087 2.25185 144 12.4552
4.70985 2.41269 198 13.3448
4.72865 3.01909 216 16.6988
4.75112 2.71613 168 15.0231
4.76446 2.55815 240 14.1493
4.79396 2.15393 168 11.9136
4.81157 2.15318 336 11.9094
4.8405 2.0989 240 11.6092
4.8819 2.47146 276 13.6698
4.90919 2.75749 344 15.2519
4.9274 2.71511 144 15.0175
4.95336 2.25672 240 12.4821
4.97264 2.51876 312 13.9315
5.0049 2.55365 240 14.1244
5.02655 0.901187 6 4.98454
5.04369 2.43117 384 13.447
5.0724 2.67176 312 14.7777
5.09618 2.07735 168 11.49
5.12103 2.20107 336 12.1743
5.14917 2.33515 336 12.9159
5.16216 1.95688 192 10.8237
5.19393 2.32752 288 12.8737
5.21395 2.25753 216 12.4866
5.23525 2.66528 240 14.7419
5.26744 2.09075 384 11.5641
5.28498 2.26929 72 12.5517
5.3076 2.01269 336 11.1323
5.34569 2.20461 378 12.1939
5.36222 2.09006 144 11.5603
5.38155 2.36252 384 13.0673
5.41298 2.2501 384 12.4455
5.43886 2.14946 344 11.8888
5.45951 2.0531 144 11.3559
5.49081 1.95783 456 10.8289
5.51553 1.97181 312 10.9062
5.53728 2.08344 144 11.5237
5.56768 2.18703 552 12.0966
5.59826 1.71644 264 9.49377
5.62783 1.97311 264 10.9135
5.64631 1.94226 294 10.7428
5.66891 1.94743 432 10.7714
5.69929 2.06277 432 11.4094
5.72582 2.05773 264 11.3815
5.74576 1.87062 192 10.3466
5.77837 1.89943 468 10.5059
5.80465 2.08108 552 11.5106
5.83524 1.913 336 10.5809
5.86196 1.79404 288 9.92297
5.88885 1.99187 456 11.0172
5.91828 1.84508 432 10.2053
5.93942 1.63318 168 9.03324
5.97346 1.85027 566 10.234
6.00383 1.88261 432 10.4129
6.03753 1.7943 432 9.92444
6.05765 1.96495 360 10.8683
6.08553 1.9681 624 10.8857
6.11016 1.76052 264 9.73757
6.1359 1.9159 360 10.597
6.17267 1.73638 456 9.60409
6.19846 1.80977 504 10.01
6.23352 1.74165 564 9.63319
6.26302 1.79808 384 9.94535
6.29378 1.72335 462 9.53199
6.32143 1.95288 624 10.8016
6.35606 1.47094 432 8.13592
6.38387 1.85638 624 10.2678
6.4159 1.83436 312 10.146
6.44034 1.84366 552 10.1974
6.47521 1.81125 408 10.0182
6.4939 1.80703 600 9.99481
6.53503 1.63731 608 9.05608
6.56485 1.70509 504 9.43099
6.59664 1.49303 510 8.2581
6.62898 1.60542 600 8.87971
6.66071 1.68335 492 9.31077
6.68361 1.57639 552 8.71914
6.72229 1.52471 696 8.4333
6.74598 1.48446 504 8.21069
6.77945 1.72422 528 9.53678
6.80746 1.66862 624 9.22926
6.83939 1.54559 504 8.54879
6.87445 1.62239 552 8.97355
6.90783 1.42094 654 7.85934
6.93959 1.44446 840 7.98944
6.97409 1.5773 744 8.72416
7.00741 1.34442 456 7.43608
7.03677 1.64202 648 9.08216
7.0753 1.48491 896 8.21314
7.10524 1.38437 396 7.65705
7.13632 1.42942 816 7.90623
