# in Mpc/h Units 
# D1 = 0.185087 
# k P N P(z=0)
0.314159 30.4805 6 889.755
0.444288 16 12 467.054
0.54414 10.5551 8 308.114
0.628319 7.26292 6 212.011
0.702481 5.12302 24 149.546
0.76953 4.80981 24 140.403
0.888577 3.39496 12 99.1021
0.942478 3.42472 30 99.9708
0.993459 2.2933 24 66.9436
1.04195 2.46121 24 71.8451
1.08828 2.47516 8 72.2523
1.13272 1.69135 24 49.372
1.17548 1.88876 48 55.1348
1.25664 1.7162 6 50.0974
1.29531 1.50635 48 43.9717
1.33286 1.19906 36 35.0017
1.36939 1.40585 24 41.0379
1.40496 1.81828 24 53.0773
1.43966 1.10261 48 32.1863
1.47354 1.1938 24 34.8482
1.53906 1.22979 24 35.8986
1.5708 1.05382 30 30.762
1.6019 0.946292 72 27.6232
1.63242 0.845997 32 24.6954
1.6918 0.719101 72 20.9912
1.72072 1.14175 48 33.3288
1.77715 1.08559 12 31.6893
1.80471 0.895045 48 26.1272
1.83185 0.715639 48 20.8902
1.85859 0.682563 48 19.9247
1.88496 0.481685 30 14.0609
1.91096 0.458042 24 13.3707
1.93661 0.622991 72 18.1857
1.98692 0.484698 24 14.1488
2.0116 0.706642 96 20.6275
2.03598 0.613063 48 17.8959
2.06008 0.522844 24 15.2623
2.0839 0.51966 24 15.1693
2.10744 0.545044 72 15.9103
2.13073 0.563756 48 16.4566
2.17656 0.234673 8 6.85031
2.19911 0.444269 54 12.9686
2.22144 0.429086 84 12.5254
2.24355 0.46399 48 13.5443
2.26543 0.517949 24 15.1194
2.28711 0.487258 72 14.2235
2.30859 0.519761 96 15.1723
2.35095 0.333436 48 9.7333
2.37185 0.516581 48 15.0795
2.39257 0.526121 24 15.358
2.4131 0.337096 72 9.84015
2.45366 0.47208 72 13.7805
2.47369 0.396454 96 11.5729
2.51327 0.366821 6 10.7078
2.53283 0.361885 96 10.5638
2.55224 0.455371 96 13.2927
2.5715 0.386633 24 11.2862
2.59062 0.394771 48 11.5237
2.6096 0.405199 96 11.8281
2.62844 0.431283 48 12.5895
2.66573 0.430818 36 12.576
2.68418 0.338974 48 9.89496
2.7025 0.333544 120 9.73646
2.7207 0.283265 56 8.26877
2.73878 0.297348 24 8.67987
2.75674 0.230553 96 6.73005
2.77458 0.354713 48 10.3544
2.80993 0.327382 24 9.55658
2.82743 0.312224 102 9.11411
2.84483 0.312766 48 9.12994
2.86213 0.270956 72 7.90947
2.87932 0.285786 48 8.34237
2.89641 0.237066 48 6.92018
2.91339 0.318796 120 9.30596
2.94708 0.20475 24 5.97685
2.96377 0.283009 144 8.26129
2.98038 0.311511 120 9.09329
2.99689 0.257696 48 7.52237
3.02964 0.265269 48 7.74345
3.04589 0.2502 96 7.30358
3.07812 0.212572 24 6.20517
3.09411 0.278917 48 8.14186
3.11002 0.267244 108 7.80109
3.12585 0.209815 72 6.1247
3.14159 0.213147 30 6.22198
3.15726 0.286769 168 8.37106
3.17285 0.379684 48 11.0833
3.20381 0.235161 72 6.86457
3.21917 0.212632 96 6.20693
3.23447 0.234259 72 6.83824
3.24969 0.24826 72 7.24694
3.26484 0.234279 32 6.83882
3.27992 0.188826 72 5.51202
3.29493 0.278709 144 8.13578
3.33956 0.246439 96 7.19379
3.3543 0.157259 96 4.59055
3.36898 0.182393 48 5.32423
3.3836 0.238254 72 6.95487
3.39815 0.252083 120 7.35854
3.41264 0.284561 72 8.3066
3.44144 0.19566 48 5.7115
3.45575 0.224347 78 6.5489
3.47 0.189542 120 5.53292
3.48419 0.21969 48 6.41296
3.51241 0.164069 144 4.78932
3.52643 0.193431 144 5.64643
3.55431 0.16188 12 4.72542
3.56816 0.234445 144 6.84366
3.58197 0.285282 48 8.32765
3.59963 0.188847 168 5.51262
3.62306 0.20072 48 5.8592
3.63666 0.201572 168 5.88408
3.67266 0.193472 144 5.64762
3.69054 0.200863 96 5.86338
3.70388 0.156996 72 4.58286
3.71718 0.148084 48 4.3227
3.73484 0.194851 144 5.68789
3.76991 0.182839 30 5.33724
3.79166 0.182681 288 5.33263
3.80898 0.201255 56 5.87483
3.83319 0.174718 192 5.10017
3.84765 0.19745 120 5.76374
3.8817 0.192714 216 5.62551
3.89861 0.171077 96 4.99391
3.91125 0.126889 96 3.70401
3.9364 0.181675 72 5.30327
3.94892 0.19516 96 5.69691
3.97384 0.168716 24 4.92499
3.99068 0.15653 300 4.56927
4.01092 0.138906 24 4.05479
4.02933 0.169675 192 4.95297
4.04766 0.192723 120 5.62577
4.07197 0.101821 48 2.97226
4.0919 0.155421 222 4.53689
4.10817 0.146481 120 4.27592
4.13063 0.166465 192 4.85926
4.14405 0.162386 144 4.74019
4.16779 0.133504 24 3.89711
4.18748 0.142067 144 4.14706
4.20316 0.170945 120 4.99005
4.2222 0.16889 192 4.93006
4.23824 0.150087 144 4.38119
4.26146 0.134176 48 3.91672
4.27797 0.153552 336 4.48234
4.29606 0.117992 48 3.44431
4.32126 0.139043 240 4.0588
4.35312 0.155599 8 4.54208
4.36444 0.147347 48 4.3012
4.37895 0.133905 336 3.9088
4.40596 0.13918 174 4.0628
4.42061 0.132599 120 3.87069
4.44989 0.139439 228 4.07035
4.47135 0.149147 168 4.35374
4.49441 0.15535 144 4.53482
4.50903 0.130972 240 3.82319
4.53087 0.147678 24 4.31087
4.54485 0.146156 336 4.26643
4.56883 0.108583 144 3.16964
4.58961 0.122057 168 3.56296
4.61718 0.133129 96 3.88616
4.63377 0.12958 216 3.78256
4.66325 0.126682 288 3.69796
4.68087 0.143645 144 4.19312
4.70985 0.139738 198 4.07907
4.72865 0.0988258 216 2.88482
4.75112 0.137378 168 4.0102
4.76446 0.118027 240 3.44533
4.79396 0.142111 168 4.14835
4.81157 0.109884 336 3.20762
4.8405 0.128384 240 3.74765
4.8819 0.110697 276 3.23134
4.90919 0.135319 344 3.95008
4.9274 0.101122 144 2.95185
4.95336 0.121214 240 3.53835
4.97264 0.117574 312 3.4321
5.0049 0.121177 240 3.53728
5.02655 0.0737509 6 2.15286
5.04369 0.123982 384 3.61914
5.0724 0.10516 312 3.06972
5.09618 0.115119 168 3.36043
5.12103 0.127895 336 3.73338
5.14917 0.105099 336 3.06794
5.16216 0.118302 192 3.45334
5.19393 0.109279 288 3.18996
5.21395 0.0918492 216 2.68116
5.23525 0.095888 240 2.79906
5.26744 0.100917 384 2.94586
5.28498 0.105825 72 3.08912
5.3076 0.111376 336 3.25118
5.34569 0.102473 378 2.99129
5.36222 0.0831313 144 2.42668
5.38155 0.0932831 384 2.72302
5.41298 0.0896796 384 2.61783
5.43886 0.101389 344 2.95963
5.45951 0.0864804 144 2.52444
5.49081 0.0954951 456 2.78759
5.51553 0.0871513 312 2.54403
5.53728 0.0880253 144 2.56954
5.56768 0.100386 552 2.93036
5.59826 0.102285 264 2.98578
5.62783 0.0905808 264 2.64414
5.64631 0.0916295 294 2.67475
5.66891 0.0971804 432 2.83679
5.69929 0.0852049 432 2.48721
5.72582 0.0758956 264 2.21546
5.74576 0.0765822 192 2.23551
5.77837 0.0830136 468 2.42325
5.80465 0.089969 552 2.62628
5.83524 0.078481 336 2.29093
5.86196 0.0783494 288 2.28709
5.88885 0.0826733 456 2.41331
5.91828 0.0868165 432 2.53425
5.93942 0.0834272 168 2.43532
5.97346 0.0787509 566 2.29881
6.00383 0.078331 432 2.28655
6.03753 0.0774925 432 2.26208
6.05765 0.0796391 360 2.32474
6.08553 0.0852829 624 2.48949
6.11016 0.0696735 264 2.03383
6.1359 0.0800121 360 2.33563
6.17267 0.0742446 456 2.16727
6.19846 0.0836245 504 2.44108
6.23352 0.0719921 564 2.10152
6.26302 0.0715937 384 2.08989
6.29378 0.0823801 462 2.40475
6.32143 0.0780342 624 2.27789
6.35606 0.0732304 432 2.13766
6.38387 0.0766632 624 2.23787
6.4159 0.0787583 312 2.29903
6.44034 0.0750319 552 2.19025
6.47521 0.0714436 408 2.08551
6.4939 0.0805358 600 2.35092
6.53503 0.0704566 608 2.05669
6.56485 0.0666038 504 1.94423
6.59664 0.0676456 510 1.97464
6.62898 0.065455 600 1.91069
6.66071 0.0661085 492 1.92977
6.68361 0.0665943 552 1.94395
6.72229 0.0653966 696 1.90899
