# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
0.628319 9.72834 6 209.039
0.888577 5.00439 12 107.532
1.08828 3.23456 8 69.503
1.25664 2.29217 6 49.2532
1.40496 1.50315 24 32.2991
1.53906 1.46496 24 31.4784
1.77715 0.897002 12 19.2744
1.88496 1.0962 30 23.5548
1.98692 0.643451 24 13.8262
2.0839 0.767182 24 16.4849
2.17656 0.710078 8 15.2579
2.26543 0.598114 24 12.8521
2.35095 0.643482 48 13.8269
2.51327 0.405062 6 8.70382
2.59062 0.497797 48 10.6965
2.66573 0.380434 36 8.17461
2.73878 0.375645 24 8.07172
2.80993 0.486565 24 10.4551
2.87932 0.300524 48 6.45754
2.94708 0.462159 24 9.9307
3.07812 0.359897 24 7.73332
3.14159 0.404015 30 8.68133
3.20381 0.318495 72 6.84369
3.26484 0.280397 32 6.02507
3.3836 0.208488 72 4.47992
3.44144 0.430965 48 9.26041
3.55431 0.404166 12 8.68457
3.60942 0.269046 48 5.78116
3.6637 0.231003 48 4.96371
3.71718 0.243803 48 5.23874
3.76991 0.128493 30 2.76101
3.82191 0.107958 24 2.31976
3.87322 0.230911 72 4.96173
3.97384 0.224782 24 4.83003
4.0232 0.239353 96 5.14312
4.07197 0.21432 48 4.60522
4.12016 0.20802 24 4.46984
4.16779 0.139517 24 2.99789
4.21489 0.209997 72 4.51232
4.26146 0.203378 48 4.3701
4.35312 0.178713 8 3.84011
4.39823 0.181998 54 3.9107
4.44288 0.17611 84 3.78419
4.48709 0.138622 48 2.97867
4.53087 0.186251 24 4.00208
4.57423 0.156313 72 3.35879
4.61718 0.186268 96 4.00245
4.70191 0.120987 48 2.59973
4.7437 0.203879 48 4.38088
4.78513 0.181023 24 3.88975
4.82621 0.126555 72 2.71937
4.90732 0.114803 72 2.46684
4.94739 0.128337 96 2.75767
5.02655 0.0992751 6 2.13319
5.06567 0.139475 96 2.99698
5.10448 0.153953 96 3.30809
5.14301 0.0934808 24 2.00868
5.18125 0.149736 48 3.21746
5.21921 0.137392 96 2.95222
5.25689 0.144512 48 3.10521
5.33146 0.1276 36 2.74182
5.36836 0.142601 48 3.06416
5.405 0.125744 120 2.70194
5.4414 0.116476 56 2.5028
5.47755 0.209137 24 4.49385
5.51347 0.12385 96 2.66124
5.54916 0.126014 48 2.70774
5.61985 0.176109 24 3.78417
5.65487 0.1158 102 2.48826
5.68967 0.120006 48 2.57864
5.72425 0.107207 72 2.30362
5.75863 0.124401 48 2.67309
5.79281 0.0898995 48 1.93173
5.82679 0.115293 120 2.47737
5.89415 0.102401 24 2.20036
5.92755 0.111118 144 2.38766
5.96075 0.120132 120 2.58135
5.99378 0.0891537 48 1.9157
6.05928 0.113238 48 2.4332
6.09177 0.104684 96 2.24941
6.15624 0.0961767 24 2.06661
6.18822 0.0989417 48 2.12602
6.22004 0.118003 108 2.53561
6.25169 0.0937763 72 2.01503
6.28319 0.0803143 30 1.72576
6.31452 0.0987235 168 2.12133
6.34571 0.0759557 48 1.63211
6.40762 0.0899294 72 1.93237
6.43835 0.0902858 96 1.94003
6.46894 0.116861 72 2.51106
6.49938 0.0866541 72 1.86199
6.52968 0.0946007 32 2.03274
6.55984 0.088434 72 1.90024
6.58986 0.0877831 144 1.88625
6.67912 0.0963913 96 2.07122
6.70861 0.0951107 96 2.0437
6.73797 0.069291 48 1.4889
6.7672 0.0941278 72 2.02258
6.7963 0.108729 120 2.33632
6.82529 0.0898678 72 1.93105
6.88288 0.0717632 48 1.54202
6.9115 0.0780982 78 1.67814
6.94001 0.0752006 120 1.61588
6.96839 0.0840696 48 1.80645
7.02481 0.0753516 144 1.61913
7.05286 0.0797022 144 1.71261
7.10861 0.0761911 12 1.63717
7.13633 0.0804486 144 1.72865
7.16393 0.115135 48 2.47397
7.19926 0.0873754 168 1.87749
7.24612 0.0738774 48 1.58745
7.27331 0.0790938 168 1.69954
7.34532 0.0908061 144 1.95121
7.38107 0.0815743 96 1.75284
7.40777 0.0927044 72 1.992
7.43437 0.0703062 48 1.51071
7.46967 0.061979 144 1.33178
7.53982 0.0860148 30 1.84825
7.58332 0.0697358 288 1.49846
7.61796 0.0896095 56 1.92549
7.66638 0.0640191 192 1.37562
7.6953 0.0704233 120 1.51323
7.76339 0.0700714 216 1.50567
7.79723 0.071022 96 1.52609
7.8225 0.0638486 96 1.37195
7.87281 0.0947673 72 2.03632
7.89784 0.0810659 96 1.74191
7.94767 0.0533985 24 1.14741
7.98137 0.0631279 300 1.35647
8.02183 0.0615448 24 1.32245
8.05865 0.0843029 192 1.81147
8.09532 0.0638326 120 1.37161
8.14394 0.0696614 48 1.49686
8.18379 0.0596699 222 1.28216
8.21633 0.0593804 120 1.27594
8.26125 0.0713454 192 1.53304
8.28809 0.0614556 144 1.32053
8.33559 0.0404661 24 0.86952
8.37495 0.0631724 144 1.35742
8.40633 0.0710383 120 1.52644
8.44439 0.0682234 192 1.46596
8.47648 0.0589948 144 1.26766
8.52293 0.0672678 48 1.44543
8.55594 0.0584301 336 1.25552
8.59213 0.0554407 48 1.19129
8.64252 0.0635885 240 1.36636
8.70624 0.0784832 8 1.68642
8.72888 0.0515727 48 1.10817
8.7579 0.0585835 336 1.25882
8.81192 0.0498049 174 1.07019
8.84123 0.0706752 120 1.51864
8.89978 0.0623536 228 1.33983
8.9427 0.0594207 168 1.27681
8.98883 0.0623464 144 1.33967
9.01807 0.0581002 240 1.24843
9.06174 0.0668347 24 1.43612
9.0897 0.0620755 336 1.33385
9.13765 0.0741275 144 1.59282
9.17922 0.0530467 168 1.13985
9.23436 0.0419146 96 0.900645
9.26754 0.0582904 216 1.25252
9.32651 0.0509655 288 1.09513
9.36174 0.0579593 144 1.24541
9.41969 0.0496814 198 1.06753
9.4573 0.0539091 216 1.15838
9.50225 0.059176 168 1.27155
9.52892 0.0613874 240 1.31907
9.58792 0.0559619 168 1.20249
9.62314 0.052973 336 1.13826
9.68099 0.0567319 240 1.21903
9.7638 0.0515948 276 1.10865
9.81837 0.0491921 344 1.05702
9.85479 0.0355139 144 0.763108
9.90673 0.0584602 240 1.25617
9.94528 0.053483 312 1.14922
10.0098 0.0452967 240 0.973317
10.0531 0.0349544 6 0.751088
10.0874 0.051894 384 1.11508
10.1448 0.0572761 312 1.23073
10.1924 0.0501367 168 1.07732
10.2421 0.0553986 336 1.19038
10.2983 0.0446421 336 0.959252
10.3243 0.04801 192 1.03162
10.3879 0.0546935 288 1.17523
10.4279 0.0585491 216 1.25808
10.4705 0.0517519 240 1.11202
10.5349 0.0426643 384 0.916755
10.57 0.0748924 72 1.60926
10.6152 0.0480125 336 1.03167
10.6914 0.0435434 378 0.935645
10.7244 0.0429134 144 0.922108
10.7631 0.0501136 384 1.07682
10.826 0.0449902 384 0.966731
10.8777 0.0485469 344 1.04316
10.919 0.0479909 144 1.03121
10.9816 0.0402767 456 0.865451
11.0311 0.0452895 312 0.973164
11.0746 0.04435 144 0.952975
11.1354 0.0447579 552 0.96174
11.1965 0.0410689 264 0.882472
11.2557 0.0440091 264 0.945651
11.2926 0.047944 294 1.0302
11.3378 0.0449877 432 0.966677
11.3986 0.0369328 432 0.793597
11.4516 0.0438743 264 0.942755
11.4915 0.03671 192 0.78881
11.5567 0.0411506 468 0.884228
11.6093 0.0482654 552 1.03711
11.6705 0.0408892 336 0.878611
11.7239 0.0419847 288 0.902152
11.7777 0.041545 456 0.892704
11.8366 0.0419877 432 0.902216
11.8788 0.0439233 168 0.943806
11.9469 0.0405858 566 0.872092
12.0077 0.0391479 432 0.841196
12.0751 0.0415821 432 0.8935
12.1153 0.0382507 360 0.821917
12.1711 0.0403393 624 0.866795
12.2203 0.0393988 264 0.846586
12.2718 0.0366384 360 0.787272
12.3453 0.0385712 456 0.828802
12.3969 0.0359272 504 0.77199
12.467 0.0418993 564 0.900317
12.526 0.0384502 384 0.826203
12.5876 0.0351926 462 0.756205
12.6429 0.0372957 624 0.801395
12.7121 0.0365855 432 0.786135
12.7677 0.0375819 624 0.807545
12.8318 0.038348 312 0.824007
12.8807 0.0413017 552 0.887475
12.9504 0.036927 408 0.793474
12.9878 0.0386439 600 0.830364
13.0701 0.0365023 608 0.784347
13.1297 0.0340979 504 0.732683
13.1933 0.0351689 510 0.755696
13.258 0.0334103 600 0.717908
13.3214 0.0363165 492 0.780354
13.3672 0.035208 552 0.756535
13.4446 0.0391602 696 0.84146
13.492 0.0325618 504 0.699676
13.5589 0.0343539 528 0.738182
13.6149 0.0344026 624 0.739231
13.6788 0.0344968 504 0.741253
13.7489 0.0337945 552 0.726162
13.8157 0.0330643 654 0.710474
13.8792 0.0344889 840 0.741083
13.9482 0.0312087 744 0.670601
14.0148 0.0308143 456 0.662126
14.0735 0.0313662 648 0.673985
14.1506 0.0327511 896 0.703743
14.2105 0.0294371 396 0.632533
14.2726 0.0364256 816 0.782699
14.348 0.0311518 672 0.669378
14.4008 0.0301491 552 0.647832
14.474 0.0296964 894 0.638105
14.5447 0.0291549 672 0.62647
14.6112 0.031431 624 0.675377
14.6784 0.0295145 888 0.634196
14.7376 0.0316872 720 0.680883
14.8179 0.0292487 936 0.628485
14.8977 0.0307531 648 0.660811
14.9637 0.0307484 936 0.660709
15.0285 0.0311699 696 0.669766
15.1106 0.0343927 618 0.739018
15.1697 0.0295692 1008 0.635372
15.237 0.028763 872 0.618048
15.3147 0.0288709 960 0.620368
15.3934 0.0297393 888 0.639027
15.4569 0.0299066 648 0.642621
15.5288 0.0272957 840 0.58652
15.5941 0.0313822 912 0.674329
15.6682 0.0280398 774 0.602509
15.7451 0.0286603 1272 0.615842
15.8249 0.0295831 912 0.63567
15.9019 0.0283434 864 0.609031
15.9745 0.028034 924 0.602383
16.0428 0.0283234 1080 0.608603
16.1255 0.0281707 1008 0.605321
16.1989 0.0281213 1128 0.604259
16.2879 0.0281876 768 0.605685
16.35 0.0264305 1046 0.567929
16.4304 0.0270283 1152 0.580774
16.512 0.0269024 1272 0.578068
16.5918 0.0277705 912 0.596722
16.6638 0.0273556 1200 0.587807
16.7465 0.0265055 1080 0.569539
16.81 0.02734 840 0.587471
16.9017 0.0257402 1332 0.553096
16.9783 0.0266861 1062 0.573422
17.0536 0.0262501 1320 0.564052
17.142 0.025495 1248 0.547827
17.2167 0.0254059 1104 0.545913
17.3001 0.0252609 1392 0.542797
