# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
10.5349 0.0870058 384 1.30269
10.57 0.112901 72 1.69041
10.6152 0.0977705 336 1.46387
10.6914 0.100659 378 1.50711
10.7244 0.0758951 144 1.13634
10.7631 0.109033 384 1.63249
10.826 0.0974412 384 1.45894
10.8777 0.102899 344 1.54066
10.919 0.101943 144 1.52634
10.9816 0.0889003 456 1.33106
11.0311 0.0889533 312 1.33185
11.0746 0.0919201 144 1.37627
11.1354 0.0845287 552 1.2656
11.1965 0.0826926 264 1.23811
11.2557 0.0967763 264 1.44898
11.2926 0.0819163 294 1.22649
11.3378 0.0889308 432 1.33152
11.3986 0.0785649 432 1.17631
11.4516 0.0917276 264 1.37339
11.4915 0.0854262 192 1.27904
11.5567 0.0826852 468 1.238
11.6093 0.0879907 552 1.31744
11.6705 0.0841812 336 1.2604
11.7239 0.0957525 288 1.43365
11.7777 0.0905146 456 1.35523
11.8366 0.0794956 432 1.19025
11.8788 0.07919 168 1.18567
11.9469 0.077426 566 1.15926
12.0077 0.0845811 432 1.26639
12.0751 0.0917243 432 1.37334
12.1153 0.0767234 360 1.14874
12.1711 0.0855241 624 1.28051
12.2203 0.0964789 264 1.44453
12.2718 0.0852982 360 1.27713
12.3453 0.0786667 456 1.17784
12.3969 0.0752938 504 1.12734
12.467 0.086538 564 1.29569
12.526 0.0819904 384 1.2276
12.5876 0.0722971 462 1.08247
12.6429 0.080604 624 1.20684
12.7121 0.0810733 432 1.21387
12.7677 0.077461 624 1.15978
12.8318 0.0645115 312 0.965898
12.8807 0.0795293 552 1.19075
12.9504 0.0800786 408 1.19898
12.9878 0.0831164 600 1.24446
13.0701 0.075791 608 1.13478
13.1297 0.077856 504 1.1657
13.1933 0.075412 510 1.12911
13.258 0.072389 600 1.08384
13.3214 0.0793273 492 1.18773
13.3672 0.0775395 552 1.16096
13.4446 0.0806987 696 1.20826
13.492 0.0717925 504 1.07491
13.5589 0.0820198 528 1.22804
13.6149 0.0725714 624 1.08658
13.6788 0.0842786 504 1.26186
13.7489 0.0740521 552 1.10875
13.8157 0.0824615 654 1.23465
13.8792 0.0747916 840 1.11982
13.9482 0.0668736 744 1.00126
14.0148 0.0738961 456 1.10641
14.0735 0.0714965 648 1.07048
14.1506 0.0735617 896 1.1014
14.2105 0.0656716 396 0.983267
14.2726 0.0741029 816 1.1095
14.348 0.067064 672 1.00411
14.4008 0.0729614 552 1.09241
14.474 0.0689081 894 1.03173
14.5447 0.0727808 672 1.08971
14.6112 0.0672955 624 1.00758
14.6784 0.0630354 888 0.943798
14.7376 0.0770826 720 1.15412
14.8179 0.0660246 936 0.988553
14.8977 0.0626673 648 0.938286
14.9637 0.0684889 936 1.02545
15.0285 0.0695224 696 1.04092
15.1106 0.0719799 618 1.07772
15.1697 0.0631176 1008 0.945028
15.237 0.0599221 872 0.897183
15.3147 0.0687714 960 1.02968
15.3934 0.0616722 888 0.923386
15.4569 0.0606777 648 0.908496
15.5288 0.0650226 840 0.973551
15.5941 0.0704352 912 1.05459
15.6682 0.0654435 774 0.979853
15.7451 0.0648903 1272 0.971569
15.8249 0.0611462 912 0.915511
15.9019 0.054338 864 0.813575
15.9745 0.0612315 924 0.916789
16.0428 0.0571765 1080 0.856075
16.1255 0.0592993 1008 0.887858
16.1989 0.0573288 1128 0.858355
16.2879 0.0647431 768 0.969365
16.35 0.0589633 1046 0.882827
16.4304 0.0595395 1152 0.891455
16.512 0.0570645 1272 0.854397
16.5918 0.0612603 912 0.91722
16.6638 0.0586204 1200 0.877693
16.7465 0.05992 1080 0.897152
16.81 0.0575613 840 0.861836
16.9017 0.0609426 1332 0.912463
16.9783 0.0570364 1062 0.853976
17.0536 0.0516117 1320 0.772756
17.142 0.0536573 1248 0.803384
17.2167 0.0603226 1104 0.90318
17.3001 0.0554726 1392 0.830563
17.3739 0.0599202 776 0.897154
17.4601 0.057544 1728 0.861578
17.5449 0.0521254 1224 0.780447
17.633 0.0542871 1254 0.812812
17.7179 0.0517597 1368 0.774972
17.7982 0.0510327 1236 0.764086
17.8748 0.0548312 1608 0.820959
17.9662 0.054587 1008 0.817303
18.0329 0.0526365 1488 0.7881
18.1298 0.0512466 1440 0.76729
18.2161 0.0504297 1158 0.755059
18.2962 0.0520412 1824 0.779186
18.3819 0.0529493 1464 0.792783
18.4763 0.0508443 1448 0.761265
18.557 0.0508191 1560 0.760888
18.6484 0.0519561 1428 0.777912
