# in Mpc/h Units 
# D1 = 0.185087 
# k P N P(z=0)
0.628319 7.13228 6 208.198
0.888577 3.61699 12 105.583
1.08828 2.32804 8 67.9577
1.25664 1.60811 6 46.9422
1.40496 1.07234 24 31.3026
1.53906 1.0347 24 30.2038
1.77715 0.667945 12 19.4979
1.88496 0.75053 30 21.9087
1.98692 0.456605 24 13.3287
2.0839 0.522923 24 15.2646
2.17656 0.504344 8 14.7223
2.26543 0.384313 24 11.2184
2.35095 0.423441 48 12.3606
2.51327 0.29833 6 8.70852
2.59062 0.331057 48 9.66387
2.66573 0.255016 36 7.44416
2.73878 0.273389 24 7.98048
2.80993 0.353087 24 10.3069
2.87932 0.211677 48 6.17906
2.94708 0.282728 24 8.25309
3.07812 0.249086 24 7.27106
3.14159 0.249088 30 7.27111
3.20381 0.210142 72 6.13424
3.26484 0.183396 32 5.35351
3.3836 0.140377 72 4.09773
3.44144 0.277769 48 8.10835
3.55431 0.257962 12 7.53016
3.60942 0.185857 48 5.42535
3.6637 0.153351 48 4.47646
3.71718 0.154622 48 4.51356
3.76991 0.090619 30 2.64525
3.82191 0.0776374 24 2.26631
3.87322 0.147108 72 4.29422
3.97384 0.129028 24 3.76645
4.0232 0.15584 96 4.54911
4.07197 0.135623 48 3.95895
4.12016 0.124543 24 3.63554
4.16779 0.0923573 24 2.696
4.21489 0.130202 72 3.80072
4.26146 0.128256 48 3.7439
4.35312 0.0882083 8 2.57488
4.39823 0.104559 54 3.05217
4.44288 0.100133 84 2.92298
4.48709 0.0905558 48 2.64341
4.53087 0.11157 24 3.25685
4.57423 0.101741 72 2.96992
4.61718 0.119417 96 3.48589
4.70191 0.0727832 48 2.12461
4.7437 0.128549 48 3.75248
4.78513 0.110954 24 3.23885
4.82621 0.0733139 72 2.1401
4.90732 0.0839464 72 2.45047
4.94739 0.0862983 96 2.51913
5.02655 0.0728909 6 2.12775
5.06567 0.0885667 96 2.58534
5.10448 0.100028 96 2.91991
5.14301 0.0730311 24 2.13185
5.18125 0.0925241 48 2.70086
5.21921 0.0866338 96 2.52892
5.25689 0.0966591 48 2.82157
5.33146 0.0815413 36 2.38027
5.36836 0.0883593 48 2.57929
5.405 0.0788382 120 2.30136
5.4414 0.0647013 56 1.88869
5.47755 0.105376 24 3.07601
5.51347 0.0648052 96 1.89172
5.54916 0.075726 48 2.21051
5.61985 0.0974889 24 2.84579
5.65487 0.0695075 102 2.02899
5.68967 0.0757309 48 2.21066
5.72425 0.0640065 72 1.86841
