# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
0.628319 37.8929 6 209.589
0.888577 21.0475 12 116.416
1.08828 14.0097 8 77.4886
1.25664 13.8732 6 76.734
1.40496 8.20273 24 45.37
1.53906 7.45677 24 41.244
1.77715 3.37538 12 18.6695
1.88496 5.9081 30 32.6782
1.98692 4.34615 24 24.0389
2.0839 6.04212 24 33.4195
2.17656 4.25552 8 23.5376
2.26543 4.31971 24 23.8927
2.35095 4.88583 48 27.024
2.51327 6.3083 6 34.8918
2.59062 3.67101 48 20.3046
2.66573 3.08968 36 17.0893
2.73878 2.7033 24 14.9522
2.80993 3.92387 24 21.7032
2.87932 3.74817 48 20.7315
2.94708 4.61252 24 25.5122
3.07812 2.51362 24 13.903
3.14159 3.97262 30 21.9729
3.20381 2.22751 72 12.3205
3.26484 2.47348 32 13.681
3.3836 2.85109 72 15.7696
3.44144 2.45609 48 13.5848
3.55431 2.72192 12 15.0552
3.60942 1.57176 48 8.69355
3.6637 3.20627 48 17.7341
3.71718 2.38033 48 13.1658
3.76991 2.03316 30 11.2456
3.82191 1.92285 24 10.6354
3.87322 1.78758 72 9.88724
3.97384 1.33702 24 7.39519
4.0232 2.39203 96 13.2305
4.07197 2.71434 48 15.0132
4.12016 2.01578 24 11.1494
4.16779 1.82331 24 10.0849
4.21489 1.702 72 9.41392
4.26146 2.85012 48 15.7643
4.35312 2.62688 8 14.5295
4.39823 1.44606 54 7.99827
4.44288 1.97405 84 10.9186
4.48709 1.57873 48 8.73211
4.53087 1.43034 24 7.91131
4.57423 1.73103 72 9.57449
4.61718 1.4737 96 8.15116
4.70191 1.62719 48 9.00015
4.7437 1.71183 48 9.46825
4.78513 1.79512 24 9.92896
4.82621 1.78589 72 9.87793
4.90732 2.02281 72 11.1884
4.94739 1.63959 96 9.06869
5.02655 1.4835 6 8.20537
5.06567 1.52986 96 8.4618
5.10448 1.57796 96 8.72783
5.14301 1.25743 24 6.95494
5.18125 1.83331 48 10.1402
5.21921 1.51451 96 8.3769
5.25689 1.60697 48 8.88829
5.33146 1.42765 36 7.89644
5.36836 2.28705 48 12.6499
5.405 1.48308 120 8.20304
5.4414 1.56453 56 8.65354
5.47755 1.23506 24 6.83121
5.51347 1.4567 96 8.05713
5.54916 1.35944 48 7.51916
5.61985 2.21072 24 12.2277
5.65487 1.78695 102 9.88375
5.68967 1.52833 48 8.45334
5.72425 1.45755 72 8.06182
5.75863 1.67604 48 9.27029
5.79281 1.11758 48 6.18143
5.82679 1.27058 120 7.02766
5.89415 1.10391 24 6.10579
5.92755 1.17787 144 6.51489
5.96075 1.30442 120 7.21488
5.99378 1.34722 48 7.45159
6.05928 1.159 48 6.41055
6.09177 1.22425 96 6.77144
6.15624 1.23671 24 6.84037
6.18822 1.18579 48 6.5587
6.22004 1.3501 108 7.46749
6.25169 1.39886 72 7.73719
6.28319 0.754849 30 4.17513
6.31452 1.2776 168 7.06651
6.34571 1.77672 48 9.82719
6.40762 1.20762 72 6.67943
6.43835 1.32734 96 7.34162
6.46894 1.06117 72 5.86941
6.49938 1.06797 72 5.90704
6.52968 0.828266 32 4.58121
6.55984 1.14525 72 6.33448
6.58986 1.05545 144 5.83778
6.67912 1.08548 96 6.00386
6.70861 1.11364 96 6.15964
6.73797 1.25368 48 6.93421
6.7672 1.24678 72 6.89604
6.7963 1.1875 120 6.56817
6.82529 0.975985 72 5.39825
6.88288 0.979284 48 5.4165
6.9115 0.946006 78 5.23244
6.94001 1.23394 120 6.82503
6.96839 1.1807 48 6.53058
7.02481 1.02327 144 5.65982
7.05286 1.18955 144 6.57951
7.10861 0.705444 12 3.90187
7.13633 0.961692 144 5.3192
7.16393 0.851131 48 4.70768
7.19926 0.969361 168 5.36162
7.24612 1.13726 48 6.2903
7.27331 1.03679 168 5.73457
7.34532 1.07817 144 5.96346
7.38107 1.03624 96 5.73152
7.40777 0.848575 72 4.69354
7.43437 0.939763 48 5.19791
7.46967 1.12943 144 6.24698
7.53982 0.954114 30 5.27728
7.58332 1.0736 288 5.9382
7.61796 1.31238 56 7.25888
7.66638 1.09365 192 6.04908
7.6953 1.23198 120 6.81419
7.76339 1.01929 216 5.6378
7.79723 1.07026 96 5.9197
7.8225 1.1329 96 6.26619
7.87281 0.851687 72 4.71075
7.89784 0.961307 96 5.31707
7.94767 0.905269 24 5.00712
7.98137 0.869604 300 4.80985
8.02183 0.889801 24 4.92156
8.05865 1.01515 192 5.61489
8.09532 1.01523 120 5.61531
8.14394 0.855771 48 4.73334
8.18379 0.995391 222 5.50559
8.21633 1.00638 120 5.56637
8.26125 0.924184 192 5.11174
8.28809 1.2098 144 6.69152
8.33559 0.776247 24 4.29349
8.37495 0.83296 144 4.60717
8.40633 0.904265 120 5.00157
8.44439 0.928052 192 5.13313
8.47648 0.860497 144 4.75948
8.52293 1.15341 48 6.3796
8.55594 0.865706 336 4.78829
8.59213 0.768069 48 4.24825
8.64252 0.771842 240 4.26912
8.70624 0.685032 8 3.78897
8.72888 0.767359 48 4.24433
8.7579 0.928889 336 5.13776
8.81192 0.907192 174 5.01776
8.84123 0.77095 120 4.26419
8.89978 0.834901 228 4.61791
8.9427 0.906595 168 5.01445
8.98883 0.858189 144 4.74672
9.01807 0.835388 240 4.6206
9.06174 0.789101 24 4.36459
9.0897 0.787588 336 4.35622
9.13765 0.788021 144 4.35861
9.17922 0.862127 168 4.7685
9.23436 0.747826 96 4.13629
9.26754 0.706828 216 3.90953
9.32651 0.722437 288 3.99586
9.36174 0.853958 144 4.72331
9.41969 0.981458 198 5.42853
9.4573 0.863565 216 4.77645
9.50225 0.741014 168 4.09861
9.52892 0.765082 240 4.23173
9.58792 0.870692 168 4.81587
9.62314 0.752607 336 4.16273
