# in Mpc/h Units 
# D1 = 0.321902 
# k P N P(z=0)
0.628319 21.8104 6 210.482
0.888577 11.7183 12 113.088
1.08828 7.66955 8 74.0153
1.25664 6.29667 6 60.7663
1.40496 3.92547 24 37.8829
1.53906 3.76089 24 36.2947
1.77715 1.90268 12 18.3619
1.88496 3.01253 30 29.0726
1.98692 1.81238 24 17.4905
2.0839 2.40608 24 23.22
2.17656 1.8403 8 17.7599
2.26543 2.00268 24 19.3269
2.35095 2.09697 48 20.2369
2.51327 1.57543 6 15.2037
2.59062 1.5445 48 14.9052
2.66573 1.19228 36 11.5062
2.73878 0.987839 24 9.53319
2.80993 1.4015 24 13.5253
2.87932 1.09642 48 10.5811
2.94708 1.92961 24 18.6218
3.07812 1.12584 24 10.8649
3.14159 1.60174 30 15.4577
3.20381 0.918524 72 8.86426
3.26484 0.954005 32 9.20667
3.3836 0.808492 72 7.80239
3.44144 1.08305 48 10.452
3.55431 1.2019 12 11.599
3.60942 0.643595 48 6.21104
3.6637 0.892933 48 8.61729
3.71718 0.869902 48 8.39503
3.76991 0.527688 30 5.09248
3.82191 0.5001 24 4.82624
3.87322 0.7197 72 6.94549
3.97384 0.770036 24 7.43127
4.0232 0.804702 96 7.76581
4.07197 0.881346 48 8.50547
4.12016 0.768148 24 7.41305
4.16779 0.669245 24 6.45858
4.21489 0.600394 72 5.79413
4.26146 0.721509 48 6.96295
4.35312 0.902042 8 8.7052
4.39823 0.729793 54 7.0429
4.44288 0.813813 84 7.85374
4.48709 0.534661 48 5.15977
4.53087 0.826788 24 7.97896
4.57423 0.597989 72 5.77092
4.61718 0.478993 96 4.62255
4.70191 0.516334 48 4.98291
4.7437 0.648966 48 6.26287
4.78513 0.986058 24 9.51599
4.82621 0.724023 72 6.98722
4.90732 0.556143 72 5.36709
4.94739 0.53527 96 5.16564
5.02655 0.327715 6 3.16262
5.06567 0.465787 96 4.4951
5.10448 0.582998 96 5.62625
5.14301 0.460576 24 4.44481
5.18125 0.546611 48 5.27509
5.21921 0.624266 96 6.02451
5.25689 0.414899 48 4.00401
5.33146 0.464414 36 4.48185
5.36836 0.573436 48 5.53397
5.405 0.444968 120 4.29418
5.4414 0.48469 56 4.67753
5.47755 0.787032 24 7.59529
5.51347 0.491839 96 4.74652
5.54916 0.429794 48 4.14775
5.61985 0.545785 24 5.26712
5.65487 0.532132 102 5.13537
5.68967 0.317328 48 3.06239
5.72425 0.459137 72 4.43093
5.75863 0.38823 48 3.74663
5.79281 0.391647 48 3.77961
5.82679 0.454875 120 4.38979
5.89415 0.5101 24 4.92274
5.92755 0.525361 144 5.07002
5.96075 0.406623 120 3.92413
5.99378 0.258632 48 2.49594
6.05928 0.455153 48 4.39247
6.09177 0.452844 96 4.37019
6.15624 0.318586 24 3.07453
6.18822 0.520508 48 5.02319
6.22004 0.412322 108 3.97913
6.25169 0.346733 72 3.34616
6.28319 0.469813 30 4.53395
6.31452 0.389179 168 3.75579
6.34571 0.400307 48 3.86318
6.40762 0.399681 72 3.85714
6.43835 0.403662 96 3.89556
6.46894 0.44223 72 4.26776
6.49938 0.379553 72 3.66289
6.52968 0.335321 32 3.23603
6.55984 0.355113 72 3.42703
6.58986 0.436614 144 4.21357
6.67912 0.330988 96 3.19422
6.70861 0.458899 96 4.42862
6.73797 0.50869 48 4.90914
6.7672 0.309984 72 2.99152
6.7963 0.422519 120 4.07754
6.82529 0.30478 72 2.94129
6.88288 0.435445 48 4.20229
6.9115 0.368229 78 3.55362
6.94001 0.292915 120 2.82679
6.96839 0.350501 48 3.38252
7.02481 0.357176 144 3.44694
7.05286 0.389539 144 3.75927
7.10861 0.268899 12 2.59502
7.13633 0.324099 144 3.12774
7.16393 0.368231 48 3.55363
7.19926 0.370484 168 3.57538
7.24612 0.276898 48 2.67222
7.27331 0.406343 168 3.92143
7.34532 0.378944 144 3.65702
7.38107 0.324771 96 3.13422
7.40777 0.30791 72 2.9715
7.43437 0.349307 48 3.371
7.46967 0.373877 144 3.60812
7.53982 0.232976 30 2.24835
7.58332 0.32323 288 3.11935
7.61796 0.406563 56 3.92355
7.66638 0.299213 192 2.88757
7.6953 0.297304 120 2.86915
7.76339 0.297303 216 2.86914
7.79723 0.307307 96 2.96568
7.8225 0.270576 96 2.61121
7.87281 0.350125 72 3.37889
7.89784 0.289693 96 2.79569
7.94767 0.394374 24 3.80593
7.98137 0.310157 300 2.99318
8.02183 0.327641 24 3.16192
8.05865 0.298661 192 2.88224
8.09532 0.292855 120 2.82621
8.14394 0.347059 48 3.3493
8.18379 0.3246 222 3.13256
8.21633 0.343215 120 3.31222
8.26125 0.30687 192 2.96146
8.28809 0.332281 144 3.20669
8.33559 0.239177 24 2.30819
8.37495 0.287359 144 2.77317
8.40633 0.33788 120 3.26073
8.44439 0.315727 192 3.04693
8.47648 0.263106 144 2.53912
8.52293 0.288259 48 2.78186
8.55594 0.267861 336 2.585
8.59213 0.354509 48 3.4212
8.64252 0.257836 240 2.48826
8.70624 0.252419 8 2.43598
8.72888 0.261979 48 2.52824
8.7579 0.328655 336 3.1717
8.81192 0.26088 174 2.51764
8.84123 0.214193 120 2.06708
8.89978 0.254666 228 2.45766
8.9427 0.216918 168 2.09338
8.98883 0.255901 144 2.46958
9.01807 0.259846 240 2.50765
9.06174 0.2193 24 2.11636
9.0897 0.289787 336 2.7966
9.13765 0.330297 144 3.18755
9.17922 0.284291 168 2.74357
9.23436 0.250101 96 2.41362
9.26754 0.264996 216 2.55736
9.32651 0.238981 288 2.3063
9.36174 0.238105 144 2.29785
9.41969 0.259178 198 2.50121
9.4573 0.310366 216 2.9952
9.50225 0.291079 168 2.80907
9.52892 0.266642 240 2.57324
9.58792 0.239616 168 2.31243
9.62314 0.237643 336 2.29339
9.68099 0.223783 240 2.15963
9.7638 0.264831 276 2.55576
9.81837 0.295227 344 2.8491
9.85479 0.274195 144 2.64613
9.90673 0.252054 240 2.43246
9.94528 0.270946 312 2.61478
10.0098 0.283185 240 2.73289
10.0531 0.120014 6 1.1582
10.0874 0.273232 384 2.63684
10.1448 0.291009 312 2.8084
10.1924 0.237489 168 2.2919
10.2421 0.234 336 2.25823
10.2983 0.253191 336 2.44343
10.3243 0.213124 192 2.05676
10.3879 0.26511 288 2.55846
10.4279 0.246441 216 2.37829
10.4705 0.284194 240 2.74262
10.5349 0.232682 384 2.24551
10.57 0.245219 72 2.3665
10.6152 0.229876 336 2.21843
10.6914 0.240862 378 2.32445
10.7244 0.243966 144 2.35441
10.7631 0.261763 384 2.52615
10.826 0.243584 384 2.35071
10.8777 0.227847 344 2.19885
10.919 0.218306 144 2.10677
10.9816 0.21758 456 2.09976
11.0311 0.216378 312 2.08816
11.0746 0.233963 144 2.25787
11.1354 0.242259 552 2.33793
11.1965 0.17893 264 1.72677
11.2557 0.213466 264 2.06006
11.2926 0.211948 294 2.04542
11.3378 0.210958 432 2.03586
11.3986 0.229434 432 2.21417
11.4516 0.213672 264 2.06206
11.4915 0.204126 192 1.96993
11.5567 0.202635 468 1.95554
11.6093 0.220149 552 2.12456
11.6705 0.203023 336 1.95928
11.7239 0.194274 288 1.87485
11.7777 0.211368 456 2.03982
11.8366 0.203575 432 1.96461
11.8788 0.173217 168 1.67164
11.9469 0.204485 566 1.9734
12.0077 0.203692 432 1.96574
12.0751 0.187294 432 1.80749
12.1153 0.218283 360 2.10655
12.1711 0.20954 624 2.02217
12.2203 0.182404 264 1.7603
12.2718 0.202491 360 1.95415
12.3453 0.185763 456 1.79272
12.3969 0.194486 504 1.87689
12.467 0.195264 564 1.88441
12.526 0.194722 384 1.87917
12.5876 0.180301 462 1.74001
12.6429 0.211878 624 2.04473
12.7121 0.161565 432 1.55919
12.7677 0.203392 624 1.96285
12.8318 0.20066 312 1.93647
12.8807 0.198605 552 1.91665
12.9504 0.192435 408 1.8571
12.9878 0.19215 600 1.85435
13.0701 0.176774 608 1.70597
13.1297 0.1826 504 1.76219
13.1933 0.162956 510 1.57262
13.258 0.17803 600 1.71808
13.3214 0.177397 492 1.71198
13.3672 0.167653 552 1.61794
13.4446 0.165164 696 1.59393
13.492 0.160961 504 1.55336
13.5589 0.180235 528 1.73937
13.6149 0.184864 624 1.78403
13.6788 0.17103 504 1.65053
13.7489 0.176857 552 1.70676
13.8157 0.152212 654 1.46893
13.8792 0.16023 840 1.54631
13.9482 0.168539 744 1.62649
14.0148 0.152089 456 1.46774
14.0735 0.176119 648 1.69964
14.1506 0.164854 896 1.59093
14.2105 0.153 396 1.47653
14.2726 0.156297 816 1.50835
14.348 0.153643 672 1.48274
14.4008 0.143045 552 1.38046
14.474 0.160949 894 1.55324
14.5447 0.144046 672 1.39012
14.6112 0.156696 624 1.5122
14.6784 0.148324 888 1.43141
14.7376 0.169689 720 1.63759
14.8179 0.14954 936 1.44314
14.8977 0.153461 648 1.48098
14.9637 0.13905 936 1.34191
15.0285 0.149817 696 1.44582
15.1106 0.150766 618 1.45498
15.1697 0.139166 1008 1.34303
15.237 0.135993 872 1.31241
15.3147 0.145852 960 1.40755
15.3934 0.149714 888 1.44482
15.4569 0.141702 648 1.3675
15.5288 0.14548 840 1.40396
15.5941 0.146768 912 1.41639
15.6682 0.143977 774 1.38946
15.7451 0.140504 1272 1.35594
15.8249 0.134738 912 1.30029
15.9019 0.136496 864 1.31726
15.9745 0.143245 924 1.38239
16.0428 0.143346 1080 1.38337
16.1255 0.135059 1008 1.30339
16.1989 0.132051 1128 1.27436
16.2879 0.128337 768 1.23852
16.35 0.139455 1046 1.34582
16.4304 0.128497 1152 1.24007
16.512 0.132842 1272 1.28199
16.5918 0.136154 912 1.31396
16.6638 0.123184 1200 1.18879
16.7465 0.139957 1080 1.35066
16.81 0.142245 840 1.37274
16.9017 0.126222 1332 1.21811
16.9783 0.124137 1062 1.19799
17.0536 0.129934 1320 1.25393
17.142 0.134314 1248 1.2962
17.2167 0.123748 1104 1.19424
17.3001 0.126973 1392 1.22535
17.3739 0.115754 776 1.11709
17.4601 0.122119 1728 1.17851
17.5449 0.124375 1224 1.20029
17.633 0.1248 1254 1.20439
17.7179 0.120119 1368 1.15921
17.7982 0.123352 1236 1.19042
17.8748 0.123945 1608 1.19614
17.9662 0.120916 1008 1.1669
18.0329 0.116679 1488 1.12601
18.1298 0.114125 1440 1.10137
18.2161 0.110157 1158 1.06308
18.2962 0.117681 1824 1.13569
18.3819 0.110611 1464 1.06746
18.4763 0.115058 1448 1.11037
18.557 0.112187 1560 1.08267
18.6484 0.10864 1428 1.04844
18.7347 0.111177 1680 1.07292
18.8277 0.10819 1494 1.04409
18.9164 0.10363 1944 1.00008
19.0083 0.107066 1368 1.03324
19.0912 0.108915 1584 1.05108
19.1791 0.105387 1776 1.01704
19.2627 0.0985032 1440 0.95061
19.355 0.105975 1968 1.02271
19.4476 0.102338 1374 0.987618
19.5383 0.107127 2100 1.03384
19.6314 0.105487 1640 1.01801
19.731 0.0996641 2496 0.961813
19.8246 0.0973977 1248 0.939941
19.8969 0.0916225 1512 0.884207
20.0004 0.0931051 2280 0.898515
20.0981 0.100614 1926 0.970984
20.1907 0.0958526 2064 0.92503
20.2923 0.100474 1920 0.969626
20.3766 0.0986073 1944 0.951614
20.4817 0.0957726 2172 0.924258
20.5802 0.0931385 2256 0.898837
20.6744 0.0943353 1736 0.910388
20.7695 0.0982101 2094 0.947781
20.8661 0.0895183 2328 0.8639
20.9635 0.0940553 2256 0.907685
21.0605 0.0920927 1920 0.888745
21.1552 0.0923877 2520 0.891592
21.2598 0.0868356 2088 0.838011
21.3716 0.0919158 2634 0.887037
21.4685 0.0896742 2328 0.865405
21.5636 0.0828197 2304 0.799255
21.67 0.088533 2568 0.854391
21.7712 0.0916673 2024 0.884639
21.856 0.0900387 2352 0.868923
21.964 0.0850656 2718 0.820929
22.0689 0.0836669 2520 0.807432
22.1792 0.0863695 2772 0.833513
22.2806 0.0799972 2640 0.772017
22.3891 0.080741 2880 0.779195
22.4992 0.0811711 2448 0.783345
22.5967 0.0817824 2478 0.789245
22.6978 0.0762934 2904 0.736273
22.8073 0.0784212 2816 0.756807
22.9091 0.0758689 3024 0.732177
23.0305 0.0760131 2952 0.733568
23.1358 0.0762338 2796 0.735698
23.2405 0.0734056 2982 0.708405
23.355 0.075938 3312 0.732843
23.4601 0.070558 2688 0.680923
23.5688 0.0762401 3144 0.735759
23.6855 0.0693163 3672 0.66894
23.7877 0.0724625 2328 0.699302
23.9086 0.071902 4046 0.693893
24.0233 0.0755713 2844 0.729304
24.1291 0.0702596 3600 0.678044
24.2431 0.072642 3264 0.701035
24.3572 0.0711386 3288 0.686527
24.4685 0.0687922 3198 0.663882
24.5798 0.0686557 3864 0.662564
24.6976 0.0699279 3456 0.674842
24.8127 0.0721524 3744 0.69631
24.936 0.0689407 3876 0.665315
25.0523 0.0665446 3392 0.642192
25.1669 0.0666329 3918 0.643044
25.2872 0.0639503 3864 0.617155
25.4083 0.0653679 4104 0.630835
25.5199 0.0641367 3480 0.618954
25.6387 0.0634254 4080 0.61209
25.7664 0.0649726 4170 0.627021
25.8855 0.0644837 4176 0.622303
26.008 0.0633011 4560 0.610891
26.1336 0.0621613 3656 0.599891
26.2469 0.061405 4344 0.592591
26.3809 0.0613657 4830 0.592213
26.5071 0.0623069 4416 0.601296
26.6256 0.0613396 3876 0.59196
26.7421 0.0600407 4752 0.579426
26.8761 0.0612915 4968 0.591496
27.01 0.0587832 4494 0.56729
27.124 0.0596266 4200 0.575429
27.2568 0.0575897 5792 0.555772
27.3851 0.0587297 4224 0.566774
27.5155 0.0559369 5220 0.539821
27.6427 0.0572565 4590 0.552557
27.7657 0.0578734 5328 0.55851
27.902 0.0563787 5304 0.544085
28.0352 0.0566976 5040 0.547163
28.1565 0.0563963 4920 0.544255
28.2918 0.0534351 5750 0.515678
28.4302 0.0532987 5388 0.514361
28.5589 0.0542442 5784 0.523486
28.6971 0.0540682 5400 0.521788
28.8304 0.0522628 5640 0.504364
28.9695 0.0517962 5934 0.499862
29.1035 0.0513701 6120 0.495749
29.2425 0.0518126 5544 0.50002
29.3779 0.0501941 6164 0.484401
29.5153 0.0515935 5838 0.497905
29.6461 0.0496613 6144 0.479259
29.7907 0.0490383 6288 0.473247
29.9258 0.0505648 6576 0.487978
30.0748 0.0482374 6504 0.465517
30.2188 0.0487079 6594 0.470058
30.361 0.0473021 7008 0.456491
30.5003 0.0482237 6200 0.465385
30.6412 0.0473092 6768 0.456559
30.7876 0.0475304 7182 0.458694
30.9298 0.0452227 6864 0.436424
31.0761 0.0467447 7308 0.451112
31.2204 0.0460331 6744 0.444245
31.3652 0.0464731 7686 0.448491
31.5175 0.0440101 7280 0.424721
31.662 0.0448416 7920 0.432746
31.8151 0.042542 7560 0.410554
31.9599 0.0444543 6948 0.429008
32.1058 0.0441461 8430 0.426034
32.2645 0.041765 8328 0.403055
32.4166 0.0426923 7824 0.412004
32.568 0.0430886 8160 0.415829
32.7167 0.0417824 8030 0.403223
32.8774 0.0410075 9372 0.395745
33.0313 0.0410089 7968 0.395758
33.1826 0.0411056 8568 0.396691
33.3427 0.041349 8934 0.39904
33.4947 0.0397668 8952 0.383771
33.6524 0.0396932 8880 0.383061
33.8146 0.0402524 9548 0.388458
33.9739 0.0398196 9126 0.384281
34.1313 0.0392034 9384 0.378334
34.2874 0.0387716 9288 0.374167
34.4468 0.0376037 9792 0.362896
34.6116 0.0376159 9570 0.363014
34.771 0.0376741 10376 0.363576
34.9362 0.0362997 10152 0.350312
35.1033 0.0373063 9960 0.360026
35.2646 0.0360527 10782 0.347928
35.4377 0.0367569 10992 0.354724
35.6063 0.0358472 10452 0.345945
35.7696 0.0349269 10806 0.337064
35.9426 0.0351934 11312 0.339636
36.1079 0.034633 11112 0.334227
36.2754 0.0349979 10848 0.337749
36.4449 0.035245 11394 0.340134
36.6133 0.0340861 11952 0.328949
36.7846 0.0340725 11352 0.328818
36.9601 0.0347268 12584 0.335133
37.1397 0.0337743 12390 0.32594
37.3143 0.0326611 12252 0.315197
37.4848 0.0316692 12240 0.305625
37.663 0.0329291 12486 0.317784
37.8363 0.0321574 13080 0.310336
38.0139 0.0318994 12968 0.307846
38.1916 0.0322823 12612 0.311542
38.369 0.0311535 13974 0.300648
38.5541 0.0308605 13944 0.297821
38.7327 0.0297877 12840 0.287468
38.91 0.030518 14358 0.294516
39.0994 0.0300639 14588 0.290133
39.2843 0.030306 14688 0.29247
39.4661 0.0302451 13560 0.291881
39.6505 0.029961 15582 0.28914
39.8367 0.0295174 14544 0.284859
40.0233 0.029862 15420 0.288184
40.2152 0.0289827 15614 0.279699
40.399 0.0289416 14880 0.279302
40.5874 0.0290378 16728 0.28023
40.7843 0.0283976 15690 0.274052
40.9716 0.0280799 16248 0.270986
41.1602 0.0281883 16584 0.272032
41.3596 0.0276889 16904 0.267213
41.5548 0.0273033 17430 0.263491
41.7499 0.027421 16908 0.264627
41.9429 0.026906 17640 0.259657
42.1439 0.0271581 17550 0.262091
42.34 0.0266461 18696 0.25715
42.5408 0.0265343 17792 0.25607
42.739 0.0259101 18138 0.250046
42.937 0.0263101 19392 0.253907
43.1414 0.0256903 18768 0.247925
43.3421 0.0251667 19038 0.242872
43.5438 0.025362 19460 0.244758
43.7444 0.0251997 19992 0.24319
43.96 0.025101 21174 0.242239
44.1671 0.0248192 20040 0.239518
44.3727 0.0247353 20628 0.238709
44.5802 0.0247624 20798 0.238971
44.7878 0.0242765 21480 0.234281
44.9991 0.0242515 21792 0.23404
45.2114 0.0241776 21414 0.233327
45.4235 0.0238761 23100 0.230417
45.6374 0.0234281 21992 0.226094
45.8534 0.0239157 23406 0.2308
46.0666 0.0231205 22536 0.223125
46.284 0.0228903 24348 0.220904
46.5042 0.02248 23598 0.216944
46.7214 0.0228309 24224 0.22033
46.9406 0.0223623 24648 0.215808
47.1626 0.0221401 24618 0.213664
47.3743 0.0221371 24192 0.213635
47.5977 0.0222999 26208 0.215207
47.8226 0.0214869 25790 0.20736
48.0485 0.0213319 26916 0.205865
48.2752 0.0216119 26214 0.208567
48.5019 0.0207192 27528 0.199952
48.7306 0.0210947 27720 0.203575
48.961 0.0209409 27122 0.202091
49.1868 0.0206058 28632 0.198857
49.4198 0.0206469 28680 0.199254
49.6522 0.0206571 28722 0.199352
49.8833 0.0199522 30000 0.192549
50.1204 0.0205497 29408 0.198316
50.355 0.0197946 30678 0.191028
50.5916 0.0195424 30660 0.188595
50.8313 0.0194991 31494 0.188177
51.0704 0.0194583 31448 0.187783
51.3084 0.0191369 32160 0.184682
51.5543 0.0191753 33090 0.185053
51.795 0.0190141 32664 0.183496
52.0364 0.0185877 32718 0.179381
52.2793 0.0185682 34472 0.179194
52.526 0.0182697 34260 0.176312
