# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
4.72285 0.180765 96 3.88422
4.73329 0.17285 120 3.71414
4.75112 0.234334 168 5.03529
4.76446 0.208013 240 4.46971
4.78513 0.322107 24 6.92132
4.79543 0.223058 144 4.79298
4.80571 0.167292 216 3.5947
4.82211 0.210489 120 4.52292
4.83642 0.22021 144 4.73178
4.84661 0.207175 96 4.45171
4.87706 0.205559 144 4.41696
4.88717 0.172698 132 3.71087
4.89726 0.181477 104 3.8995
4.90732 0.245436 72 5.27384
4.922 0.203845 312 4.38014
4.94739 0.236012 96 5.07133
4.95735 0.207737 144 4.46377
4.97264 0.211874 312 4.55267
4.99701 0.259657 48 5.57941
5.00687 0.18741 192 4.027
5.02655 0.10334 6 2.22052
5.03636 0.22879 192 4.91615
5.05103 0.197521 192 4.24426
5.06567 0.169651 96 3.6454
5.0754 0.189673 216 4.07561
5.08511 0.193091 72 4.14907
5.10448 0.171527 96 3.6857
5.11414 0.233529 96 5.01797
5.12539 0.215193 288 4.62398
5.14301 0.161589 24 3.47216
5.1526 0.186792 264 4.01372
5.16216 0.201343 192 4.32638
5.18125 0.133324 48 2.86482
5.19646 0.195348 240 4.19757
5.20974 0.176265 120 3.78751
5.21921 0.178609 96 3.83789
5.23525 0.162643 240 3.4948
5.26471 0.162702 288 3.49608
5.27563 0.185229 96 3.98014
5.28498 0.231844 72 4.98178
5.30362 0.179661 192 3.86048
5.31292 0.181063 144 3.8906
5.33146 0.124436 36 2.67384
5.34719 0.169227 342 3.63628
5.35916 0.14081 96 3.02568
5.37587 0.178857 264 3.8432
5.38671 0.14667 168 3.15159
5.405 0.169831 120 3.64926
5.41412 0.142729 192 3.0669
5.42984 0.181644 264 3.90309
5.4414 0.167566 56 3.60059
5.45589 0.164332 240 3.5311
5.48556 0.169855 216 3.64978
5.49554 0.151671 240 3.25906
5.50963 0.143042 168 3.07363
5.52599 0.163342 240 3.50983
5.55508 0.214005 144 4.59845
5.56692 0.174201 312 3.74317
5.57577 0.154098 144 3.3112
5.59826 0.168592 264 3.62264
5.62783 0.161801 264 3.47671
5.64176 0.163289 192 3.50868
5.65487 0.153351 102 3.29516
5.66891 0.168613 432 3.62309
5.68967 0.155319 48 3.33743
5.69833 0.144463 288 3.10418
5.71069 0.121057 168 2.60122
5.72964 0.14587 192 3.1344
5.74147 0.126711 144 2.72273
5.75863 0.139537 48 2.99831
5.77277 0.133624 276 2.87126
5.78642 0.149552 192 3.21351
5.80132 0.151265 336 3.25032
5.80982 0.188517 216 4.05078
5.83055 0.135311 216 2.90752
5.84792 0.131574 240 2.8272
5.87392 0.154945 408 3.3294
5.89415 0.147471 24 3.16881
5.90669 0.148166 384 3.18372
5.92421 0.14019 240 3.01236
5.93942 0.147664 168 3.17296
5.96499 0.149645 246 3.21552
5.97997 0.127242 320 2.73413
6.00063 0.132164 288 2.83989
6.01022 0.14504 144 3.11656
6.0348 0.142463 288 3.06119
6.04764 0.147056 336 3.15989
6.0651 0.134784 168 2.89619
6.07555 0.166968 336 3.58773
6.09177 0.142049 96 3.0523
6.10391 0.126034 384 2.70818
6.11603 0.126793 72 2.72448
6.13444 0.13918 336 2.99064
6.15624 0.0912538 24 1.96083
6.16996 0.142485 336 3.06166
6.18252 0.109642 168 2.35594
6.19954 0.155633 456 3.34419
6.22004 0.116933 108 2.5126
6.23156 0.137612 264 2.95694
6.24595 0.122253 264 2.62693
6.26564 0.11888 312 2.55444
6.28319 0.0951714 30 2.04501
6.29452 0.148542 432 3.19181
6.31756 0.134929 432 2.89931
6.33013 0.143281 192 3.07876
6.35192 0.119115 240 2.55949
6.36456 0.148747 336 3.19621
6.38447 0.131065 240 2.81627
6.3922 0.128929 240 2.77037
6.41275 0.147806 216 3.176
6.42832 0.119044 312 2.55797
6.44655 0.157952 336 3.39401
6.46894 0.146543 72 3.14887
6.48007 0.127921 624 2.74872
6.49634 0.153391 120 3.29601
6.51021 0.149704 336 3.21679
6.52968 0.0765901 32 1.64574
6.54409 0.117543 528 2.52573
6.56562 0.122268 312 2.62726
6.57487 0.0975607 96 2.09635
6.59474 0.114326 414 2.45659
6.60897 0.129972 216 2.79279
6.63315 0.116888 480 2.51165
6.6632 0.122271 636 2.62731
6.68355 0.129798 240 2.78904
6.69388 0.121562 168 2.61207
6.7191 0.121159 504 2.60342
6.7321 0.116477 240 2.5028
6.74682 0.113812 456 2.44554
6.7725 0.121766 264 2.61645
6.78639 0.110948 264 2.38401
6.80514 0.118737 552 2.55137
6.82529 0.117272 72 2.5199
6.83702 0.124194 384 2.66864
6.8562 0.11108 336 2.38684
6.86853 0.0974222 96 2.09337
6.89291 0.115012 480 2.47132
6.90756 0.104933 174 2.25475
6.92267 0.118459 552 2.54539
6.94474 0.122288 360 2.62767
6.95933 0.109639 432 2.35588
6.98042 0.119945 480 2.57734
7.00371 0.105912 288 2.2758
7.01377 0.0951695 168 2.04497
7.03217 0.118865 504 2.55412
7.05566 0.101866 240 2.18885
7.06849 0.0992506 440 2.13266
7.09018 0.110321 552 2.37055
7.10861 0.115073 12 2.47265
7.12185 0.115281 528 2.47711
7.14393 0.109911 480 2.36173
7.16393 0.091293 48 1.96167
7.17479 0.0979038 624 2.10372
7.19862 0.116378 504 2.50068
