# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
0.314159 163.657 6 905.2
0.444288 91.9303 12 508.474
0.54414 61.4005 8 339.611
0.628319 50.1546 6 277.409
0.702481 31.9858 24 176.916
0.76953 30.6349 24 169.444
0.888577 16.4508 12 90.991
0.942478 25.7263 30 142.294
0.993459 15.3621 24 84.9689
1.04195 20.2595 24 112.057
1.08828 15.4686 8 85.5579
1.13272 17.418 24 96.3404
1.17548 17.9148 48 99.0884
1.25664 13.2069 6 73.0483
1.29531 13.3091 48 73.6138
1.33286 10.1153 36 55.9483
1.36939 8.50875 24 47.0626
1.40496 12.3001 24 68.033
1.43966 9.36362 48 51.791
1.47354 16.6992 24 92.3648
1.53906 9.52196 24 52.6667
1.5708 13.8405 30 76.5528
1.6019 8.10547 72 44.8321
1.63242 8.34459 32 46.1546
1.6918 6.9374 72 38.3713
1.72072 9.77785 48 54.0821
1.77715 10.0355 12 55.5073
1.80471 5.55875 48 30.7459
1.83185 7.64806 48 42.302
1.85859 7.60224 48 42.0486
1.88496 4.53188 30 25.0662
1.91096 4.19676 24 23.2126
1.93661 6.52295 72 36.079
1.98692 7.2061 24 39.8576
2.0116 7.02489 96 38.8552
2.03598 7.60215 48 42.0481
2.06008 7.03958 24 38.9365
2.0839 5.69362 24 31.4919
2.10744 5.4484 72 30.1356
2.13073 6.40958 48 35.4519
2.17656 7.70029 8 42.5909
2.19911 6.4898 54 35.8956
2.22144 7.33389 84 40.5643
2.24355 4.71281 48 26.0669
2.26543 7.43644 24 41.1316
2.28711 5.49371 72 30.3862
2.30859 4.33362 96 23.9696
2.35095 4.72377 48 26.1276
2.37185 5.81274 48 32.1507
2.39257 8.69305 24 48.082
2.4131 6.51456 72 36.0326
2.45366 4.83453 72 26.7402
2.47369 4.82845 96 26.7066
2.51327 2.95593 6 16.3495
2.53283 4.2372 96 23.4363
2.55224 5.22575 96 28.904
2.5715 4.02239 24 22.2482
2.59062 4.9508 48 27.3833
2.6096 5.54394 96 30.664
2.62844 3.92671 48 21.719
2.66573 4.25624 36 23.5416
2.68418 4.99319 48 27.6177
2.7025 3.79927 120 21.0141
2.7207 4.24837 56 23.4981
2.73878 7.14959 24 39.545
2.75674 4.52933 96 25.0521
2.77458 3.97265 48 21.9731
2.80993 5.26407 24 29.116
2.82743 4.7098 102 26.0503
2.84483 2.78632 48 15.4113
2.86213 4.26403 72 23.5847
2.87932 3.49281 48 19.319
2.89641 3.55419 48 19.6585
2.91339 4.04933 120 22.3972
2.94708 4.74568 24 26.2488
2.96377 4.7814 144 26.4463
2.98038 3.70215 120 20.4769
2.99689 2.40447 48 13.2993
3.02964 4.36327 48 24.1336
3.04589 4.18767 96 23.1623
3.07812 2.86285 24 15.8346
3.09411 4.47742 48 24.765
3.11002 3.84002 108 21.2395
3.12585 3.20842 72 17.7461
3.14159 4.15603 30 22.9874
3.15726 3.56103 168 19.6964
3.17285 3.50579 48 19.3908
3.20381 3.59023 72 19.8579
3.21917 3.708 96 20.5093
3.23447 4.17933 72 23.1163
3.24969 3.27213 72 18.0984
3.26484 2.98738 32 16.5235
3.27992 3.3615 72 18.5927
3.29493 4.12261 144 22.8025
3.33956 3.04088 96 16.8194
3.3543 4.29041 96 23.7306
3.36898 4.74959 48 26.2704
3.3836 2.8384 72 15.6994
3.39815 3.89183 120 21.526
3.41264 2.78618 72 15.4106
3.44144 4.16716 48 23.0489
3.45575 3.27475 78 18.1129
3.47 2.65167 120 14.6666
3.48419 3.14038 48 17.3697
3.51241 3.24039 144 17.9229
3.52643 3.4876 144 19.2902
3.55431 2.42666 12 13.4221
3.56816 2.87864 144 15.922
3.58197 3.44383 48 19.0481
3.59572 3.57303 120 19.7627
3.60942 3.32718 48 18.4029
3.62306 2.54798 48 14.0931
3.63666 3.6869 168 20.3926
3.6637 3.44678 48 19.0645
3.67714 3.68658 96 20.3908
3.69054 3.03562 96 16.7903
3.70388 2.94611 72 16.2952
3.71718 3.0188 48 16.6972
3.73043 3.53171 96 19.5342
3.74364 3.29839 48 18.2437
3.76991 2.22684 30 12.3168
3.78298 3.12675 96 17.2943
3.796 2.83697 192 15.6915
3.80898 3.74263 56 20.7008
3.82191 3.37993 24 18.6947
3.8348 2.62803 168 14.5358
3.84765 2.65158 120 14.6661
3.87322 2.60505 72 14.4087
3.88594 2.78931 144 15.4279
3.89861 2.82485 96 15.6245
