# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
0.314159 59.9537 6 897.657
0.444288 32.227 12 482.519
0.54414 21.3799 8 320.111
0.628319 15.0408 6 225.198
0.702481 10.265 24 153.693
0.76953 9.93388 24 148.735
0.888577 6.52703 12 97.726
0.942478 7.54103 30 112.908
0.993459 4.60443 24 68.9399
1.04195 5.32491 24 79.7272
1.08828 5.08377 8 76.1167
1.13272 4.03163 24 60.3635
1.17548 4.3695 48 65.4223
1.25664 3.15101 6 47.1784
1.29531 3.4319 48 51.3841
1.33286 2.632 36 39.4076
1.36939 2.79253 24 41.8111
1.40496 3.70316 24 55.4455
1.43966 2.19975 48 32.9357
1.47354 3.03611 24 45.4581
1.53906 2.56289 24 38.3728
1.5708 2.68766 30 40.241
1.6019 2.23915 72 33.5257
1.63242 1.98308 32 29.6916
1.6918 1.50316 72 22.506
1.72072 3.02404 48 45.2774
1.77715 2.76391 12 41.3827
1.80471 1.96884 48 29.4785
1.83185 1.64084 48 24.5675
1.85859 1.71134 48 25.6231
1.88496 0.994212 30 14.8858
1.91096 0.826922 24 12.3811
1.93661 1.63951 72 24.5475
1.98692 1.47611 24 22.1011
2.0116 1.69993 96 25.4522
2.03598 1.50962 48 22.6028
2.06008 1.42379 24 21.3177
2.0839 0.952362 24 14.2592
2.10744 1.45159 72 21.734
2.13073 1.41808 48 21.2323
2.17656 1.043 8 15.6164
2.19911 1.20175 54 17.9931
2.22144 1.15088 84 17.2315
2.24355 0.995332 48 14.9026
2.26543 1.28049 24 19.1721
2.28711 1.14258 72 17.1073
2.30859 1.36107 96 20.3786
2.35095 0.854865 48 12.7995
2.37185 1.47815 48 22.1316
2.39257 1.23747 24 18.528
2.4131 0.827843 72 12.3949
2.45366 0.901096 72 13.4917
2.47369 0.970827 96 14.5357
2.51327 0.751914 6 11.258
2.53283 1.02047 96 15.279
2.55224 1.1215 96 16.7917
2.5715 0.771492 24 11.5512
2.59062 1.05981 48 15.8681
2.6096 0.978184 96 14.6459
2.62844 1.11025 48 16.6232
2.66573 0.919346 36 13.7649
2.68418 1.0447 48 15.6418
2.7025 0.921663 120 13.7996
2.7207 0.754623 56 11.2986
2.73878 1.27077 24 19.0266
2.75674 0.80216 96 12.0103
2.77458 0.87415 48 13.0882
2.80993 1.18742 24 17.7786
2.82743 0.811578 102 12.1513
2.84483 0.876506 48 13.1235
2.86213 0.739895 72 11.0781
2.87932 0.854733 48 12.7975
2.89641 0.606618 48 9.08258
2.91339 0.818218 120 12.2508
2.94708 0.647545 24 9.69537
2.96377 0.748428 144 11.2058
2.98038 0.841182 120 12.5946
2.99689 0.686202 48 10.2742
3.02964 0.76991 48 11.5275
3.04589 0.725678 96 10.8652
