# in Mpc/h Units 
# D1 = 0.185087 
# k P N P(z=0)
0.314159 30.4858 6 889.91
0.444288 16.0029 12 467.139
0.54414 10.5571 8 308.172
0.628319 7.26426 6 212.051
0.702481 5.12395 24 149.573
0.76953 4.81076 24 140.43
0.888577 3.39559 12 99.1205
0.942478 3.42546 30 99.9924
0.993459 2.29374 24 66.9565
1.04195 2.46174 24 71.8604
1.08828 2.47567 8 72.2671
1.13272 1.69174 24 49.3835
1.17548 1.88921 48 55.1478
1.25664 1.7165 6 50.1062
1.29531 1.5067 48 43.9818
1.33286 1.19932 36 35.0093
1.36939 1.40615 24 41.0469
1.40496 1.8187 24 53.0894
1.43966 1.10284 48 32.1929
1.47354 1.19412 24 34.8575
1.53906 1.23008 24 35.9073
1.5708 1.0541 30 30.7702
1.6019 0.946537 72 27.6303
1.63242 0.846204 32 24.7015
1.6918 0.719269 72 20.9961
1.72072 1.14209 48 33.3386
1.77715 1.08591 12 31.6987
1.80471 0.895283 48 26.1342
1.83185 0.715835 48 20.8959
1.85859 0.682766 48 19.9306
1.88496 0.481804 30 14.0643
1.91096 0.458138 24 13.3735
1.93661 0.623173 72 18.191
1.98692 0.484843 24 14.153
2.0116 0.706844 96 20.6334
2.03598 0.613236 48 17.9009
2.06008 0.523005 24 15.267
2.0839 0.519787 24 15.1731
2.10744 0.54521 72 15.9152
2.13073 0.563919 48 16.4613
2.17656 0.234776 8 6.85332
2.19911 0.444398 54 12.9724
2.22144 0.429208 84 12.529
2.24355 0.464104 48 13.5476
2.26543 0.518114 24 15.1242
2.28711 0.487399 72 14.2276
2.30859 0.519925 96 15.1771
2.35095 0.33354 48 9.73634
2.37185 0.516753 48 15.0845
2.39257 0.526272 24 15.3624
2.4131 0.337191 72 9.84292
2.45366 0.472224 72 13.7847
2.47369 0.396581 96 11.5766
2.51327 0.366919 6 10.7107
2.53283 0.362017 96 10.5676
2.55224 0.455518 96 13.297
2.5715 0.386763 24 11.29
2.59062 0.394896 48 11.5274
2.6096 0.405324 96 11.8318
2.62844 0.431445 48 12.5943
2.66573 0.430943 36 12.5796
2.68418 0.339099 48 9.89861
2.7025 0.333663 120 9.73993
2.7207 0.283362 56 8.27159
2.73878 0.297476 24 8.68359
2.75674 0.230632 96 6.73236
2.77458 0.354839 48 10.3581
2.80993 0.32752 24 9.56062
2.82743 0.312325 102 9.11706
2.84483 0.31288 48 9.13325
2.86213 0.271044 72 7.91203
2.87932 0.285898 48 8.34565
2.89641 0.237135 48 6.92219
2.91339 0.318908 120 9.30924
2.94708 0.204841 24 5.97951
2.96377 0.28311 144 8.26425
2.98038 0.311622 120 9.09655
2.99689 0.257787 48 7.52504
3.02964 0.265376 48 7.74659
3.04589 0.250296 96 7.30637
3.07812 0.212652 24 6.20752
3.09411 0.279029 48 8.14512
3.11002 0.267348 108 7.80414
3.12585 0.209892 72 6.12695
3.14159 0.213238 30 6.22463
3.15726 0.28688 168 8.37429
3.17285 0.379814 48 11.0871
3.20381 0.235262 72 6.86753
3.21917 0.212715 96 6.20936
3.23447 0.234351 72 6.84092
3.24969 0.248361 72 7.2499
3.26484 0.234361 32 6.84123
3.27992 0.188912 72 5.51452
3.29493 0.278806 144 8.13861
3.33956 0.246549 96 7.19699
3.3543 0.157333 96 4.59269
3.36898 0.182466 48 5.32636
3.3836 0.238361 72 6.95799
3.39815 0.252192 120 7.36171
3.41264 0.284661 72 8.30951
3.44144 0.195733 48 5.71363
3.45575 0.224425 78 6.55119
3.47 0.189619 120 5.53515
3.48419 0.219768 48 6.41524
3.51241 0.164137 144 4.79132
3.52643 0.193503 144 5.64853
3.55431 0.161945 12 4.72733
3.56816 0.234541 144 6.84648
3.58197 0.285392 48 8.33086
3.59572 0.174572 120 5.09591
3.60942 0.224814 48 6.56252
3.62306 0.200816 48 5.862
3.63666 0.201659 168 5.88661
3.6637 0.207509 48 6.05738
3.67714 0.186587 96 5.44666
3.69054 0.200948 96 5.86586
3.70388 0.15707 72 4.58503
3.71718 0.148144 48 4.32445
3.73043 0.209814 96 6.12467
3.74364 0.165176 48 4.82165
3.76991 0.182904 30 5.33914
3.78298 0.191499 96 5.59002
3.796 0.178382 192 5.20713
3.80898 0.201344 56 5.87742
3.82191 0.196754 24 5.74343
3.8348 0.171646 168 5.01049
3.84765 0.197546 120 5.76654
3.87322 0.231856 72 6.76808
3.88594 0.17327 144 5.05792
3.89861 0.171151 96 4.99605
3.91125 0.12695 96 3.70579
3.9364 0.181763 72 5.30584
3.94892 0.195257 96 5.69973
3.97384 0.168787 24 4.92704
3.98623 0.161054 192 4.70133
3.99859 0.148695 108 4.34056
4.01092 0.138969 24 4.05663
4.0232 0.161478 96 4.71369
4.03545 0.178021 96 5.1966
4.04766 0.192806 120 5.62818
4.07197 0.101871 48 2.97371
4.08407 0.163477 78 4.77205
4.09614 0.15115 144 4.41221
4.10817 0.146535 120 4.2775
4.12016 0.162849 24 4.7537
4.13212 0.167081 168 4.87724
4.14405 0.16245 144 4.74208
4.16779 0.133563 24 3.89884
4.17962 0.125502 48 3.66353
4.19141 0.150449 96 4.39174
4.20316 0.171015 120 4.99209
4.21489 0.161151 72 4.70414
4.22658 0.173673 120 5.06967
4.23824 0.15015 144 4.38303
4.26146 0.134235 48 3.91844
4.27303 0.148976 192 4.34876
4.28456 0.159814 144 4.66511
4.29606 0.118054 48 3.44611
4.31898 0.134742 192 3.93324
4.33039 0.15659 48 4.57102
4.35312 0.15568 8 4.54445
4.36444 0.147427 48 4.30353
4.37573 0.131007 240 3.82421
4.387 0.141363 96 4.12652
4.39823 0.138352 54 4.03862
4.40944 0.139645 120 4.07638
4.42061 0.132665 120 3.8726
4.44288 0.146999 84 4.29103
4.45398 0.135123 144 3.94438
4.46504 0.128795 72 3.75963
4.47608 0.164547 96 4.80328
4.48709 0.150778 48 4.40135
4.49808 0.157744 96 4.60468
4.50903 0.131032 240 3.82495
4.53087 0.147786 24 4.31401
4.54175 0.152412 240 4.44905
4.5526 0.130773 96 3.8174
4.56883 0.10864 144 3.17132
4.585 0.141774 96 4.1385
4.59575 0.0959071 72 2.79962
4.61718 0.133186 96 3.88782
4.62785 0.134393 96 3.92307
4.63851 0.125853 120 3.67378
4.64913 0.0999229 96 2.91684
4.67484 0.141682 336 4.13583
4.70191 0.155248 48 4.53182
4.71239 0.134861 150 3.93673
4.72285 0.104884 96 3.06166
4.73329 0.0940694 120 2.74597
4.75112 0.137444 168 4.01211
4.76446 0.118082 240 3.44692
4.78513 0.167139 24 4.87894
4.79543 0.138023 144 4.02903
4.80571 0.10136 216 2.95879
4.82211 0.125371 120 3.65969
4.83642 0.131012 144 3.82436
4.84661 0.124594 96 3.63701
4.87706 0.116171 144 3.39114
4.88717 0.104844 132 3.06048
4.89726 0.113641 104 3.31727
4.90732 0.163354 72 4.76846
4.922 0.1204 312 3.51458
4.94739 0.146052 96 4.26339
4.95735 0.104757 144 3.05796
4.97264 0.117639 312 3.43398
4.99701 0.145251 48 4.24
5.00687 0.115239 192 3.36394
5.02655 0.0737569 6 2.15303
5.03636 0.134291 192 3.92007
5.05103 0.113809 192 3.32218
5.06567 0.09612 96 2.80583
5.0754 0.109255 216 3.18926
5.08511 0.117983 72 3.44405
5.10448 0.113078 96 3.30084
5.11414 0.133452 96 3.89558
5.12539 0.12286 288 3.58638
5.14301 0.109933 24 3.20905
5.1526 0.104153 264 3.04033
5.16216 0.118362 192 3.45509
5.18125 0.0897049 48 2.61857
5.19646 0.11326 240 3.30617
5.20974 0.0971392 120 2.83559
5.21921 0.0853413 96 2.49119
5.23525 0.0959448 240 2.80072
5.26471 0.0968424 288 2.82692
5.27563 0.113367 96 3.3093
5.28498 0.105891 72 3.09105
5.30362 0.10689 192 3.12021
5.31292 0.117507 144 3.43015
5.33146 0.0666026 36 1.94419
5.34719 0.106315 342 3.10342
5.35916 0.0743339 96 2.16988
5.37587 0.0963539 264 2.81266
5.38671 0.0907364 168 2.64868
5.405 0.104115 120 3.03921
5.41412 0.0807904 192 2.35835
5.42984 0.105535 264 3.08066
5.4414 0.0920964 56 2.68838
5.45589 0.0866275 240 2.52874
5.48556 0.0982195 216 2.86712
5.49554 0.0931541 240 2.71925
5.50963 0.0840838 168 2.45448
5.52599 0.0900883 240 2.62976
5.55508 0.117369 144 3.42612
5.56692 0.0984722 312 2.8745
5.57577 0.0830938 144 2.42559
5.59826 0.102341 264 2.98742
5.62783 0.0906299 264 2.64557
5.64176 0.0964687 192 2.81601
5.65487 0.0826704 102 2.41323
5.66891 0.0972346 432 2.83837
5.68967 0.0886344 48 2.58732
5.69833 0.0837739 288 2.44544
5.71069 0.079441 168 2.31896
5.72964 0.0789027 192 2.30324
5.74147 0.0759876 144 2.21815
5.75863 0.0785238 48 2.29218
5.77277 0.0852772 276 2.48932
5.78642 0.079868 192 2.33142
5.80132 0.0835757 336 2.43965
5.80982 0.100053 216 2.92064
5.83055 0.0758358 216 2.21372
5.84792 0.0800986 240 2.33815
5.87392 0.0856297 408 2.49961
5.89415 0.0808525 24 2.36016
5.90669 0.0824775 384 2.40759
5.92421 0.0835796 240 2.43977
5.93942 0.083476 168 2.43674
5.96499 0.0826209 246 2.41178
5.97997 0.0758527 320 2.21421
6.00063 0.0767234 288 2.23963
6.01022 0.0816712 144 2.38406
6.0348 0.0785853 288 2.29398
6.04764 0.0808128 336 2.359
6.0651 0.073796 168 2.15417
6.07555 0.0951251 336 2.77679
6.09177 0.0757662 96 2.21169
6.10391 0.0691582 384 2.01879
6.11603 0.0814091 72 2.37641
6.13444 0.0819828 336 2.39315
6.15624 0.0531276 24 1.55085
6.16996 0.077428 336 2.2602
6.18252 0.0622618 168 1.81748
6.19954 0.0867811 456 2.53322
6.22004 0.0729048 108 2.12816
6.23156 0.0754363 264 2.20206
6.24595 0.0669574 264 1.95455
6.26564 0.0726506 312 2.12074
6.28319 0.0723961 30 2.11331
6.29452 0.0831237 432 2.42646
6.31756 0.0776366 432 2.26628
6.33013 0.0790693 192 2.30811
6.35192 0.0703751 240 2.05432
6.36456 0.0789064 336 2.30335
6.38447 0.0747103 240 2.18086
6.3922 0.0757919 240 2.21244
6.41275 0.082527 216 2.40904
6.42832 0.0598665 312 1.74756
6.44655 0.0878669 336 2.56492
6.46894 0.0810133 72 2.36485
6.48007 0.0734361 624 2.14367
6.49634 0.0942919 120 2.75247
6.51021 0.0754289 336 2.20184
6.52968 0.0507125 32 1.48035
6.54409 0.0700512 528 2.04486
6.56562 0.0690005 312 2.01419
6.57487 0.0574536 96 1.67712
6.59474 0.0660543 414 1.92819
6.60897 0.082139 216 2.39771
6.63315 0.0598532 480 1.74717
6.6632 0.0643828 636 1.8794
6.68355 0.069053 240 2.01572
6.69388 0.0702618 168 2.05101
6.7191 0.0683359 504 1.99479
6.7321 0.0577761 240 1.68654
6.74682 0.0619845 456 1.80939
6.7725 0.0620743 264 1.81201
6.78639 0.060141 264 1.75557
6.80514 0.0656652 552 1.91683
6.82529 0.0603947 72 1.76298
6.83702 0.0668778 384 1.95223
6.8562 0.0649203 336 1.89509
6.86853 0.0580105 96 1.69338
6.89291 0.0588148 480 1.71686
6.90756 0.0589984 174 1.72222
6.92267 0.0628141 552 1.8336
6.94474 0.0654715 360 1.91117
6.95933 0.0643599 432 1.87873
6.98042 0.0696425 480 2.03293
7.00371 0.0666305 288 1.94501
7.01377 0.0590429 168 1.72352
7.03217 0.0641994 504 1.87404
7.05566 0.0551223 240 1.60907
7.06849 0.0613452 440 1.79072
7.09018 0.0691382 552 2.01821
7.10861 0.0486619 12 1.42049
7.12185 0.0591442 528 1.72647
7.14393 0.0631954 480 1.84473
7.16393 0.052047 48 1.5193
7.17479 0.0534048 624 1.55894
7.19862 0.0630679 504 1.84101
7.22401 0.0560122 198 1.63505
7.23516 0.0622788 552 1.81798
7.25595 0.0667693 432 1.94906
7.27644 0.0618806 312 1.80635
7.29122 0.0618659 336 1.80592
7.31192 0.055036 408 1.60655
7.33337 0.0589065 432 1.71954
7.34474 0.0600357 456 1.7525
7.36312 0.0590396 528 1.72342
7.39021 0.0521997 456 1.52376
7.40396 0.0626014 168 1.82739
7.41823 0.054766 504 1.59867
7.44195 0.0586044 336 1.71072
7.45982 0.0518813 456 1.51446
7.47564 0.0601954 408 1.75716
7.49795 0.0607176 696 1.7724
7.52344 0.0597068 384 1.7429
