# in Mpc/h Units 
# D1 = 0.321902 
# k P N P(z=0)
0.314159 93.4901 6 902.231
0.444288 51.1947 12 494.057
0.54414 34.0702 8 328.796
0.628319 24.9943 6 241.208
0.702481 16.6323 24 160.511
0.76953 16.2248 24 156.578
0.888577 9.85412 12 95.0977
0.942478 12.9292 30 124.774
0.993459 7.55276 24 72.8883
1.04195 9.24466 24 89.216
1.08828 8.17899 8 78.9317
1.13272 7.63128 24 73.646
1.17548 7.98098 48 77.0208
1.25664 5.0335 6 48.5761
1.29531 6.14451 48 59.2979
1.33286 4.65513 36 44.9245
1.36939 4.35661 24 42.0437
1.40496 5.85963 24 56.5486
1.43966 3.73103 48 36.0065
1.47354 6.23105 24 60.133
1.53906 4.33291 24 41.815
1.5708 5.38489 30 51.9671
1.6019 3.99747 72 38.5778
1.63242 3.65576 32 35.2801
1.6918 2.69827 72 26.0397
1.72072 5.45366 48 52.6308
1.77715 5.09345 12 49.1545
1.80471 3.2189 48 31.0642
1.83185 2.95597 48 28.5267
1.85859 3.24228 48 31.2898
1.88496 1.66859 30 16.1028
1.91096 1.3694 24 13.2155
1.93661 3.04258 72 29.3626
1.98692 3.20902 24 30.9687
2.0116 3.09892 96 29.9062
2.03598 2.91229 48 28.1052
2.06008 2.94085 24 28.3808
2.0839 1.9095 24 18.4277
2.10744 2.78368 72 26.864
2.13073 2.71972 48 26.2468
2.17656 2.76384 8 26.6726
2.19911 2.67187 54 25.785
2.22144 2.61724 84 25.2577
2.24355 1.87313 48 18.0767
2.26543 2.72356 24 26.2839
2.28711 2.14655 72 20.7153
2.30859 2.44131 96 23.56
2.35095 1.76393 48 17.0229
2.37185 2.71296 48 26.1815
2.39257 2.6164 24 25.2497
2.4131 1.93951 72 18.7173
2.45366 1.47448 72 14.2295
2.47369 1.71904 96 16.5897
2.51327 1.16266 6 11.2203
2.53283 1.84408 96 17.7963
2.55224 2.05318 96 19.8144
2.5715 1.07673 24 10.391
2.59062 2.04973 48 19.781
2.6096 1.952 96 18.8378
2.62844 1.86041 48 17.954
2.66573 1.82191 36 17.5824
2.68418 1.90273 48 18.3624
2.7025 1.70089 120 16.4145
2.7207 1.68338 56 16.2456
2.73878 3.09399 24 29.8587
2.75674 1.91156 96 18.4476
2.77458 1.83489 48 17.7077
2.80993 2.60084 24 25.0995
2.82743 1.68544 102 16.2654
2.84483 1.54156 48 14.8769
2.86213 1.58098 72 15.2573
2.87932 1.73339 48 16.7281
2.89641 1.36028 48 13.1274
2.91339 1.64823 120 15.9063
2.94708 1.71771 24 16.5768
2.96377 1.70593 144 16.4631
2.98038 1.71957 120 16.5948
2.99689 1.23956 48 11.9624
3.02964 1.72317 48 16.6296
3.04589 1.57631 96 15.2123
