# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
0.314159 164.43 6 909.476
0.444288 92.3965 12 511.053
0.54414 61.7164 8 341.358
0.628319 50.4827 6 279.224
0.702481 32.1771 24 177.974
0.76953 30.8073 24 170.398
0.888577 16.5268 12 91.4113
0.942478 25.8803 30 143.146
0.993459 15.4666 24 85.5468
1.04195 20.41 24 112.889
1.08828 15.5635 8 86.0829
1.13272 17.5428 24 97.0304
1.17548 18.0454 48 99.8107
1.25664 13.3526 6 73.8541
1.29531 13.4026 48 74.1311
1.33286 10.1892 36 56.3573
1.36939 8.56867 24 47.394
1.40496 12.3984 24 68.5768
1.43966 9.45575 48 52.3006
1.47354 16.8414 24 93.151
1.53906 9.5916 24 53.0519
1.5708 13.9601 30 77.2144
1.6019 8.15609 72 45.112
1.63242 8.40827 32 46.5068
1.6918 7.00386 72 38.7389
1.72072 9.82295 48 54.3315
1.77715 10.0909 12 55.8138
1.80471 5.58641 48 30.8989
1.83185 7.72688 48 42.738
1.85859 7.66192 48 42.3787
1.88496 4.5844 30 25.3567
1.91096 4.2514 24 23.5148
1.93661 6.56846 72 36.3307
1.98692 7.2429 24 40.0611
2.0116 7.08002 96 39.1602
2.03598 7.67423 48 42.4468
2.06008 7.08984 24 39.2145
2.0839 5.74026 24 31.7498
2.10744 5.47707 72 30.2941
2.13073 6.46376 48 35.7516
2.17656 7.7548 8 42.8924
2.19911 6.52748 54 36.104
2.22144 7.39392 84 40.8964
2.24355 4.75231 48 26.2854
2.26543 7.49316 24 41.4453
2.28711 5.5419 72 30.6527
2.30859 4.35459 96 24.0856
2.35095 4.76795 48 26.3719
2.37185 5.85389 48 32.3784
2.39257 8.7732 24 48.5253
2.4131 6.57528 72 36.3684
2.45366 4.89468 72 27.0729
2.47369 4.88139 96 26.9994
2.51327 2.98836 6 16.5289
2.53283 4.27833 96 23.6638
2.55224 5.27452 96 29.1738
2.5715 4.08209 24 22.5784
2.59062 4.99314 48 27.6175
2.6096 5.59453 96 30.9438
2.62844 3.96405 48 21.9255
2.66573 4.28601 36 23.7063
2.68418 5.05787 48 27.9755
2.7025 3.83472 120 21.2102
2.7207 4.28349 56 23.6923
2.73878 7.19899 24 39.8182
2.75674 4.56597 96 25.2548
2.77458 3.9935 48 22.0884
2.80993 5.29573 24 29.2911
2.82743 4.75872 102 26.3209
2.84483 2.81212 48 15.5541
2.86213 4.30306 72 23.8006
2.87932 3.52303 48 19.4862
2.89641 3.58124 48 19.8081
2.91339 4.08244 120 22.5803
2.94708 4.77104 24 26.389
2.96377 4.81643 144 26.6401
2.98038 3.72675 120 20.613
2.99689 2.42383 48 13.4064
3.02964 4.39069 48 24.2853
3.04589 4.22041 96 23.3434
3.07812 2.8941 24 16.0075
3.09411 4.51287 48 24.9611
3.11002 3.86982 108 21.4043
3.12585 3.22808 72 17.8548
3.14159 4.19429 30 23.199
3.15726 3.58982 168 19.8556
3.17285 3.55948 48 19.6878
3.20381 3.62421 72 20.0458
3.21917 3.74373 96 20.7069
3.23447 4.20483 72 23.2573
3.24969 3.3116 72 18.3167
3.26484 3.00997 32 16.6484
3.27992 3.38844 72 18.7417
3.29493 4.1586 144 23.0016
3.33956 3.06862 96 16.9728
3.3543 4.32166 96 23.9034
3.36898 4.7909 48 26.4989
3.3836 2.87538 72 15.904
3.39815 3.92975 120 21.7358
3.41264 2.80837 72 15.5333
3.44144 4.20261 48 23.245
3.45575 3.30278 78 18.268
3.47 2.68028 120 14.8248
3.48419 3.18039 48 17.591
3.51241 3.27284 144 18.1023
3.52643 3.52687 144 19.5074
3.55431 2.43464 12 13.4662
3.56816 2.90889 144 16.0893
3.58197 3.47209 48 19.2044
3.59963 3.53424 168 19.5482
3.62306 2.58039 48 14.2724
3.63666 3.72442 168 20.6001
3.67266 3.62779 144 20.0656
3.69054 3.0638 96 16.9461
3.70388 2.961 72 16.3775
3.71718 3.05341 48 16.8886
3.73484 3.48425 144 19.2717
3.76991 2.23257 30 12.3485
3.79166 2.95721 288 16.3566
3.80898 3.76414 56 20.8198
3.83319 2.74481 192 15.1818
3.84765 2.67513 120 14.7964
3.8817 2.75794 216 15.2544
3.89861 2.85567 96 15.795
3.91125 2.49363 96 13.7925
3.9364 3.2575 72 18.0175
3.94892 2.77797 96 15.3652
3.97384 3.53342 24 19.5437
3.99068 2.8584 300 15.8101
4.01092 3.13358 24 17.3321
4.02933 2.71504 192 15.0171
4.04766 2.7378 120 15.143
4.07197 3.34007 48 18.4742
4.0919 3.01889 222 16.6977
4.10817 3.17607 120 17.5671
4.13063 2.84396 192 15.7302
4.14405 3.11833 144 17.2477
4.16779 2.14312 24 11.8538
4.18748 2.65522 144 14.6863
4.20316 3.05581 120 16.9019
4.2222 2.94123 192 16.2682
4.23824 2.42146 144 13.3933
4.26146 2.70945 48 14.9862
4.27797 2.42711 336 13.4246
4.29606 3.29773 48 18.24
4.32126 2.48332 240 13.7355
4.35312 2.51988 8 13.9377
4.36444 2.47182 48 13.6718
4.37895 2.99478 336 16.5644
4.40596 2.40637 174 13.3098
4.42061 1.97741 120 10.9372
4.44989 2.36001 228 13.0534
4.47135 2.0913 168 11.5672
4.49441 2.43646 144 13.4763
4.50903 2.40779 240 13.3177
4.53087 1.82703 24 10.1055
4.54485 2.68555 336 14.854
4.56883 3.08453 144 17.0608
4.58961 2.57342 168 14.2338
4.61718 2.20326 96 12.1864
4.63377 2.43327 216 13.4586
4.66325 2.22696 288 12.3175
4.68087 2.26248 144 12.514
4.70985 2.42945 198 13.4375
4.72865 3.03435 216 16.7833
4.75112 2.74121 168 15.1619
4.76446 2.57132 240 14.2222
4.79396 2.17825 168 12.0481
4.81157 2.16703 336 11.986
4.8405 2.10625 240 11.6498
4.8819 2.49292 276 13.7886
4.90919 2.78312 344 15.3937
4.9274 2.73099 144 15.1053
4.95336 2.2827 240 12.6258
4.97264 2.53793 312 14.0375
5.0049 2.57304 240 14.2317
5.02655 0.934047 6 5.16629
5.04369 2.45401 384 13.5733
5.0724 2.68574 312 14.8551
5.09618 2.09557 168 11.5908
5.12103 2.22425 336 12.3025
5.14917 2.35882 336 13.0468
5.16216 1.972 192 10.9073
5.19393 2.35083 288 13.0026
5.21395 2.28245 216 12.6244
5.23525 2.68788 240 14.8669
5.26744 2.11091 384 11.6756
5.28498 2.28319 72 12.6285
5.3076 2.03158 336 11.2368
5.34569 2.22682 378 12.3167
5.36222 2.12347 144 11.7451
5.38155 2.38686 384 13.2019
5.41298 2.27139 384 12.5632
5.43886 2.16742 344 11.9882
5.45951 2.07414 144 11.4722
5.49081 1.98055 456 10.9546
5.51553 1.98886 312 11.0005
5.53728 2.09608 144 11.5936
5.56768 2.21029 552 12.2253
5.59826 1.73381 264 9.58986
5.62783 1.99032 264 11.0086
5.64631 1.96188 294 10.8513
5.66891 1.96237 432 10.854
5.69929 2.09231 432 11.5728
5.72582 2.0761 264 11.4831
5.74576 1.88628 192 10.4332
5.77837 1.91776 468 10.6073
5.80465 2.10295 552 11.6316
5.83524 1.93062 336 10.6784
5.86196 1.80686 288 9.9939
5.88885 2.00408 456 11.0847
5.91828 1.86393 432 10.3095
5.93942 1.64694 168 9.10937
5.97346 1.87122 566 10.3499
6.00383 1.89966 432 10.5072
6.03753 1.80792 432 9.99975
6.05765 1.98503 360 10.9794
6.08553 1.98394 624 10.9734
6.11016 1.77507 264 9.81806
6.1359 1.93489 360 10.702
6.17267 1.75003 456 9.67959
6.19846 1.82922 504 10.1176
6.23352 1.75753 564 9.72104
6.26302 1.81604 384 10.0447
6.29378 1.73886 462 9.61776
6.32143 1.97612 624 10.9301
6.35606 1.48655 432 8.2222
6.38387 1.87488 624 10.3701
6.4159 1.85622 312 10.2669
6.44034 1.86617 552 10.3219
6.47521 1.83069 408 10.1257
6.4939 1.82866 600 10.1145
6.53503 1.65557 608 9.15709
6.56485 1.72095 504 9.5187
6.59664 1.512 510 8.363
6.62898 1.62735 600 9.00099
6.66071 1.70436 492 9.42696
6.68361 1.58977 552 8.79316
6.72229 1.53955 696 8.51539
6.74598 1.49736 504 8.28202
6.77945 1.74439 528 9.64835
6.80746 1.68817 624 9.33742
6.83939 1.55951 504 8.6258
6.87445 1.63941 552 9.06773
6.90783 1.43791 654 7.95318
6.93959 1.45677 840 8.05752
6.97409 1.59364 744 8.81458
7.00741 1.36083 456 7.52686
7.03677 1.65614 648 9.16025
7.0753 1.50012 896 8.2973
7.10524 1.40016 396 7.74443
7.13632 1.4372 816 7.9493
7.17401 1.39752 672 7.72982
7.20038 1.29576 552 7.16698
7.23702 1.506 894 8.32982
7.27234 1.36501 672 7.54996
7.30559 1.44941 624 8.01679
7.33921 1.33661 888 7.39291
7.3688 1.57255 720 8.69789
7.40895 1.46397 936 8.09734
7.44885 1.43231 648 7.92222
7.48186 1.24327 936 6.87665
7.51427 1.39842 696 7.73481
7.55531 1.42063 618 7.85764
7.58487 1.30317 1008 7.20793
7.61849 1.26533 872 6.99866
7.65737 1.34552 960 7.44216
7.69668 1.41294 888 7.81508
7.72847 1.35192 648 7.47758
7.76442 1.36346 840 7.54143
7.79705 1.40499 912 7.77114
7.83408 1.36022 774 7.52348
7.87257 1.30788 1272 7.23398
7.91246 1.27112 912 7.03068
7.95094 1.31542 864 7.27568
7.98724 1.33987 924 7.41093
8.02142 1.31272 1080 7.26079
8.06273 1.25687 1008 6.95187
8.09946 1.25437 1128 6.93805
8.14393 1.19651 768 6.61799
8.17502 1.33212 1046 7.36804
8.2152 1.19893 1152 6.63141
8.25601 1.25163 1272 6.92285
8.29592 1.28104 912 7.08552
8.33191 1.18762 1200 6.56882
8.37325 1.29456 1080 7.16033
8.40498 1.3111 840 7.25181
8.45084 1.18426 1332 6.55025
8.48913 1.13402 1062 6.27239
8.52681 1.20359 1320 6.65716
8.571 1.25239 1248 6.9271
8.60833 1.16044 1104 6.41852
8.65005 1.19386 1392 6.60331
8.68693 1.13963 776 6.30339
8.73005 1.16018 1728 6.41708
8.77244 1.13767 1224 6.29253
8.81651 1.1358 1254 6.28221
8.85893 1.12345 1368 6.21387
8.89912 1.16213 1236 6.42782
8.93741 1.1703 1608 6.47305
8.98308 1.13928 1008 6.30147
9.01647 1.08973 1488 6.02741
9.0649 1.0569 1440 5.84581
9.10803 1.02663 1158 5.6784
9.14809 1.07737 1824 5.95905
9.19097 1.02422 1464 5.66502
9.23816 1.08742 1448 6.01463
9.27848 1.02876 1560 5.69013
9.32418 1.04355 1428 5.77195
9.36737 1.03041 1680 5.69929
9.41383 1.01367 1494 5.60669
9.45819 0.951519 1944 5.26293
9.50417 0.984027 1368 5.44274
9.54561 0.996362 1584 5.51096
9.58954 0.967978 1776 5.35396
9.63134 0.909647 1440 5.03133
9.67749 0.975477 1968 5.39544
9.72378 0.965416 1374 5.3398
9.76914 0.946308 2100 5.23411
9.81572 0.943902 1640 5.2208
9.86551 0.916918 2496 5.07155
9.9123 0.901447 1248 4.98598
9.94845 0.872308 1512 4.82481
10.0002 0.873 2280 4.82863
10.0491 0.919583 1926 5.08629
10.0953 0.897569 2064 4.96453
10.1462 0.908372 1920 5.02428
10.1883 0.92704 1944 5.12754
10.2408 0.892485 2172 4.93641
10.2901 0.892771 2256 4.93799
10.3372 0.879823 1736 4.86637
10.3847 0.909228 2094 5.02902
10.433 0.819979 2328 4.53537
10.4818 0.846616 2256 4.68271
10.5302 0.849685 1920 4.69968
10.5776 0.856917 2520 4.73968
10.6299 0.814418 2088 4.50462
10.6858 0.844144 2634 4.66903
10.7342 0.84636 2328 4.68129
10.7818 0.774663 2304 4.28472
10.835 0.819651 2568 4.53356
10.8856 0.853646 2024 4.72159
10.928 0.827048 2352 4.57447
10.982 0.78356 2718 4.33393
11.0344 0.762773 2520 4.21896
11.0896 0.768773 2772 4.25215
11.1403 0.724717 2640 4.00847
11.1945 0.733158 2880 4.05516
11.2496 0.751039 2448 4.15406
11.2983 0.760437 2478 4.20604
11.3489 0.696584 2904 3.85286
11.4036 0.725538 2816 4.01301
11.4546 0.697612 3024 3.85855
11.5153 0.700362 2952 3.87376
11.5679 0.694297 2796 3.84022
11.6203 0.670933 2982 3.71098
11.6775 0.700624 3312 3.87521
11.7301 0.673713 2688 3.72636
11.7844 0.690279 3144 3.81799
11.8428 0.652789 3672 3.61063
11.8939 0.661873 2328 3.66087
11.9543 0.660791 4046 3.65489
12.0117 0.683544 2844 3.78074
12.0645 0.640903 3600 3.54489
12.1216 0.673098 3264 3.72296
12.1786 0.640346 3288 3.54181
12.2342 0.629688 3198 3.48286
12.2899 0.607769 3864 3.36162
12.3488 0.621692 3456 3.43863
12.4064 0.627267 3744 3.46946
12.468 0.621547 3876 3.43783
12.5262 0.611068 3392 3.37987
12.5835 0.596814 3918 3.30103
12.6436 0.583234 3864 3.22592
12.7041 0.579644 4104 3.20606
12.76 0.593195 3480 3.28101
12.8193 0.57401 4080 3.1749
12.8832 0.600022 4170 3.31877
12.9428 0.587455 4176 3.24926
13.004 0.569065 4560 3.14755
13.0668 0.571259 3656 3.15968
13.1234 0.556595 4344 3.07857
13.1905 0.559984 4830 3.09732
13.2535 0.554644 4416 3.06778
13.3128 0.559007 3876 3.09191
13.3711 0.547402 4752 3.02773
13.438 0.554297 4968 3.06587
13.505 0.534836 4494 2.95823
13.562 0.542862 4200 3.00261
13.6284 0.52191 5792 2.88673
13.6925 0.529823 4224 2.93049
13.7578 0.50288 5220 2.78147
13.8214 0.515677 4590 2.85225
13.8828 0.522789 5328 2.89159
13.951 0.517057 5304 2.85989
14.0176 0.516875 5040 2.85888
14.0783 0.515248 4920 2.84988
14.1459 0.476073 5750 2.6332
14.2151 0.4856 5388 2.6859
14.2795 0.491808 5784 2.72023
14.3486 0.475561 5400 2.63037
14.4152 0.47709 5640 2.63882
14.4848 0.456454 5934 2.52468
14.5518 0.460436 6120 2.54671
14.6213 0.45452 5544 2.51399
14.6889 0.458476 6164 2.53587
14.7577 0.449174 5838 2.48442
14.823 0.445195 6144 2.46241
14.8954 0.434533 6288 2.40344
14.9629 0.448375 6576 2.48
15.0374 0.43249 6504 2.39214
15.1094 0.43364 6594 2.3985
15.1805 0.413774 7008 2.28862
15.2501 0.419862 6200 2.32229
15.3206 0.414666 6768 2.29355
15.3938 0.420778 7182 2.32736
15.4649 0.40229 6864 2.2251
15.5381 0.415862 7308 2.30017
15.6102 0.405493 6744 2.24282
15.6826 0.410579 7686 2.27094
15.7587 0.388046 7280 2.14632
15.831 0.401755 7920 2.22214
15.9075 0.380347 7560 2.10373
15.9799 0.396227 6948 2.19157
16.0529 0.388662 8430 2.14972
16.1323 0.372464 8328 2.06013
16.2083 0.381559 7824 2.11043
16.284 0.383646 8160 2.12198
16.3583 0.365658 8030 2.02249
16.4387 0.360272 9372 1.99269
16.5156 0.362444 7968 2.00471
16.5913 0.363016 8568 2.00787
16.6713 0.366221 8934 2.0256
16.7473 0.352662 8952 1.9506
16.8262 0.348776 8880 1.92911
16.9073 0.349287 9548 1.93194
16.987 0.351483 9126 1.94408
17.0656 0.347498 9384 1.92204
17.1437 0.33542 9288 1.85524
17.2234 0.321334 9792 1.77732
17.3058 0.328807 9570 1.81866
17.3855 0.331523 10376 1.83368
17.4681 0.319516 10152 1.76727
17.5516 0.318407 9960 1.76114
17.6323 0.310667 10782 1.71833
17.7188 0.317525 10992 1.75626
17.8032 0.311882 10452 1.72504
17.8848 0.307512 10806 1.70087
17.9713 0.30103 11312 1.66502
18.0539 0.29884 11112 1.65291
18.1377 0.298641 10848 1.65181
18.2224 0.297001 11394 1.64274
18.3067 0.290668 11952 1.60771
18.3923 0.293092 11352 1.62112
18.4801 0.29288 12584 1.61994
18.5699 0.289653 12390 1.6021
18.6572 0.281217 12252 1.55543
18.7424 0.270245 12240 1.49475
18.8315 0.279763 12486 1.54739
18.9182 0.276723 13080 1.53058
19.007 0.27069 12968 1.49721
19.0958 0.27224 12612 1.50578
19.1845 0.262997 13974 1.45466
19.2771 0.265514 13944 1.46858
19.3664 0.253629 12840 1.40284
19.455 0.259878 14358 1.43741
19.5497 0.254493 14588 1.40762
19.6422 0.25534 14688 1.41231
19.733 0.251516 13560 1.39116
19.8252 0.248846 15582 1.37639
19.9184 0.244414 14544 1.35187
20.0117 0.24461 15420 1.35296
20.1076 0.244893 15614 1.35452
20.1995 0.238882 14880 1.32127
20.2937 0.241691 16728 1.33681
20.3922 0.23149 15690 1.28039
20.4858 0.231782 16248 1.28201
20.5801 0.23101 16584 1.27773
20.6798 0.227209 16904 1.25671
20.7774 0.228842 17430 1.26575
20.875 0.229806 16908 1.27107
20.9715 0.222646 17640 1.23147
21.072 0.226828 17550 1.25461
21.17 0.222947 18696 1.23314
21.2704 0.219893 17792 1.21625
21.3695 0.212027 18138 1.17274
21.4685 0.218588 19392 1.20903
21.5707 0.212044 18768 1.17283
21.671 0.211877 19038 1.17191
21.7719 0.209922 19460 1.1611
21.8722 0.205768 19992 1.13812
21.98 0.20287 21174 1.12209
22.0835 0.202533 20040 1.12023
22.1864 0.201059 20628 1.11207
22.2901 0.200992 20798 1.11171
22.3939 0.199231 21480 1.10196
22.4995 0.199505 21792 1.10348
22.6057 0.192605 21414 1.06532
22.7118 0.192086 23100 1.06244
22.8187 0.18991 21992 1.05041
22.9267 0.190744 23406 1.05502
23.0333 0.188616 22536 1.04325
23.142 0.191069 24348 1.05682
23.2521 0.187647 23598 1.03789
23.3607 0.188077 24224 1.04027
23.4703 0.182655 24648 1.01028
23.5813 0.180296 24618 0.997232
23.6872 0.18076 24192 0.999797
23.7989 0.179039 26208 0.99028
23.9113 0.176519 25790 0.976343
24.0243 0.172904 26916 0.956349
24.1376 0.175052 26214 0.968227
24.251 0.16959 27528 0.938016
24.3653 0.169973 27720 0.940133
24.4805 0.168559 27122 0.932314
24.5934 0.166339 28632 0.920034
24.7099 0.164866 28680 0.911888
24.8261 0.166302 28722 0.919828
24.9416 0.161288 30000 0.892099
25.0602 0.162119 29408 0.896696
25.1775 0.161157 30678 0.891372
25.2958 0.157772 30660 0.87265
25.4157 0.155749 31494 0.861463
25.5352 0.15551 31448 0.860139
25.6542 0.153209 32160 0.847412
25.7771 0.15216 33090 0.841609
25.8975 0.150035 32664 0.829858
26.0182 0.151618 32718 0.838613
26.1396 0.148853 34472 0.823317
26.263 0.147861 34260 0.81783
26.3857 0.145921 34302 0.807101
26.5078 0.144223 35472 0.797711
26.6335 0.142746 36020 0.789539
26.7594 0.140608 36942 0.777715
26.885 0.14084 36360 0.779
27.0121 0.137859 38166 0.762508
27.1378 0.137758 36804 0.761952
27.2642 0.137342 38864 0.759649
27.3935 0.135978 39366 0.752104
27.5233 0.13533 40068 0.74852
27.6514 0.133129 38910 0.736348
27.7803 0.132659 41360 0.733749
27.9112 0.131305 40782 0.726259
28.0415 0.13115 42204 0.725401
28.1725 0.12982 41544 0.718043
28.3057 0.128177 44510 0.708957
28.4397 0.126829 42948 0.701501
28.5725 0.126057 44478 0.697234
28.7083 0.124747 46032 0.689985
28.8439 0.124267 44402 0.687331
28.977 0.124544 46320 0.688862
29.1132 0.122684 46848 0.678575
29.2508 0.12239 47814 0.676947
29.3881 0.118595 48260 0.655956
29.5284 0.119069 49758 0.658578
29.6664 0.118478 49032 0.655313
29.8052 0.117024 49770 0.647267
29.9443 0.11705 51056 0.647412
30.0844 0.115105 51504 0.636656
30.2265 0.114145 52866 0.631347
30.3681 0.11239 52848 0.621639
30.5114 0.111676 54542 0.617691
30.6547 0.110657 54276 0.612051
30.7979 0.1103 55062 0.610081
30.9419 0.108547 56568 0.600384
31.0885 0.107504 57266 0.594615
31.2344 0.107029 58056 0.591987
31.3808 0.105145 57750 0.581566
31.5277 0.10494 60380 0.580431
31.6771 0.104447 60390 0.577704
31.826 0.102295 61608 0.565803
31.9756 0.10163 61362 0.562123
32.1255 0.10181 63752 0.563121
32.277 0.0999712 63528 0.552949
32.4277 0.101072 64050 0.559038
32.5774 0.0997818 64784 0.551902
32.7324 0.0989857 68814 0.547498
32.8871 0.0972819 66156 0.538074
33.0405 0.0968212 68718 0.535526
33.1949 0.0961253 69104 0.531677
33.3524 0.095481 71682 0.528113
33.5091 0.0939303 70512 0.519536
33.6653 0.0929737 72278 0.514245
