# in Mpc/h Units 
# D1 = 0.321902 
# k P N P(z=0)
0.314159 93.9362 6 906.535
0.444288 51.4577 12 496.595
0.54414 34.2473 8 330.506
0.628319 25.1439 6 242.652
0.702481 16.7252 24 161.407
0.76953 16.3145 24 157.444
0.888577 9.8987 12 95.5279
0.942478 13.0084 30 125.538
0.993459 7.59652 24 73.3105
1.04195 9.30455 24 89.794
1.08828 8.22257 8 79.3523
1.13272 7.68808 24 74.1942
1.17548 8.03724 48 77.5637
1.25664 5.06555 6 48.8853
1.29531 6.18629 48 59.7011
1.33286 4.68629 36 45.2252
1.36939 4.37836 24 42.2536
1.40496 5.89133 24 56.8546
1.43966 3.75647 48 36.252
1.47354 6.28475 24 60.6512
1.53906 4.36022 24 42.0785
1.5708 5.42922 30 52.3949
1.6019 4.02286 72 38.8228
1.63242 3.68243 32 35.5374
1.6918 2.71815 72 26.2316
1.72072 5.48633 48 52.946
1.77715 5.12714 12 49.4797
1.80471 3.23471 48 31.2168
1.83185 2.97714 48 28.731
1.85859 3.26593 48 31.518
1.88496 1.67994 30 16.2123
1.91096 1.37984 24 13.3162
1.93661 3.06325 72 29.562
1.98692 3.23715 24 31.2403
2.0116 3.12043 96 30.1138
2.03598 2.93545 48 28.3287
2.06008 2.96492 24 28.6131
2.0839 1.92859 24 18.6119
2.10744 2.80291 72 27.0496
2.13073 2.73992 48 26.4417
2.17656 2.79348 8 26.9586
2.19911 2.69683 54 26.0259
2.22144 2.64324 84 25.5087
2.24355 1.88803 48 18.2205
2.26543 2.74923 24 26.5316
2.28711 2.16337 72 20.8777
2.30859 2.45553 96 23.6972
2.35095 1.7789 48 17.1674
2.37185 2.73066 48 26.3523
2.39257 2.6437 24 25.5132
2.4131 1.96149 72 18.9294
2.45366 1.48557 72 14.3365
2.47369 1.73129 96 16.7079
2.51327 1.16906 6 11.2821
2.53283 1.85538 96 17.9054
2.55224 2.06803 96 19.9577
2.5715 1.08243 24 10.446
2.59062 2.06481 48 19.9266
2.6096 1.96946 96 19.0064
2.62844 1.87 48 18.0465
2.66573 1.83704 36 17.7285
2.68418 1.91393 48 18.4705
2.7025 1.71159 120 16.5178
2.7207 1.69859 56 16.3923
2.73878 3.12183 24 30.1273
2.75674 1.92864 96 18.6124
2.77458 1.85071 48 17.8604
2.80993 2.62136 24 25.2975
2.82743 1.70004 102 16.4063
2.84483 1.54901 48 14.9488
2.86213 1.59511 72 15.3937
2.87932 1.74521 48 16.8422
2.89641 1.37351 48 13.2551
2.91339 1.66163 120 16.0357
2.94708 1.73797 24 16.7724
2.96377 1.72325 144 16.6303
2.98038 1.73297 120 16.7241
2.99689 1.24731 48 12.0372
3.02964 1.73912 48 16.7835
3.04589 1.59133 96 15.3572
3.07812 1.23587 24 11.9269
3.09411 1.47822 48 14.2656
3.11002 1.72412 108 16.6387
3.12585 1.4657 72 14.1448
3.14159 1.24643 30 12.0287
3.15726 1.42997 168 13.8
3.17285 0.882981 48 8.52125
3.20381 1.32216 72 12.7595
3.21917 1.3499 96 13.0273
3.23447 1.77944 72 17.1726
3.24969 1.14098 72 11.011
3.26484 1.37513 32 13.2708
3.27992 1.37029 72 13.224
3.29493 1.33536 144 12.887
3.33956 1.38574 96 13.3732
3.3543 1.59835 96 15.4249
3.36898 1.25732 48 12.1338
3.3836 1.19517 72 11.534
3.39815 1.5569 120 15.0249
3.41264 1.28822 72 12.4321
3.44144 1.27893 48 12.3424
3.45575 1.23366 78 11.9055
3.47 1.13517 120 10.955
3.48419 1.19543 48 11.5365
3.51241 1.18453 144 11.4314
3.52643 1.20961 144 11.6734
3.55431 1.27149 12 12.2706
3.56816 1.09261 144 10.5443
3.58197 1.57574 48 15.2068
3.59963 1.34479 168 12.978
3.62306 1.01452 48 9.79069
3.63666 1.24908 168 12.0543
3.67266 1.47583 144 14.2426
3.69054 1.24509 96 12.0158
3.70388 1.51438 72 14.6146
3.71718 1.11995 48 10.8081
3.73484 0.982596 144 9.48258
3.76991 1.36411 30 13.1644
3.79166 1.12405 288 10.8477
3.80898 1.37458 56 13.2654
3.83319 1.03799 192 10.0172
3.84765 0.995485 120 9.60698
