# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
0.314159 60.2403 6 901.948
0.444288 32.3926 12 484.998
0.54414 21.4914 8 321.78
0.628319 15.1258 6 226.472
0.702481 10.3194 24 154.507
0.76953 9.98767 24 149.54
0.888577 6.55748 12 98.1818
0.942478 7.58625 30 113.585
0.993459 4.62895 24 69.3069
1.04195 5.35655 24 80.201
1.08828 5.11044 8 76.516
1.13272 4.06005 24 60.789
1.17548 4.39843 48 65.8555
1.25664 3.16516 6 47.3903
1.29531 3.45422 48 51.7183
1.33286 2.64848 36 39.6544
1.36939 2.80578 24 42.0095
1.40496 3.72157 24 55.7211
1.43966 2.21154 48 33.1123
1.47354 3.05952 24 45.8086
1.53906 2.57697 24 38.5837
1.5708 2.70812 30 40.5474
1.6019 2.25381 72 33.7451
1.63242 1.99643 32 29.8916
1.6918 1.51221 72 22.6416
1.72072 3.04578 48 45.603
1.77715 2.78355 12 41.6767
1.80471 1.97992 48 29.6443
1.83185 1.65125 48 24.7233
1.85859 1.72354 48 25.8056
1.88496 0.999584 30 14.9663
1.91096 0.83089 24 12.4405
1.93661 1.65151 72 24.7273
1.98692 1.48954 24 22.3022
2.0116 1.71121 96 25.621
2.03598 1.5204 48 22.7642
2.06008 1.4356 24 21.4944
2.0839 0.957683 24 14.3389
2.10744 1.4627 72 21.9002
2.13073 1.42845 48 21.3875
2.17656 1.0551 8 15.7975
2.19911 1.21244 54 18.1533
2.22144 1.16119 84 17.3859
2.24355 1.00169 48 14.9977
2.26543 1.2905 24 19.322
2.28711 1.15042 72 17.2247
2.30859 1.37081 96 20.5244
2.35095 0.861658 48 12.9012
2.37185 1.48938 48 22.2997
2.39257 1.24619 24 18.6586
2.4131 0.834877 72 12.5002
2.45366 0.904987 72 13.5499
2.47369 0.976955 96 14.6275
2.51327 0.75571 6 11.3149
2.53283 1.02792 96 15.3905
2.55224 1.12908 96 16.9051
2.5715 0.77402 24 11.589
2.59062 1.06804 48 15.9913
2.6096 0.985133 96 14.7499
2.62844 1.11731 48 16.7289
2.66573 0.925775 36 13.8612
2.68418 1.05291 48 15.7647
2.7025 0.928609 120 13.9036
2.7207 0.761436 56 11.4006
2.73878 1.28542 24 19.246
2.75674 0.81092 96 12.1415
2.77458 0.881198 48 13.1937
2.80993 1.19926 24 17.9559
2.82743 0.818168 102 12.25
2.84483 0.88319 48 13.2236
2.86213 0.746291 72 11.1738
2.87932 0.862291 48 12.9106
2.89641 0.611938 48 9.16223
2.91339 0.824568 120 12.3458
2.94708 0.654473 24 9.7991
2.96377 0.754853 144 11.302
2.98038 0.848204 120 12.6997
2.99689 0.691232 48 10.3495
3.02964 0.776974 48 11.6332
3.04589 0.731873 96 10.958
3.07812 0.689766 24 10.3275
3.09411 0.692208 48 10.3641
3.11002 0.834456 108 12.4939
3.12585 0.646891 72 9.68557
3.14159 0.555324 30 8.31458
3.15726 0.736885 168 11.033
3.17285 0.681845 48 10.2089
3.20381 0.64868 72 9.71236
3.21917 0.631776 96 9.45926
3.23447 0.794005 72 11.8882
3.24969 0.65564 72 9.81657
3.26484 0.658378 32 9.85756
3.27992 0.609877 72 9.13138
3.29493 0.625407 144 9.3639
3.33956 0.71695 96 10.7345
3.3543 0.615646 96 9.21776
3.36898 0.428876 48 6.42134
3.3836 0.711119 72 10.6472
3.39815 0.778469 120 11.6556
3.41264 0.639867 72 9.58041
3.44144 0.50998 48 7.63568
3.45575 0.548036 78 8.20547
3.47 0.534538 120 8.00337
3.48419 0.630152 48 9.43495
3.51241 0.496729 144 7.43727
3.52643 0.558779 144 8.36632
3.55431 0.527685 12 7.90076
3.56816 0.623843 144 9.34049
3.58197 0.816711 48 12.2282
3.59963 0.600865 168 8.99645
3.62306 0.554825 48 8.30711
3.63666 0.569896 168 8.53276
3.67266 0.589725 144 8.82965
3.69054 0.588407 96 8.80992
3.70388 0.608192 72 9.10615
3.71718 0.475268 48 7.11595
3.73484 0.467399 144 6.99812
3.76991 0.535676 30 8.02041
3.79166 0.477694 288 7.15227
3.80898 0.636253 56 9.52629
3.83319 0.469912 192 7.03575
3.84765 0.521807 120 7.81275
3.8817 0.507566 216 7.59953
3.89861 0.492579 96 7.37513
3.91125 0.439002 96 6.57295
3.9364 0.699029 72 10.4662
3.94892 0.598526 96 8.96143
3.97384 0.382351 24 5.72474
3.99068 0.45792 300 6.8562
4.01092 0.470785 24 7.04882
4.02933 0.599129 192 8.97046
4.04766 0.458603 120 6.86643
4.07197 0.444403 48 6.65382
4.0919 0.410067 222 6.13972
4.10817 0.411906 120 6.16726
4.13063 0.546182 192 8.17771
4.14405 0.438723 144 6.56877
4.16779 0.328812 24 4.92314
4.18748 0.447084 144 6.69396
4.20316 0.499683 120 7.48149
4.2222 0.486573 192 7.28521
4.23824 0.399458 144 5.98089
4.26146 0.443473 48 6.6399
4.27797 0.427291 336 6.39761
4.29606 0.409317 48 6.1285
4.32126 0.441976 240 6.61749
4.35312 0.346387 8 5.18628
4.36444 0.367771 48 5.50645
4.37895 0.408673 336 6.11885
4.40596 0.376264 174 5.63361
4.42061 0.514056 120 7.69671
4.44989 0.423942 228 6.34747
4.47135 0.43919 168 6.57577
4.49441 0.477782 144 7.15358
4.50903 0.411292 240 6.15806
4.53087 0.523036 24 7.83115
4.54485 0.443423 336 6.63915
4.56883 0.500565 144 7.49471
4.58961 0.394366 168 5.90464
4.61718 0.315137 96 4.71839
4.63377 0.381169 216 5.70705
4.66325 0.366015 288 5.48015
4.68087 0.451541 144 6.7607
4.70985 0.348443 198 5.21706
4.72865 0.364443 216 5.45663
4.75112 0.426916 168 6.392
