# in Mpc/h Units 
# D1 = 0.185087 
# k P N P(z=0)
0.314159 30.6311 6 894.15
0.444288 16.0845 12 469.522
0.54414 10.6118 8 309.769
0.628319 7.30298 6 213.181
0.702481 5.14959 24 150.321
0.76953 4.83591 24 141.165
0.888577 3.41207 12 99.6014
0.942478 3.44487 30 100.559
0.993459 2.30514 24 67.2893
1.04195 2.47519 24 72.253
1.08828 2.48856 8 72.6435
1.13272 1.70185 24 49.6787
1.17548 1.9004 48 55.4745
1.25664 1.72399 6 50.3248
1.29531 1.51555 48 44.2404
1.33286 1.20584 36 35.1995
1.36939 1.41314 24 41.2507
1.40496 1.82851 24 53.3759
1.43966 1.10818 48 32.3488
1.47354 1.20174 24 35.08
1.53906 1.23654 24 36.0956
1.5708 1.0609 30 30.9686
1.6019 0.952327 72 27.7993
1.63242 0.851293 32 24.85
1.6918 0.722824 72 21.0999
1.72072 1.15048 48 33.5837
1.77715 1.09339 12 31.917
1.80471 0.900379 48 26.2829
1.83185 0.720066 48 21.0194
1.85859 0.687219 48 20.0606
1.88496 0.484352 30 14.1387
1.91096 0.460098 24 13.4307
1.93661 0.627624 72 18.3209
1.98692 0.488776 24 14.2678
2.0116 0.711366 96 20.7654
2.03598 0.617138 48 18.0149
2.06008 0.526519 24 15.3696
2.0839 0.521832 24 15.2328
2.10744 0.548949 72 16.0243
2.13073 0.5676 48 16.5688
2.17656 0.237378 8 6.92928
2.19911 0.447296 54 13.057
2.22144 0.431873 84 12.6068
2.24355 0.466601 48 13.6205
2.26543 0.521343 24 15.2185
2.28711 0.490328 72 14.3131
2.30859 0.523566 96 15.2834
2.35095 0.335481 48 9.79299
2.37185 0.520948 48 15.207
2.39257 0.529527 24 15.4574
2.4131 0.339114 72 9.89904
2.45366 0.474571 72 13.8532
2.47369 0.39925 96 11.6545
2.51327 0.369034 6 10.7724
2.53283 0.364817 96 10.6493
2.55224 0.458579 96 13.3863
2.5715 0.38901 24 11.3556
2.59062 0.397708 48 11.6095
2.6096 0.407976 96 11.9092
2.62844 0.434568 48 12.6854
2.66573 0.433007 36 12.6399
2.68418 0.342082 48 9.9857
2.7025 0.336095 120 9.81093
2.7207 0.285007 56 8.31961
2.73878 0.300544 24 8.77315
2.75674 0.232424 96 6.78467
2.77458 0.356915 48 10.4187
2.80993 0.330576 24 9.64983
2.82743 0.314338 102 9.17582
2.84483 0.315289 48 9.20357
2.86213 0.272906 72 7.96639
2.87932 0.287982 48 8.40646
2.89641 0.238575 48 6.96422
2.91339 0.321084 120 9.37274
2.94708 0.206329 24 6.02294
2.96377 0.284944 144 8.31777
2.98038 0.313654 120 9.15584
2.99689 0.259704 48 7.58102
3.02964 0.267199 48 7.79979
3.04589 0.252235 96 7.36298
3.07812 0.214453 24 6.2601
3.09411 0.280832 48 8.19776
3.11002 0.269483 108 7.86646
