# in Mpc/h Units 
# D1 = 0.185087 
# k P N P(z=0)
0.314159 30.6319 6 894.174
0.444288 16.0853 12 469.546
0.54414 10.6122 8 309.78
0.628319 7.30312 6 213.185
0.702481 5.14984 24 150.329
0.76953 4.83623 24 141.174
0.888577 3.4123 12 99.6083
0.942478 3.44518 30 100.568
0.993459 2.30532 24 67.2945
1.04195 2.47537 24 72.2583
1.08828 2.48874 8 72.6486
1.13272 1.70196 24 49.6817
1.17548 1.90057 48 55.4795
1.25664 1.72413 6 50.329
1.29531 1.51565 48 44.2433
1.33286 1.20595 36 35.2028
1.36939 1.41332 24 41.2561
1.40496 1.82869 24 53.3812
1.43966 1.10829 48 32.3519
1.47354 1.20188 24 35.084
1.53906 1.23667 24 36.0997
1.5708 1.06102 30 30.9721
1.6019 0.952436 72 27.8025
1.63242 0.851358 32 24.8519
1.6918 0.722888 72 21.1018
1.72072 1.15059 48 33.5867
1.77715 1.09351 12 31.9207
1.80471 0.900503 48 26.2865
1.83185 0.720148 48 21.0218
1.85859 0.687313 48 20.0633
1.88496 0.484402 30 14.1401
1.91096 0.460123 24 13.4314
1.93661 0.627689 72 18.3228
1.98692 0.488804 24 14.2687
2.0116 0.711459 96 20.7682
2.03598 0.617219 48 18.0172
2.06008 0.526598 24 15.3719
2.0839 0.521903 24 15.2348
2.10744 0.549017 72 16.0263
2.13073 0.567667 48 16.5707
2.17656 0.237443 8 6.93117
2.19911 0.44734 54 13.0583
2.22144 0.431914 84 12.608
2.24355 0.466637 48 13.6216
2.26543 0.521401 24 15.2202
2.28711 0.490384 72 14.3148
2.30859 0.52363 96 15.2853
2.35095 0.335547 48 9.79494
2.37185 0.520996 48 15.2084
2.39257 0.52962 24 15.4601
2.4131 0.339151 72 9.90015
2.45366 0.474668 72 13.856
2.47369 0.399314 96 11.6563
2.51327 0.369013 6 10.7718
2.53283 0.364881 96 10.6512
2.55224 0.458639 96 13.3881
2.5715 0.389083 24 11.3577
2.59062 0.397751 48 11.6107
2.6096 0.408016 96 11.9104
2.62844 0.434658 48 12.6881
2.66573 0.433068 36 12.6417
2.68418 0.342137 48 9.98729
2.7025 0.336147 120 9.81243
2.7207 0.285064 56 8.32129
2.73878 0.300583 24 8.77429
2.75674 0.232456 96 6.78561
2.77458 0.356979 48 10.4206
2.80993 0.330629 24 9.65137
2.82743 0.314381 102 9.17706
2.84483 0.315313 48 9.2043
2.86213 0.272935 72 7.96724
2.87932 0.288032 48 8.40791
2.89641 0.238592 48 6.96472
2.91339 0.321137 120 9.37429
2.94708 0.206381 24 6.02447
2.96377 0.284996 144 8.31929
2.98038 0.313705 120 9.15733
2.99689 0.259729 48 7.58173
3.02964 0.267259 48 7.80153
3.04589 0.252277 96 7.36421
3.07812 0.214483 24 6.26097
3.09411 0.280896 48 8.19962
3.11002 0.269521 108 7.86757
3.12585 0.211391 72 6.17071
3.14159 0.214795 30 6.27007
3.15726 0.288892 168 8.43304
