# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
0.314159 60.241 6 901.958
0.444288 32.3938 12 485.016
0.54414 21.4919 8 321.787
0.628319 15.1261 6 226.475
0.702481 10.3197 24 154.512
0.76953 9.98814 24 149.547
0.888577 6.55778 12 98.1863
0.942478 7.58674 30 113.592
0.993459 4.62929 24 69.312
1.04195 5.35683 24 80.2051
1.08828 5.11058 8 76.5182
1.13272 4.06031 24 60.793
1.17548 4.39875 48 65.8602
1.25664 3.16523 6 47.3915
1.29531 3.45434 48 51.7201
1.33286 2.64861 36 39.6562
1.36939 2.80604 24 42.0133
1.40496 3.72179 24 55.7245
1.43966 2.21166 48 33.1141
1.47354 3.05982 24 45.8132
1.53906 2.57712 24 38.5859
1.5708 2.70833 30 40.5504
1.6019 2.254 72 33.748
1.63242 1.99652 32 29.8928
1.6918 1.51226 72 22.6424
1.72072 3.04597 48 45.6057
1.77715 2.78382 12 41.6807
1.80471 1.98012 48 29.6474
1.83185 1.65133 48 24.7245
1.85859 1.72373 48 25.8086
1.88496 0.999618 30 14.9668
1.91096 0.830828 24 12.4396
1.93661 1.65158 72 24.7283
1.98692 1.48963 24 22.3034
2.0116 1.71132 96 25.6227
2.03598 1.52048 48 22.7654
2.06008 1.43571 24 21.4961
2.0839 0.95783 24 14.3411
2.10744 1.46278 72 21.9015
2.13073 1.42853 48 21.3886
2.17656 1.05523 8 15.7995
2.19911 1.21245 54 18.1534
2.22144 1.16123 84 17.3865
2.24355 1.00173 48 14.9983
2.26543 1.29058 24 19.3233
2.28711 1.15043 72 17.2248
2.30859 1.37088 96 20.5255
2.35095 0.861745 48 12.9025
2.37185 1.4894 48 22.3
2.39257 1.24624 24 18.6593
2.4131 0.834886 72 12.5003
2.45366 0.905058 72 13.551
2.47369 0.976997 96 14.6281
2.51327 0.755728 6 11.3151
2.53283 1.02802 96 15.392
2.55224 1.12912 96 16.9057
2.5715 0.774005 24 11.5888
2.59062 1.06806 48 15.9915
2.6096 0.985146 96 14.7501
2.62844 1.11745 48 16.731
2.66573 0.925745 36 13.8607
2.68418 1.05296 48 15.7655
2.7025 0.928662 120 13.9044
2.7207 0.76153 56 11.402
2.73878 1.2854 24 19.2456
2.75674 0.810953 96 12.142
2.77458 0.881281 48 13.195
2.80993 1.19931 24 17.9566
2.82743 0.818155 102 12.2498
2.84483 0.883173 48 13.2233
2.86213 0.746288 72 11.1738
