# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
0.314159 41.7793 6 897.738
0.444288 22.1637 12 476.245
0.54414 14.6605 8 315.019
0.628319 10.1479 6 218.055
0.702481 7.05377 24 151.569
0.76953 6.72608 24 144.527
0.888577 4.62143 12 99.3035
0.942478 4.92324 30 105.789
0.993459 3.15683 24 67.8328
1.04195 3.50127 24 75.2339
1.08828 3.46177 8 74.3851
1.13272 2.49292 24 53.5669
1.17548 2.76205 48 59.3498
1.25664 2.28096 6 49.0124
1.29531 2.18983 48 47.0543
1.33286 1.70883 36 36.7186
1.36939 1.94357 24 41.7627
1.40496 2.55262 24 54.8497
1.43966 1.51263 48 32.5029
1.47354 1.80617 24 38.8102
1.53906 1.72653 24 37.099
1.5708 1.60121 30 34.4061
1.6019 1.40334 72 30.1545
1.63242 1.24598 32 26.7732
1.6918 0.998987 72 21.4658
1.72072 1.79896 48 38.6553
1.77715 1.67059 12 35.8971
1.80471 1.29207 48 27.7636
1.83185 1.04805 48 22.5202
1.85859 1.03751 48 22.2936
1.88496 0.675827 30 14.5219
1.91096 0.602733 24 12.9513
1.93661 0.974745 72 20.9449
1.98692 0.800408 24 17.1989
2.0116 1.06014 96 22.7799
2.03598 0.923368 48 19.841
2.06008 0.813455 24 17.4792
2.0839 0.675939 24 14.5243
2.10744 0.849341 72 18.2503
2.13073 0.85581 48 18.3893
2.17656 0.465913 8 10.0114
2.19911 0.681895 54 14.6523
2.22144 0.651315 84 13.9952
2.24355 0.653123 48 14.0341
2.26543 0.771979 24 16.588
2.28711 0.716718 72 15.4006
2.30859 0.811 96 17.4265
2.35095 0.50113 48 10.7681
2.37185 0.849 48 18.243
2.39257 0.777574 24 16.7082
2.4131 0.493163 72 10.5969
2.45366 0.647995 72 13.9239
2.47369 0.606646 96 13.0354
2.51327 0.516574 6 11.0999
2.53283 0.589413 96 12.6651
2.55224 0.693313 96 14.8976
2.5715 0.555856 24 11.944
2.59062 0.618315 48 13.2861
2.6096 0.607669 96 13.0574
2.62844 0.678006 48 14.5687
2.66573 0.596041 36 12.8075
2.68418 0.579153 48 12.4446
2.7025 0.532562 120 11.4435
2.7207 0.424725 56 9.12633
2.73878 0.572315 24 12.2977
2.75674 0.391412 96 8.4105
2.77458 0.523018 48 11.2384
2.80993 0.589288 24 12.6624
2.82743 0.475534 102 10.2181
2.84483 0.504738 48 10.8456
2.86213 0.421429 72 9.0555
2.87932 0.464047 48 9.97126
2.89641 0.352998 48 7.58509
2.91339 0.489389 120 10.5158
2.94708 0.334187 24 7.18088
2.96377 0.432975 144 9.3036
2.98038 0.481618 120 10.3488
2.99689 0.407393 48 8.75391
3.02964 0.421489 48 9.0568
3.04589 0.407284 96 8.75157
3.07812 0.367165 24 7.88951
3.09411 0.421591 48 9.05898
3.11002 0.44521 108 9.56651
3.12585 0.337661 72 7.25553
3.14159 0.331824 30 7.1301
3.15726 0.441875 168 9.49484
3.17285 0.532012 48 11.4317
3.20381 0.381635 72 8.20043
3.21917 0.34678 96 7.45148
3.23447 0.397549 72 8.54239
3.24969 0.389752 72 8.37483
3.26484 0.368513 32 7.91846
3.27992 0.322044 72 6.91996
3.29493 0.396669 144 8.52346
3.33956 0.401443 96 8.62605
3.3543 0.281314 96 6.04476
3.36898 0.259019 48 5.5657
3.3836 0.403562 72 8.67159
3.39815 0.420155 120 9.02812
3.41264 0.40323 72 8.66445
3.44144 0.292456 48 6.28418
3.45575 0.330852 78 7.10922
3.47 0.29854 120 6.41492
3.48419 0.351973 48 7.56307
3.51241 0.262156 144 5.6331
3.52643 0.306122 144 6.57783
3.55431 0.257119 12 5.52488
3.56816 0.373494 144 8.02549
3.58197 0.452228 48 9.7173
3.59572 0.300307 120 6.45288
3.60942 0.346456 48 7.44451
3.62306 0.322188 48 6.92306
3.63666 0.317444 168 6.82112
3.6637 0.337812 48 7.25878
3.67714 0.304466 96 6.54225
3.69054 0.325522 96 6.99469
3.70388 0.276871 72 5.94929
3.71718 0.246149 48 5.28916
3.73043 0.319219 96 6.85925
3.74364 0.258527 48 5.55513
3.76991 0.279832 30 6.01292
3.78298 0.275737 96 5.92494
3.796 0.272245 192 5.84989
3.80898 0.352567 56 7.57583
3.82191 0.245845 24 5.28262
3.8348 0.279539 168 6.00662
3.84765 0.31328 120 6.73165
3.87322 0.369408 72 7.9377
3.88594 0.264003 144 5.6728
3.89861 0.273375 96 5.87417
3.91125 0.22476 96 4.82955
3.9364 0.336413 72 7.22871
3.94892 0.326882 96 7.02391
3.97384 0.2532 24 5.44066
3.98623 0.257258 192 5.52786
3.99859 0.255299 108 5.48577
4.01092 0.258667 24 5.55814
4.0232 0.305306 96 6.56031
4.03545 0.297078 96 6.38351
4.04766 0.292552 120 6.28623
4.07197 0.189238 48 4.06627
4.08407 0.239427 78 5.14471
4.09614 0.236558 144 5.08306
4.10817 0.22711 120 4.88004
4.12016 0.258422 24 5.55288
4.13212 0.305602 168 6.56666
4.14405 0.247887 144 5.3265
4.16779 0.218421 24 4.69335
4.17962 0.229539 48 4.93224
4.19141 0.234746 96 5.04413
4.20316 0.281185 120 6.042
4.21489 0.277358 72 5.95976
4.22658 0.273198 120 5.87038
4.23824 0.225123 144 4.83736
4.26146 0.217208 48 4.66728
4.27303 0.234539 192 5.03969
4.28456 0.261746 144 5.62429
4.29606 0.211329 48 4.54096
4.31898 0.227946 192 4.89803
4.33039 0.264224 48 5.67754
4.35312 0.18579 8 3.99218
4.36444 0.21708 48 4.66454
4.37573 0.207886 240 4.46698
4.387 0.249622 96 5.36378
4.39823 0.225178 54 4.83854
4.40944 0.223532 120 4.80318
4.42061 0.254772 120 5.47444
4.44288 0.237025 84 5.09311
4.45398 0.213683 144 4.59153
4.46504 0.217174 72 4.66656
4.47608 0.278781 96 5.99033
4.48709 0.267817 48 5.75475
4.49808 0.260069 96 5.58826
4.50903 0.212747 240 4.57144
4.53087 0.274899 24 5.90692
4.54175 0.248914 240 5.34857
4.5526 0.222806 96 4.78758
4.56883 0.209424 144 4.50002
4.585 0.253657 96 5.45048
4.59575 0.160761 72 3.45438
4.61718 0.205058 96 4.40621
4.62785 0.206952 96 4.4469
4.63851 0.203864 120 4.38055
4.64913 0.152698 96 3.28112
4.67484 0.241714 336 5.19385
4.70191 0.224788 48 4.83016
4.71239 0.20475 150 4.39959
4.72285 0.182534 96 3.92222
4.73329 0.174656 120 3.75295
4.75112 0.236441 168 5.08054
4.76446 0.210109 240 4.51474
4.78513 0.325315 24 6.99024
4.79543 0.224822 144 4.8309
4.80571 0.168726 216 3.62552
4.82211 0.212251 120 4.56077
4.83642 0.222125 144 4.77294
4.84661 0.208851 96 4.4877
4.87706 0.207649 144 4.46188
4.88717 0.174147 132 3.742
4.89726 0.182779 104 3.92749
4.90732 0.246763 72 5.30235
4.922 0.20558 312 4.41743
4.94739 0.238007 96 5.1142
4.95735 0.210267 144 4.51814
4.97264 0.213981 312 4.59794
4.99701 0.262096 48 5.63181
5.00687 0.18884 192 4.05772
5.02655 0.103985 6 2.23439
5.03636 0.230818 192 4.95974
5.05103 0.199321 192 4.28294
5.06567 0.171457 96 3.68421
5.0754 0.19153 216 4.11553
5.08511 0.194617 72 4.18185
5.10448 0.172827 96 3.71364
5.11414 0.235521 96 5.06077
5.12539 0.217247 288 4.66811
5.14301 0.162508 24 3.49192
5.1526 0.188728 264 4.05531
5.16216 0.203022 192 4.36246
5.18125 0.134314 48 2.88608
5.19646 0.197243 240 4.23827
5.20974 0.178187 120 3.82881
5.21921 0.181055 96 3.89044
5.23525 0.16425 240 3.52934
5.26471 0.164142 288 3.52703
5.27563 0.18687 96 4.0154
5.28498 0.235217 72 5.05425
5.30362 0.181285 192 3.89539
5.31292 0.182257 144 3.91627
5.33146 0.126152 36 2.71071
5.34719 0.170516 342 3.66399
5.35916 0.142445 96 3.0608
5.37587 0.180794 264 3.88483
5.38671 0.148044 168 3.18111
5.405 0.171367 120 3.68226
5.41412 0.144304 192 3.10075
5.42984 0.183176 264 3.93601
5.4414 0.16939 56 3.63979
5.45589 0.166113 240 3.56937
5.48556 0.171396 216 3.6829
5.49554 0.152873 240 3.28487
5.50963 0.144533 168 3.10567
5.52599 0.165105 240 3.54772
5.55508 0.216085 144 4.64315
5.56692 0.175898 312 3.77962
5.57577 0.155679 144 3.34516
5.59826 0.169953 264 3.65189
5.62783 0.163434 264 3.51182
5.64176 0.164925 192 3.54384
5.65487 0.155233 102 3.33559
5.66891 0.170227 432 3.65778
5.68967 0.156729 48 3.36774
5.69833 0.145723 288 3.13124
5.71069 0.121984 168 2.62114
5.72964 0.147365 192 3.16653
5.74147 0.12791 144 2.74849
