# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
0.314159 164.43 6 909.476
0.444288 92.3988 12 511.066
0.54414 61.7166 8 341.36
0.628319 50.4842 6 279.233
0.702481 32.1784 24 177.981
0.76953 30.8081 24 170.402
0.888577 16.5271 12 91.4127
0.942478 25.8815 30 143.153
0.993459 15.4678 24 85.5536
1.04195 20.4112 24 112.896
1.08828 15.5629 8 86.0797
1.13272 17.5438 24 97.0363
1.17548 18.0467 48 99.8177
1.25664 13.3529 6 73.8562
1.29531 13.4031 48 74.1337
1.33286 10.1896 36 56.3596
1.36939 8.56924 24 47.3972
1.40496 12.3995 24 68.5825
1.43966 9.45608 48 52.3024
1.47354 16.8437 24 93.1637
1.53906 9.5922 24 53.0553
1.5708 13.961 30 77.2195
1.6019 8.15661 72 45.1149
1.63242 8.40796 32 46.5051
1.6918 7.00454 72 38.7427
1.72072 9.82349 48 54.3346
1.77715 10.0902 12 55.8099
1.80471 5.5866 48 30.9
1.83185 7.72744 48 42.7411
1.85859 7.66286 48 42.3839
1.88496 4.58464 30 25.358
1.91096 4.25112 24 23.5133
1.93661 6.56851 72 36.331
1.98692 7.24272 24 40.0601
2.0116 7.08017 96 39.161
2.03598 7.67454 48 42.4485
2.06008 7.09095 24 39.2206
2.0839 5.74025 24 31.7498
2.10744 5.47753 72 30.2967
2.13073 6.46424 48 35.7543
2.17656 7.75614 8 42.8999
2.19911 6.52844 54 36.1093
2.22144 7.39424 84 40.8982
2.24355 4.75258 48 26.2869
2.26543 7.49334 24 41.4463
2.28711 5.54218 72 30.6543
2.30859 4.35427 96 24.0838
2.35095 4.76824 48 26.3735
2.37185 5.85422 48 32.3802
2.39257 8.7724 24 48.5209
2.4131 6.57583 72 36.3714
2.45366 4.89516 72 27.0755
2.47369 4.8821 96 27.0033
2.51327 2.98856 6 16.5299
2.53283 4.27845 96 23.6644
2.55224 5.27519 96 29.1775
2.5715 4.08227 24 22.5794
2.59062 4.99348 48 27.6193
2.6096 5.59506 96 30.9468
2.62844 3.96466 48 21.9289
2.66573 4.28769 36 23.7155
2.68418 5.05855 48 27.9792
2.7025 3.8354 120 21.2139
2.7207 4.28316 56 23.6905
2.73878 7.19937 24 39.8203
2.75674 4.56641 96 25.2572
2.77458 3.99329 48 22.0872
2.80993 5.29604 24 29.2928
2.82743 4.75896 102 26.3222
2.84483 2.81263 48 15.5569
2.86213 4.3035 72 23.803
2.87932 3.52373 48 19.49
2.89641 3.58157 48 19.81
2.91339 4.08266 120 22.5815
2.94708 4.77053 24 26.3862
2.96377 4.81681 144 26.6422
2.98038 3.72729 120 20.616
2.99689 2.42414 48 13.4081
3.02964 4.39109 48 24.2875
3.04589 4.21985 96 23.3403
3.07812 2.89542 24 16.0148
3.09411 4.51254 48 24.9592
3.11002 3.86975 108 21.4039
3.12585 3.22839 72 17.8565
3.14159 4.19318 30 23.1928
3.15726 3.59001 168 19.8566
3.17285 3.55898 48 19.685
3.20381 3.6243 72 20.0463
3.21917 3.74478 96 20.7127
3.23447 4.2049 72 23.2577
3.24969 3.311 72 18.3134
3.26484 3.01112 32 16.6548
3.27992 3.38825 72 18.7407
3.29493 4.15844 144 23.0007
3.33956 3.06844 96 16.9718
3.3543 4.32194 96 23.905
3.36898 4.791 48 26.4994
3.3836 2.87589 72 15.9068
3.39815 3.93014 120 21.738
3.41264 2.80726 72 15.5272
3.44144 4.20277 48 23.2459
3.45575 3.3026 78 18.2669
3.47 2.68023 120 14.8246
3.48419 3.18013 48 17.5896
3.51241 3.27288 144 18.1026
3.52643 3.52712 144 19.5088
3.55431 2.43496 12 13.468
3.56816 2.90875 144 16.0885
3.58197 3.47154 48 19.2014
3.59572 3.60718 120 19.9516
3.60942 3.35169 48 18.5385
