# in Mpc/h Units 
# D1 = 0.185087 
# k P N P(z=0)
0.628319 7.16946 6 209.283
0.888577 3.63662 12 106.156
1.08828 2.34075 8 68.3288
1.25664 1.61779 6 47.2249
1.40496 1.07833 24 31.4775
1.53906 1.04067 24 30.378
1.77715 0.671194 12 19.5928
1.88496 0.75528 30 22.0473
1.98692 0.45917 24 13.4036
2.0839 0.52623 24 15.3611
2.17656 0.507142 8 14.8039
2.26543 0.387162 24 11.3016
2.35095 0.426406 48 12.4472
2.51327 0.299672 6 8.74771
2.59062 0.333347 48 9.73072
2.66573 0.256715 36 7.49376
2.73878 0.274782 24 8.02115
2.80993 0.354948 24 10.3613
2.87932 0.212851 48 6.21331
2.94708 0.285039 24 8.32056
3.07812 0.250578 24 7.31459
3.14159 0.251128 30 7.33066
3.20381 0.211633 72 6.17775
3.26484 0.184704 32 5.39169
3.3836 0.141258 72 4.12347
3.44144 0.279977 48 8.17279
3.55431 0.259981 12 7.58909
3.60942 0.187022 48 5.45936
3.6637 0.154393 48 4.50687
3.71718 0.155825 48 4.54867
3.76991 0.0911194 30 2.65986
3.82191 0.0780403 24 2.27807
3.87322 0.148279 72 4.32839
3.97384 0.130317 24 3.80408
4.0232 0.156973 96 4.5822
4.07197 0.136662 48 3.9893
4.12016 0.125633 24 3.66736
4.16779 0.0928874 24 2.71147
4.21489 0.131286 72 3.83237
4.26146 0.12927 48 3.77353
4.35312 0.0893371 8 2.60783
4.39823 0.105542 54 3.08088
4.44288 0.101079 84 2.95058
4.48709 0.0911718 48 2.66139
4.53087 0.112516 24 3.28446
4.57423 0.102475 72 2.99135
4.61718 0.120358 96 3.51337
4.70191 0.0733871 48 2.14224
4.7437 0.129642 48 3.78439
4.78513 0.1118 24 3.26354
4.82621 0.0739492 72 2.15865
4.90732 0.084339 72 2.46194
4.94739 0.0868865 96 2.5363
5.02655 0.0733499 6 2.14115
5.06567 0.0892975 96 2.60668
5.10448 0.100777 96 2.94178
5.14301 0.0733349 24 2.14071
5.18125 0.0933129 48 2.72389
5.21921 0.0872895 96 2.54806
5.25689 0.0973524 48 2.84181
5.33146 0.0821082 36 2.39682
5.36836 0.0891482 48 2.60232
5.405 0.0794933 120 2.32048
5.4414 0.0653402 56 1.90734
5.47755 0.106746 24 3.11601
5.51347 0.06557 96 1.91405
5.54916 0.0763607 48 2.22904
5.61985 0.0985766 24 2.87754
5.65487 0.0701044 102 2.04641
5.68967 0.0764054 48 2.23034
5.72425 0.0645862 72 1.88533
5.75863 0.0738424 48 2.15553
5.79281 0.0526409 48 1.53664
5.82679 0.0712006 120 2.07841
5.89415 0.0532999 24 1.55587
5.92755 0.0646342 144 1.88673
5.96075 0.0718375 120 2.09701
5.99378 0.0583579 48 1.70352
6.05928 0.0647108 48 1.88897
6.09177 0.0613828 96 1.79182
6.15624 0.0592605 24 1.72987
6.18822 0.0601863 48 1.7569
6.22004 0.069113 108 2.01747
6.25169 0.0518538 72 1.51366
6.28319 0.0493609 30 1.44089
6.31452 0.0625854 168 1.82693
6.34571 0.0639758 48 1.86751
6.40762 0.055563 72 1.62194
6.43835 0.0533189 96 1.55643
6.46894 0.0647966 72 1.89147
6.49938 0.0559023 72 1.63184
6.52968 0.0558607 32 1.63063
6.55984 0.0498206 72 1.45431
6.58986 0.0547377 144 1.59785
6.67912 0.0591747 96 1.72737
6.70861 0.0477061 96 1.39259
6.73797 0.0372811 48 1.08827
6.7672 0.0614671 72 1.79428
6.7963 0.0650601 120 1.89917
6.82529 0.0561313 72 1.63853
6.88288 0.0408367 48 1.19206
6.9115 0.0460291 78 1.34363
6.94001 0.0442467 120 1.2916
6.96839 0.0510852 48 1.49123
7.02481 0.0410137 144 1.19723
7.05286 0.046224 144 1.34932
7.10861 0.0386783 12 1.12906
7.13633 0.0530474 144 1.5485
7.16393 0.0687596 48 2.00716
7.19926 0.049465 168 1.44393
7.24612 0.0472604 48 1.37958
7.27331 0.0458441 168 1.33823
7.34532 0.0491534 144 1.43483
7.38107 0.0484521 96 1.41436
7.40777 0.0468876 72 1.36869
7.43437 0.0389555 48 1.13715
7.46967 0.0399516 144 1.16622
7.53982 0.0444337 30 1.29706
7.58332 0.0393946 288 1.14996
7.61796 0.0547032 56 1.59684
7.66638 0.0388486 192 1.13403
7.6953 0.0446241 120 1.30262
7.76339 0.0426308 216 1.24443
7.79723 0.0397292 96 1.15973
7.8225 0.0354676 96 1.03533
7.87281 0.0539603 72 1.57515
7.89784 0.0481495 96 1.40553
7.94767 0.033242 24 0.970367
7.98137 0.0370898 300 1.08269
8.02183 0.0404291 24 1.18016
8.05865 0.0474204 192 1.38425
8.09532 0.0405804 120 1.18458
8.14394 0.0338879 48 0.989221
8.18379 0.0343656 222 1.00316
8.21633 0.0338147 120 0.987082
8.26125 0.0462592 192 1.35035
8.28809 0.0365351 144 1.06649
8.33559 0.0284017 24 0.829072
8.37495 0.0362006 144 1.05673
8.40633 0.0409986 120 1.19679
8.44439 0.0399428 192 1.16597
8.47648 0.0330492 144 0.964737
8.52293 0.0331573 48 0.967892
8.55594 0.0350704 336 1.02374
8.59213 0.0330196 48 0.963872
8.64252 0.0356562 240 1.04084
8.70624 0.0268559 8 0.78395
8.72888 0.0279382 48 0.815543
8.7579 0.0328295 336 0.958323
8.81192 0.0308154 174 0.899531
8.84123 0.0417943 120 1.22001
8.89978 0.0331424 228 0.967459
8.9427 0.0361677 168 1.05577
8.98883 0.0379263 144 1.1071
9.01807 0.0322298 240 0.940819
9.06174 0.0431406 24 1.25931
9.0897 0.0359332 336 1.04892
9.13765 0.0370348 144 1.08108
9.17922 0.0322884 168 0.942528
9.23436 0.0256553 96 0.748903
9.26754 0.0301196 216 0.879219
9.32651 0.0296252 288 0.864786
9.36174 0.0357593 144 1.04385
9.41969 0.0276086 198 0.805922
9.4573 0.0278226 216 0.812169
9.50225 0.0354718 168 1.03545
9.52892 0.0324772 240 0.94804
9.58792 0.0339944 168 0.992329
9.62314 0.0281468 336 0.821631
9.68099 0.032037 240 0.93519
9.7638 0.0286407 276 0.83605
9.81837 0.0301815 344 0.881027
9.85479 0.0234606 144 0.684836
9.90673 0.0345498 240 1.00854
9.94528 0.0322843 312 0.942409
10.0098 0.028251 240 0.824674
10.0531 0.0157703 6 0.460349
10.0874 0.0315011 384 0.919546
10.1448 0.0295427 312 0.862379
10.1924 0.0262294 168 0.76566
10.2421 0.0331294 336 0.967077
10.2983 0.0275236 336 0.803439
10.3243 0.0285116 192 0.83228
10.3879 0.0290047 288 0.846675
10.4279 0.0303068 216 0.884683
10.4705 0.0261715 240 0.763972
10.5349 0.0244004 384 0.712269
10.57 0.0425125 72 1.24098
10.6152 0.0265485 336 0.774977
10.6914 0.0240573 378 0.702255
10.7244 0.0248983 144 0.726806
10.7631 0.0261273 384 0.762681
10.826 0.0243044 384 0.709469
10.8777 0.026872 344 0.78442
