# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
0.628319 9.77904 6 210.128
0.888577 5.03165 12 108.118
1.08828 3.2523 8 69.8841
1.25664 2.30658 6 49.563
1.40496 1.51194 24 32.4879
1.53906 1.47361 24 31.6643
1.77715 0.901265 12 19.366
1.88496 1.1033 30 23.7073
1.98692 0.647303 24 13.909
2.0839 0.772352 24 16.596
2.17656 0.714084 8 15.344
2.26543 0.602818 24 12.9531
2.35095 0.648229 48 13.9289
2.51327 0.40732 6 8.75234
2.59062 0.501382 48 10.7735
2.66573 0.383123 36 8.23241
2.73878 0.377578 24 8.11326
2.80993 0.489186 24 10.5114
2.87932 0.302438 48 6.49868
2.94708 0.466297 24 10.0196
3.07812 0.362221 24 7.78327
3.14159 0.407563 30 8.75755
3.20381 0.320757 72 6.8923
3.26484 0.282532 32 6.07093
3.3836 0.209997 72 4.51233
3.44144 0.434125 48 9.32831
3.55431 0.407295 12 8.7518
3.60942 0.270663 48 5.8159
3.6637 0.232663 48 4.99938
3.71718 0.245756 48 5.28071
3.76991 0.129293 30 2.7782
3.82191 0.108702 24 2.33575
3.87322 0.232679 72 4.99972
3.97384 0.227049 24 4.87874
4.0232 0.24115 96 5.18173
4.07197 0.216106 48 4.6436
4.12016 0.209895 24 4.51013
4.16779 0.140756 24 3.02451
4.21489 0.211709 72 4.54912
4.26146 0.205035 48 4.40571
4.35312 0.180943 8 3.88804
4.39823 0.183903 54 3.95163
4.44288 0.177985 84 3.82448
4.48709 0.139752 48 3.00293
4.53087 0.188121 24 4.04228
4.57423 0.15753 72 3.38494
4.61718 0.187628 96 4.03167
4.70191 0.122086 48 2.62333
4.7437 0.205431 48 4.41423
4.78513 0.182813 24 3.92823
4.82621 0.127956 72 2.74948
4.90732 0.115483 72 2.48146
4.94739 0.129199 96 2.77617
5.02655 0.099828 6 2.14507
5.06567 0.140484 96 3.01866
5.10448 0.15512 96 3.33317
5.14301 0.0937976 24 2.01549
5.18125 0.150992 48 3.24445
5.21921 0.138611 96 2.97842
5.25689 0.145389 48 3.12407
5.33146 0.128713 36 2.76574
5.36836 0.143666 48 3.08704
5.405 0.126706 120 2.72261
5.4414 0.117725 56 2.52963
5.47755 0.211584 24 4.54644
5.51347 0.12525 96 2.69133
5.54916 0.12722 48 2.73365
5.61985 0.177853 24 3.82164
5.65487 0.116892 102 2.51173
5.68967 0.120915 48 2.59818
5.72425 0.108232 72 2.32564
5.75863 0.125501 48 2.69672
5.79281 0.0908625 48 1.95242
5.82679 0.116347 120 2.50002
5.89415 0.103693 24 2.22811
5.92755 0.112303 144 2.41313
5.96075 0.121255 120 2.60548
5.99378 0.0898069 48 1.92974
6.05928 0.114413 48 2.45847
6.09177 0.105746 96 2.27223
6.15624 0.0968819 24 2.08176
6.18822 0.0999176 48 2.14699
6.22004 0.119108 108 2.55934
6.25169 0.0947895 72 2.0368
6.28319 0.0811158 30 1.74298
6.31452 0.0995685 168 2.13949
6.34571 0.0761844 48 1.63702
6.40762 0.0907678 72 1.95038
6.43835 0.0911792 96 1.95922
6.46894 0.118082 72 2.5373
6.49938 0.0872985 72 1.87584
6.52968 0.0954892 32 2.05184
6.55984 0.0893864 72 1.9207
6.58986 0.0886415 144 1.9047
6.67912 0.0972276 96 2.08919
6.70861 0.0962985 96 2.06923
6.73797 0.0702699 48 1.50993
6.7672 0.0947348 72 2.03562
6.7963 0.109691 120 2.35699
6.82529 0.0907 72 1.94893
6.88288 0.0726082 48 1.56018
6.9115 0.0789507 78 1.69646
6.94001 0.0759489 120 1.63196
6.96839 0.0848047 48 1.82225
7.02481 0.0762255 144 1.6379
7.05286 0.0805169 144 1.73012
7.10861 0.0771486 12 1.65774
7.13633 0.0810188 144 1.7409
7.16393 0.116175 48 2.49632
7.19926 0.0882992 168 1.89734
7.24612 0.0744189 48 1.59908
7.27331 0.0799242 168 1.71738
7.34532 0.0919101 144 1.97493
7.38107 0.0823519 96 1.76955
7.40777 0.0938275 72 2.01613
7.43437 0.0710924 48 1.52761
7.46967 0.0625577 144 1.34421
7.53982 0.0870959 30 1.87148
7.58332 0.070544 288 1.51582
7.61796 0.0904691 56 1.94397
7.66638 0.064681 192 1.38984
7.6953 0.0710277 120 1.52622
7.76339 0.0707397 216 1.52003
7.79723 0.0718575 96 1.54405
7.8225 0.064551 96 1.38705
7.87281 0.095645 72 2.05518
7.89784 0.0818188 96 1.75809
7.94767 0.0540631 24 1.16169
7.98137 0.0637946 300 1.37079
8.02183 0.0619552 24 1.33127
8.05865 0.0851564 192 1.82981
8.09532 0.0644325 120 1.3845
8.14394 0.0705574 48 1.51611
8.18379 0.0603769 222 1.29736
8.21633 0.060036 120 1.29003
8.26125 0.0717996 192 1.5428
8.28809 0.0620469 144 1.33324
8.33559 0.0408884 24 0.878594
