# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
10.5349 0.673248 384 3.72379
10.57 0.678997 72 3.75559
10.6152 0.759064 336 4.19845
10.6914 0.709382 378 3.92365
10.7244 0.587694 144 3.25058
10.7631 0.582863 384 3.22387
10.826 0.709961 384 3.92685
10.8777 0.702245 344 3.88417
10.919 0.800618 144 4.42828
10.9816 0.754721 456 4.17442
11.0311 0.683703 312 3.78162
11.0746 0.811136 144 4.48646
11.1354 0.573957 552 3.1746
11.1965 0.656106 264 3.62898
11.2557 0.679667 264 3.75929
11.2926 0.637258 294 3.52473
11.3378 0.667899 432 3.69421
11.3986 0.66919 432 3.70134
11.4516 0.638819 264 3.53336
11.4915 0.629415 192 3.48135
11.5567 0.650175 468 3.59617
11.6093 0.583473 552 3.22724
11.6705 0.619085 336 3.42421
11.7239 0.564742 288 3.12363
11.7777 0.564207 456 3.12068
11.8366 0.570396 432 3.15491
11.8788 0.609679 168 3.37219
11.9469 0.586569 566 3.24436
12.0077 0.628251 432 3.47491
12.0751 0.565102 432 3.12563
12.1153 0.610423 360 3.3763
12.1711 0.524606 624 2.90164
12.2203 0.572401 264 3.166
12.2718 0.547376 360 3.02758
12.3453 0.605719 456 3.35028
12.3969 0.555214 504 3.07093
12.467 0.586387 564 3.24335
12.526 0.560403 384 3.09964
12.5876 0.524978 462 2.9037
12.6429 0.536241 624 2.966
12.7121 0.565772 432 3.12933
12.7677 0.526532 624 2.91229
12.8318 0.547499 312 3.02826
12.8807 0.523304 552 2.89444
12.9504 0.496607 408 2.74678
12.9878 0.501053 600 2.77136
13.0701 0.527585 608 2.91811
13.1297 0.433461 504 2.39751
13.1933 0.502946 510 2.78184
13.258 0.435692 600 2.40985
13.3214 0.505499 492 2.79595
13.3672 0.488569 552 2.70232
13.4446 0.465085 696 2.57243
13.492 0.496778 504 2.74772
13.5589 0.49221 528 2.72245
13.6149 0.429275 624 2.37436
13.6788 0.423398 504 2.34185
13.7489 0.467925 552 2.58813
13.8157 0.457552 654 2.53076
13.8792 0.45288 840 2.50492
13.9482 0.45232 744 2.50182
14.0148 0.468528 456 2.59147
14.0735 0.43111 648 2.38451
14.1506 0.424994 896 2.35068
14.2105 0.458998 396 2.53876
14.2726 0.437689 816 2.42089
14.348 0.476785 672 2.63714
14.4008 0.40033 552 2.21426
14.474 0.435042 894 2.40625
14.5447 0.428148 672 2.36812
14.6112 0.389426 624 2.15395
14.6784 0.424153 888 2.34603
14.7376 0.421305 720 2.33028
14.8179 0.407322 936 2.25293
14.8977 0.364537 648 2.01629
14.9637 0.387463 936 2.14309
15.0285 0.39376 696 2.17792
15.1106 0.459521 618 2.54165
15.1697 0.406637 1008 2.24914
15.237 0.424604 872 2.34852
15.3147 0.374596 960 2.07192
15.3934 0.360198 888 1.99229
15.4569 0.338067 648 1.86987
15.5288 0.394324 840 2.18104
15.5941 0.392388 912 2.17033
15.6682 0.356614 774 1.97246
15.7451 0.371552 1272 2.05508
15.8249 0.371404 912 2.05427
15.9019 0.334134 864 1.84812
15.9745 0.337796 924 1.86838
16.0428 0.341774 1080 1.89038
16.1255 0.384565 1008 2.12706
16.1989 0.34174 1128 1.89019
16.2879 0.313846 768 1.73591
16.35 0.348798 1046 1.92923
16.4304 0.33232 1152 1.83809
16.512 0.337608 1272 1.86734
16.5918 0.323361 912 1.78853
16.6638 0.308437 1200 1.70599
16.7465 0.332277 1080 1.83785
16.81 0.318391 840 1.76105
16.9017 0.310389 1332 1.71679
16.9783 0.341604 1062 1.88944
