# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
0.628319 14.0921 6 210.994
0.888577 7.38786 12 110.615
1.08828 4.79999 8 71.8678
1.25664 3.57759 6 53.5654
1.40496 2.29739 24 34.3976
1.53906 2.24229 24 33.5727
1.77715 1.26536 12 18.9456
1.88496 1.73997 30 26.0516
1.98692 1.0023 24 15.007
2.0839 1.25693 24 18.8194
2.17656 1.07882 8 16.1526
2.26543 1.04045 24 15.5781
2.35095 1.09133 48 16.3399
2.51327 0.659271 6 9.87093
2.59062 0.8268 48 12.3793
2.66573 0.630486 36 9.43995
2.73878 0.55831 24 8.35929
2.80993 0.737333 24 11.0397
2.87932 0.497385 48 7.44709
2.94708 0.87774 24 13.142
3.07812 0.585188 24 8.76172
3.14159 0.748542 30 11.2075
3.20381 0.520377 72 7.79134
3.26484 0.482238 32 7.2203
3.3836 0.36176 72 5.41645
3.44144 0.687795 48 10.298
3.55431 0.68145 12 10.203
3.60942 0.407154 48 6.09611
3.6637 0.396637 48 5.93864
3.71718 0.428784 48 6.41997
3.76991 0.214888 30 3.21742
3.82191 0.189009 24 2.82994
3.87322 0.386877 72 5.79251
3.97384 0.429037 24 6.42376
4.0232 0.408631 96 6.11822
4.07197 0.391609 48 5.86337
4.12016 0.384159 24 5.75182
4.16779 0.283976 24 4.25183
4.21489 0.357589 72 5.354
4.26146 0.35613 48 5.33215
4.35312 0.402474 8 6.02604
4.39823 0.365492 54 5.47233
4.44288 0.364251 84 5.45375
4.48709 0.252502 48 3.78059
4.53087 0.377066 24 5.64562
4.57423 0.27654 72 4.14049
4.61718 0.298588 96 4.47061
4.70191 0.231442 48 3.46526
4.7437 0.33815 48 5.06294
4.78513 0.387567 24 5.80285
4.82621 0.282593 72 4.23112
4.90732 0.199486 72 2.9868
4.94739 0.218679 96 3.27417
5.02655 0.144555 6 2.16435
5.06567 0.22829 96 3.41807
5.10448 0.26724 96 4.00125
5.14301 0.142917 24 2.13983
5.18125 0.262565 48 3.93125
5.21921 0.265364 96 3.97316
5.25689 0.218164 48 3.26646
5.33146 0.234533 36 3.51154
5.36836 0.236078 48 3.53468
5.405 0.210671 120 3.15427
5.4414 0.232611 56 3.48276
5.47755 0.422029 24 6.31883
5.51347 0.244891 96 3.66663
5.54916 0.238702 48 3.57397
5.61985 0.316534 24 4.73931
5.65487 0.223134 102 3.34088
5.68967 0.182082 48 2.72622
5.72425 0.203806 72 3.05149
5.75863 0.21208 48 3.17537
5.79281 0.183593 48 2.74884
5.82679 0.216418 120 3.24031
5.89415 0.237947 24 3.56266
5.92755 0.23509 144 3.51989
5.96075 0.219816 120 3.2912
5.99378 0.140798 48 2.10809
6.05928 0.225672 48 3.37887
6.09177 0.211247 96 3.1629
6.15624 0.150071 24 2.24694
6.18822 0.211443 48 3.16582
6.22004 0.212087 108 3.17547
6.25169 0.185373 72 2.7755
6.28319 0.178065 30 2.66608
6.31452 0.18255 168 2.73322
6.34571 0.118548 48 1.77496
6.40762 0.176185 72 2.63793
6.43835 0.172762 96 2.58667
6.46894 0.2247 72 3.36432
6.49938 0.149091 72 2.23226
6.52968 0.174107 32 2.60682
6.55984 0.179486 72 2.68735
6.58986 0.183702 144 2.75048
6.67912 0.168174 96 2.51798
6.70861 0.208172 96 3.11686
6.73797 0.193162 48 2.89212
6.7672 0.142641 72 2.13569
6.7963 0.192958 120 2.88905
6.82529 0.162641 72 2.43514
6.88288 0.169216 48 2.53359
6.9115 0.168302 78 2.51989
6.94001 0.142799 120 2.13806
6.96839 0.146761 48 2.19738
7.02481 0.157351 144 2.35593
7.05286 0.155637 144 2.33027
7.10861 0.163337 12 2.44556
7.13633 0.134787 144 2.01809
7.16393 0.195903 48 2.93316
7.19926 0.172349 168 2.5805
7.24612 0.121991 48 1.8265
7.27331 0.162999 168 2.44051
7.34532 0.198154 144 2.96686
7.38107 0.153903 96 2.30431
7.40777 0.186822 72 2.79718
7.43437 0.145235 48 2.17453
7.46967 0.139555 144 2.08949
7.53982 0.174967 30 2.61969
7.58332 0.149816 288 2.24312
7.61796 0.185511 56 2.77755
7.66638 0.134373 192 2.0119
7.6953 0.133797 120 2.00327
7.76339 0.131382 216 1.96711
7.79723 0.146375 96 2.1916
7.8225 0.128354 96 1.92178
7.87281 0.159998 72 2.39557
7.89784 0.147378 96 2.20661
7.94767 0.150279 24 2.25006
7.98137 0.135278 300 2.02546
8.02183 0.103686 24 1.55244
8.05865 0.154973 192 2.32034
8.09532 0.133821 120 2.00364
8.14394 0.156369 48 2.34123
8.18379 0.139795 222 2.09309
8.21633 0.129612 120 1.94062
8.26125 0.117028 192 1.75221
8.28809 0.121663 144 1.8216
8.33559 0.105992 24 1.58696
8.37495 0.120952 144 1.81095
8.40633 0.161632 120 2.42004
8.44439 0.138922 192 2.08001
8.47648 0.123947 144 1.8558
8.52293 0.141351 48 2.11638
8.55594 0.120669 336 1.80672
8.59213 0.116403 48 1.74285
8.64252 0.133471 240 1.99839
8.70624 0.228873 8 3.4268
8.72888 0.119113 48 1.78342
8.7579 0.12954 336 1.93953
8.81192 0.108005 174 1.6171
8.84123 0.115775 120 1.73344
8.89978 0.128866 228 1.92945
8.9427 0.111688 168 1.67225
8.98883 0.113972 144 1.70645
9.01807 0.108366 240 1.62251
9.06174 0.089166 24 1.33504
9.0897 0.124924 336 1.87042
9.13765 0.142788 144 2.13789
