# in Mpc/h Units 
# D1 = 0.321902 
# k P N P(z=0)
0.628319 21.9228 6 211.567
0.888577 11.7819 12 113.701
1.08828 7.71166 8 74.4217
1.25664 6.34229 6 61.2066
1.40496 3.95163 24 38.1354
1.53906 3.78424 24 36.5199
1.77715 1.91189 12 18.4508
1.88496 3.03194 30 29.2599
1.98692 1.82624 24 17.6242
2.0839 2.42611 24 23.4132
2.17656 1.85282 8 17.8807
2.26543 2.01808 24 19.4755
2.35095 2.1137 48 20.3983
2.51327 1.59544 6 15.3969
2.59062 1.55646 48 15.0207
2.66573 1.20196 36 11.5996
2.73878 0.99568 24 9.60885
2.80993 1.41421 24 13.6479
2.87932 1.10858 48 10.6984
2.94708 1.94744 24 18.7938
3.07812 1.13504 24 10.9538
3.14159 1.61683 30 15.6033
3.20381 0.924934 72 8.92612
3.26484 0.96216 32 9.28537
3.3836 0.817404 72 7.88839
3.44144 1.08873 48 10.5068
3.55431 1.20988 12 11.676
3.60942 0.647317 48 6.24696
3.6637 0.903271 48 8.71706
3.71718 0.877658 48 8.46988
3.76991 0.534645 30 5.15961
3.82191 0.50717 24 4.89447
3.87322 0.72539 72 7.00041
3.97384 0.773809 24 7.46768
4.0232 0.811822 96 7.83452
4.07197 0.890906 48 8.59773
4.12016 0.774331 24 7.47272
4.16779 0.675269 24 6.51672
4.21489 0.603916 72 5.82812
4.26146 0.728682 48 7.03218
4.35312 0.909728 8 8.77937
4.39823 0.734701 54 7.09027
4.44288 0.821053 84 7.92361
4.48709 0.539691 48 5.20831
4.53087 0.833435 24 8.0431
4.57423 0.603852 72 5.8275
4.61718 0.481811 96 4.64974
4.70191 0.521601 48 5.03374
4.7437 0.65447 48 6.31599
4.78513 0.995195 24 9.60417
4.82621 0.73128 72 7.05725
4.90732 0.563701 72 5.44002
4.94739 0.541839 96 5.22904
5.02655 0.331989 6 3.20387
5.06567 0.470816 96 4.54364
5.10448 0.589 96 5.68417
5.14301 0.467808 24 4.5146
5.18125 0.552166 48 5.3287
5.21921 0.630653 96 6.08614
5.25689 0.419578 48 4.04916
5.33146 0.468523 36 4.5215
5.36836 0.581939 48 5.61603
5.405 0.45009 120 4.34361
5.4414 0.489217 56 4.72121
5.47755 0.792476 24 7.64783
5.51347 0.496652 96 4.79296
5.54916 0.432426 48 4.17315
5.61985 0.5502 24 5.30973
5.65487 0.538524 102 5.19705
5.68967 0.321172 48 3.09948
5.72425 0.464046 72 4.4783
5.75863 0.392591 48 3.78872
5.79281 0.395032 48 3.81228
5.82679 0.45916 120 4.43114
5.89415 0.513285 24 4.95348
5.92755 0.529771 144 5.11258
5.96075 0.40982 120 3.95499
5.99378 0.261713 48 2.52568
6.05928 0.458243 48 4.4223
6.09177 0.456763 96 4.40801
6.15624 0.322677 24 3.11401
6.18822 0.525166 48 5.06814
6.22004 0.41622 108 4.01675
6.25169 0.349419 72 3.37208
6.28319 0.474189 30 4.57618
6.31452 0.392699 168 3.78976
6.34571 0.406889 48 3.9267
6.40762 0.403875 72 3.89761
6.43835 0.408377 96 3.94106
6.46894 0.445439 72 4.29873
6.49938 0.384498 72 3.71062
6.52968 0.338482 32 3.26653
6.55984 0.358064 72 3.45551
6.58986 0.440555 144 4.2516
6.67912 0.334534 96 3.22843
6.70861 0.462942 96 4.46764
6.73797 0.513254 48 4.95318
6.7672 0.314539 72 3.03547
6.7963 0.427374 120 4.12439
6.82529 0.307464 72 2.9672
6.88288 0.439541 48 4.24181
6.9115 0.371631 78 3.58644
6.94001 0.296586 120 2.86222
6.96839 0.355296 48 3.4288
7.02481 0.361152 144 3.48531
7.05286 0.394654 144 3.80862
7.10861 0.269832 12 2.60403
7.13633 0.328132 144 3.16665
7.16393 0.371397 48 3.58418
7.19926 0.374096 168 3.61023
7.24612 0.281027 48 2.71206
7.27331 0.411133 168 3.96766
7.34532 0.381645 144 3.68308
7.38107 0.328423 96 3.16946
7.40777 0.309605 72 2.98786
7.43437 0.354243 48 3.41864
7.46967 0.377492 144 3.643
7.53982 0.233403 30 2.25246
7.58332 0.326339 288 3.14935
7.61796 0.409864 56 3.95541
7.66638 0.302294 192 2.9173
7.6953 0.300389 120 2.89892
7.76339 0.300994 216 2.90476
7.79723 0.311202 96 3.00327
7.8225 0.273883 96 2.64312
7.87281 0.353614 72 3.41256
7.89784 0.292478 96 2.82257
7.94767 0.397217 24 3.83336
7.98137 0.312971 300 3.02034
8.02183 0.333558 24 3.21902
8.05865 0.301927 192 2.91376
8.09532 0.295181 120 2.84866
8.14394 0.349792 48 3.37569
8.18379 0.326709 222 3.15292
8.21633 0.346688 120 3.34573
8.26125 0.310495 192 2.99645
8.28809 0.336448 144 3.24691
8.33559 0.241914 24 2.3346
8.37495 0.290095 144 2.79957
8.40633 0.340235 120 3.28345
8.44439 0.319241 192 3.08085
8.47648 0.266399 144 2.5709
8.52293 0.290652 48 2.80495
8.55594 0.270296 336 2.6085
8.59213 0.359278 48 3.46723
8.64252 0.25937 240 2.50307
8.70624 0.252428 8 2.43606
8.72888 0.264544 48 2.553
8.7579 0.331909 336 3.2031
8.81192 0.263377 174 2.54173
8.84123 0.216498 120 2.08932
8.89978 0.257025 228 2.48043
8.9427 0.218979 168 2.11327
8.98883 0.258922 144 2.49873
9.01807 0.26327 240 2.54069
9.06174 0.221981 24 2.14224
9.0897 0.292611 336 2.82386
9.13765 0.333597 144 3.2194
9.17922 0.288057 168 2.7799
9.23436 0.252259 96 2.43444
9.26754 0.26767 216 2.58316
9.32651 0.241901 288 2.33448
9.36174 0.239741 144 2.31363
9.41969 0.261291 198 2.52161
9.4573 0.312102 216 3.01195
9.50225 0.293923 168 2.83652
9.52892 0.268115 240 2.58745
9.58792 0.242619 168 2.34141
9.62314 0.239569 336 2.31197
9.68099 0.224878 240 2.1702
9.7638 0.26767 276 2.58316
9.81837 0.297921 344 2.8751
9.85479 0.275786 144 2.66148
9.90673 0.255391 240 2.46466
9.94528 0.273122 312 2.63577
10.0098 0.285274 240 2.75305
10.0531 0.125329 6 1.20949
10.0874 0.276256 384 2.66602
10.1448 0.292775 312 2.82544
10.1924 0.23974 168 2.31362
10.2421 0.23677 336 2.28496
10.2983 0.255953 336 2.47009
10.3243 0.215344 192 2.07819
10.3879 0.268216 288 2.58843
10.4279 0.249379 216 2.40664
10.4705 0.286806 240 2.76783
10.5349 0.23522 384 2.27
10.57 0.247042 72 2.38409
10.6152 0.232405 336 2.24283
10.6914 0.243861 378 2.35339
10.7244 0.248754 144 2.40061
10.7631 0.264852 384 2.55597
10.826 0.246115 384 2.37515
10.8777 0.230007 344 2.21969
10.919 0.22089 144 2.13171
10.9816 0.220469 456 2.12765
11.0311 0.218444 312 2.1081
11.0746 0.235923 144 2.27679
11.1354 0.245186 552 2.36617
11.1965 0.181371 264 1.75033
11.2557 0.215584 264 2.0805
11.2926 0.214517 294 2.07021
11.3378 0.212976 432 2.05534
11.3986 0.233264 432 2.25112
11.4516 0.215777 264 2.08237
11.4915 0.20614 192 1.98936
11.5567 0.205142 468 1.97973
11.6093 0.22299 552 2.15198
11.6705 0.205208 336 1.98037
11.7239 0.196284 288 1.89425
11.7777 0.213166 456 2.05717
11.8366 0.205932 432 1.98736
11.8788 0.175058 168 1.68941
11.9469 0.207173 566 1.99934
12.0077 0.206399 432 1.99187
12.0751 0.189158 432 1.82548
12.1153 0.220644 360 2.12933
12.1711 0.211584 624 2.0419
12.2203 0.18396 264 1.77531
12.2718 0.204795 360 1.97638
12.3453 0.187408 456 1.80859
12.3969 0.196764 504 1.89888
12.467 0.197502 564 1.906
12.526 0.196973 384 1.90089
12.5876 0.182231 462 1.75863
12.6429 0.21463 624 2.0713
12.7121 0.16363 432 1.57912
12.7677 0.206025 624 1.98825
12.8318 0.203184 312 1.96083
12.8807 0.201532 552 1.94489
12.9504 0.194904 408 1.88093
12.9878 0.194945 600 1.88133
13.0701 0.178832 608 1.72583
13.1297 0.18478 504 1.78322
13.1933 0.165246 510 1.59471
13.258 0.181032 600 1.74706
13.3214 0.180079 492 1.73786
13.3672 0.169398 552 1.63478
13.4446 0.167215 696 1.61372
13.492 0.162585 504 1.56904
13.5589 0.182729 528 1.76343
13.6149 0.187312 624 1.80766
13.6788 0.172904 504 1.66862
13.7489 0.179387 552 1.73119
13.8157 0.154347 654 1.48953
13.8792 0.161982 840 1.56322
13.9482 0.17058 744 1.64619
14.0148 0.154374 456 1.48979
14.0735 0.177876 648 1.7166
14.1506 0.166884 896 1.61052
14.2105 0.155259 396 1.49834
14.2726 0.157572 816 1.52066
14.348 0.155292 672 1.49865
14.4008 0.14488 552 1.39817
14.474 0.162842 894 1.57151
14.5447 0.145462 672 1.40379
14.6112 0.158773 624 1.53225
14.6784 0.150398 888 1.45142
14.7376 0.171139 720 1.65158
14.8179 0.150795 936 1.45525
14.8977 0.155122 648 1.49701
14.9637 0.140575 936 1.35662
15.0285 0.151419 696 1.46128
15.1106 0.152093 618 1.46778
15.1697 0.140915 1008 1.3599
15.237 0.137807 872 1.32991
15.3147 0.147139 960 1.41997
15.3934 0.151225 888 1.45941
15.4569 0.142931 648 1.37937
15.5288 0.147209 840 1.42065
15.5941 0.148012 912 1.42839
15.6682 0.145529 774 1.40443
15.7451 0.142035 1272 1.37071
15.8249 0.136051 912 1.31296
15.9019 0.138143 864 1.33315
15.9745 0.144723 924 1.39665
16.0428 0.145073 1080 1.40003
16.1255 0.136724 1008 1.31946
16.1989 0.133461 1128 1.28797
16.2879 0.129406 768 1.24884
16.35 0.141029 1046 1.36101
16.4304 0.130161 1152 1.25612
16.512 0.134483 1272 1.29783
16.5918 0.137458 912 1.32654
16.6638 0.124314 1200 1.19969
16.7465 0.141368 1080 1.36428
16.81 0.14349 840 1.38475
16.9017 0.12761 1332 1.2315
16.9783 0.125706 1062 1.21313
17.0536 0.131214 1320 1.26628
17.142 0.135924 1248 1.31174
17.2167 0.125314 1104 1.20935
17.3001 0.128557 1392 1.24065
17.3739 0.116599 776 1.12524
17.4601 0.123431 1728 1.19118
17.5449 0.125836 1224 1.21439
17.633 0.126568 1254 1.22145
17.7179 0.121418 1368 1.17175
17.7982 0.124877 1236 1.20513
17.8748 0.125292 1608 1.20914
17.9662 0.122165 1008 1.17896
18.0329 0.117974 1488 1.13851
18.1298 0.115658 1440 1.11616
18.2161 0.1117 1158 1.07796
18.2962 0.119373 1824 1.15202
18.3819 0.112173 1464 1.08253
18.4763 0.116377 1448 1.1231
18.557 0.113507 1560 1.0954
18.6484 0.109625 1428 1.05795
18.7347 0.112793 1680 1.08852
18.8277 0.10941 1494 1.05586
18.9164 0.104664 1944 1.01007
19.0083 0.108256 1368 1.04473
19.0912 0.110185 1584 1.06335
19.1791 0.106399 1776 1.0268
19.2627 0.0997339 1440 0.962487
19.355 0.107171 1968 1.03426
19.4476 0.103662 1374 1.00039
19.5383 0.108501 2100 1.0471
19.6314 0.106898 1640 1.03162
19.731 0.100815 2496 0.972918
19.8246 0.0982536 1248 0.948201
19.8969 0.0930434 1512 0.897919
